"rank","candidate_id","event_name","status","reason_for_rank","repo_overlap","source_status","depth_requirement","primary_gap_value","risk_to_control","next_action"
"1","C-002","Asiana 214","KEEP_CONDITIONAL","Highest value for automation/mode awareness with existing repo depth","ALREADY_IN_REPO","NON_PRIMARY_MARKER_REQUIRES_REPLACEMENT","CVR/FDR mode timeline","automation mode awareness","source hygiene; automation-as-cause overread","ADD_TO_DEEP_EXTRACTION_QUEUE"
"2","C-003","UPS 1354","KEEP_CONDITIONAL","Strong nonprecision approach monitoring case","ALREADY_IN_REPO","OFFICIAL_LOCATOR_NORMALIZATION","vertical profile and callout timeline","unstable approach continuation","outcome anchoring to impact","ADD_TO_DEEP_EXTRACTION_QUEUE"
"3","C-007","G-WNSB Sumburgh","KEEP_CONDITIONAL","Best offshore rotorcraft candidate with official source","ALREADY_IN_REPO","OFFICIAL_CONFIRMED","energy/mode/PF-PM sequence","offshore rotorcraft monitoring","low-energy state vs consequence conflation","ADD_TO_DEEP_EXTRACTION_QUEUE"
"4","C-020","Comair 5191","KEEP_CONDITIONAL","Clear surface SA case with official NTSB source path","ALREADY_IN_REPO","GENERIC_LINK_REQUIRES_CORRECTION","taxi-to-lineup sequence","wrong runway SA","airport design vs crew action migration","ADD_TO_DEEP_EXTRACTION_QUEUE"
"5","C-001","Colgan 3407","KEEP_CONDITIONAL","Strong source but PF/PM boundary depends on prior gap decision","ALREADY_IN_REPO","OFFICIAL_LOCATOR_NORMALIZATION","speed/callout/stick-shaker timeline","monitoring and stall response","PF/PM boundary unresolved","ADD_TO_DEEP_EXTRACTION_QUEUE"
"6","C-006","Turkish 1951","KEEP_AFTER_SOURCE_FIX","Useful automation-energy case but submitted source marker was invalid","PARTIALLY_IN_REPO","WEAK_SOURCE_MARKER","official DSB timeline","automation-energy boundary","YouTube source contamination","SOURCE_LOCATOR_REQUIRED"
"7","C-009","Spanair JK5022","KEEP_AFTER_SOURCE_FIX","Strong configuration/checklist case after official locator recovery","PARTIALLY_IN_REPO","WEAK_SOURCE_MARKER","checklist/TOWS/CVR timeline","configuration warning discipline","Wikipedia/public-summary leakage","SOURCE_LOCATOR_REQUIRED"
"8","C-010","Pel-Air VH-NGA","KEEP_AFTER_SOURCE_FIX","High-value fuel/weather decision chain but source hygiene weak","PARTIALLY_IN_REPO","WEAK_SOURCE_MARKER","ATSB full report extraction","fuel/weather objective chain","media-source contamination","SOURCE_LOCATOR_REQUIRED"
"9","C-016","Execuflight 1526","KEEP_CONDITIONAL","Strong systemic boundary candidate with local official text","ALREADY_IN_REPO","REPORT_NUMBER_CORRECTION_REQUIRED","approach/MDA/energy sequence","organizational boundary with line action","report number mismatch","ADD_TO_DEEP_EXTRACTION_QUEUE"
"10","C-008","Air Canada 759","HOLD_PENDING_SOURCE","Potentially useful but raw locator absent from attached material","NOT_FOUND_IN_REPO","SOURCE_NOT_VERIFIED","official incident sequence","surface conflict boundary","unverified event/source identity","HOLD_FOR_HUMAN_DECISION"
