candidateId,officialReportTitle,agency,year,aircraft,operationType,officialUrl,whyUsefulForSERA,factualDataAvailable,likelyHumanFactorAxis,sourceConfidence,notes,downloadStatus,finalUrl,contentType,localFile,txtFile,fileSizeBytes,sha256,textExtractionStatus,notesArchive
1,"Loss of Control on Approach, Colgan Air/Continental Connection Flight 3407 (NTSB/AAR-10/01)",NTSB (USA),2010,DHC-8-402 Q400,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar1001.pdf,"Loss of control on approach with strong HF component: monitoring, stall recognition, CRM, fatigue.","Full CVR/FDR, detailed approach timeline, ATC and callouts.",SA/monitoring; continuation of unstable approach; control inputs/response to stall.,HIGH,"Classic HF case; clear separation between factual, analysis, conclusions.",DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar1001.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,1786109,1baff6efee24d19137567af6918f3fa83a6d88f1283623536388c6cbab122cdd,TXT_EXTRACTED,
2,"Descent Below Visual Glidepath and Impact With Seawall, Asiana Airlines Flight 214 (NTSB/AAR-14/01)",NTSB (USA),2014,Boeing 777-200ER,Part 121 international passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar1401.pdf,"Automation/mode confusion, energy management and monitoring breakdown in visual approach.","Extensive CVR transcript, FDR parameters, second-by-second timeline.",Automation/SA; intention to continue visual with low energy; throttle/flight path control actions.,HIGH,Strong coverage of automation HF with clean factual sections.,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar1401.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/2__2014__NTSB-USA__Boeing-777-200ER__Descent-Below-Visual-Glidepath-and-Impact-Wit.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/2__2014__NTSB-USA__Boeing-777-200ER__Descent-Below-Visual-Glidepath-and-Impact-Wit.txt,4858993,842b2947e957b64d948d6a9d38a4aac3203f11f22946906c8e807a94a9508e6f,TXT_EXTRACTED,
3,"Crash During Nighttime Nonprecision Approach, UPS Flight 1354 (NTSB/AAR-14/02)",NTSB (USA),2014,Airbus A300-600F,Part 121 cargo,https://www.ntsb.gov/investigations/accidentreports/reports/aar1402.pdf,CFIT on nonprecision approach with fatigue and unstable approach continuation.,"CVR/FDR, vertical profile, callouts, GPWS events.",Altitude/SA; continuation bias; configuration and descent control actions.,HIGH,Good for studying fatigue and approach-stabilization policies.,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar1402.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/3__2014__NTSB-USA__Airbus-A300-600F__Crash-During-Nighttime-Nonprecision-Approach.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/3__2014__NTSB-USA__Airbus-A300-600F__Crash-During-Nighttime-Nonprecision-Approach.txt,4142904,0d196026832f73438551d283d443cd99a44d1d27dbc397384d78c3272e61328d,TXT_EXTRACTED,
4,"Runway Overrun During Landing, American Airlines Flight 1420 (NTSB/AAR-01/02)",NTSB (USA),2001,MD-82,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar0102.pdf,"Decision to land in severe thunderstorm, spoilers/reverser use, workload in storm.","Full CVR/FDR, weather data, landing roll timeline.",Weather/SA; goal to complete landing; landing configuration/actions.,HIGH,Classic weather/decision-making case.,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar0102.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/4__2001__NTSB-USA__MD-82__Runway-Overrun-During-Landing-American-Airli.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/4__2001__NTSB-USA__MD-82__Runway-Overrun-During-Landing-American-Airli.txt,3219170,15ebe8f40fae1edd659e8dcfba88142b5141f4ffe15440593f490cf003d30ec8,TXT_EXTRACTED,
5,"Controlled Flight Into Terrain, Korean Air Flight 801 (NTSB/AAR-00/01)",NTSB (USA),2000,Boeing 747-300,International passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar0001.pdf,"Nonprecision approach CFIT with CRM, fatigue, approach briefing issues.","CVR/FDR, ATC, detailed trajectory.",Approach SA; continuation despite uncertainty; mode selection/configuration actions.,HIGH,Reference CFIT HF case.,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar0001.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/5__2000__NTSB-USA__Boeing-747-300__Controlled-Flight-Into-Terrain-Korean-Air-Fl.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/5__2000__NTSB-USA__Boeing-747-300__Controlled-Flight-Into-Terrain-Korean-Air-Fl.txt,3741026,6a104e1f1b856810397b4df9760424ec235ac7f9ec542e1ccaf59b11cd661cfe,TXT_EXTRACTED,
6,"Attempted Takeoff From Wrong Runway, Comair Flight 5191 (NTSB/AAR-07/05)",NTSB (USA),2007,CRJ-100,Part 121 regional passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar0705.pdf,"Taxi/ground SA breakdown, runway misidentification, sterile cockpit violations.","CVR, airport layout, taxi path reconstruction.",Ground SA; intention to depart on assigned runway; checklist and cross-check actions.,HIGH,Excellent for monitoring and crew discipline on ground.,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar0705.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/6__2007__NTSB-USA__CRJ-100__Attempted-Takeoff-From-Wrong-Runway-Comair-F.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/6__2007__NTSB-USA__CRJ-100__Attempted-Takeoff-From-Wrong-Runway-Comair-F.txt,3550276,9ad8cdfcf4a508852a705b34f1965856e14016666ae9e0382a1ae8fa40246ad0,TXT_EXTRACTED,
7,Final Report – Accident to Airbus A330-203 F-GZCP Air France Flight 447,BEA (France),2012,Airbus A330-203,International passenger,https://bea.aero/fileadmin/uploads/tx_elyextendttnews/presentation.rapport.final.05juillet2012.en_04.pdf,High-altitude LOC following unreliable airspeed and automation reversion; task sharing and SA.,"Recovered CVR/FDR, very detailed timeline and control inputs.",Flight parameter SA; intention/mental model of stall; sidestick/trim actions.,HIGH,Foundational HF case for modern automation.,DOWNLOADED,https://bea.aero/fileadmin/uploads/tx_elyextendttnews/presentation.rapport.final.05juillet2012.en_04.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/7__2012__BEA-France__Airbus-A330-203__Final-Report-Accident-to-Airbus-A330-203-F.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/7__2012__BEA-France__Airbus-A330-203__Final-Report-Accident-to-Airbus-A330-203-F.txt,776739,f1fc0661250acb49db10c4898e8d6f5b8daccf577f7bffdbdc1718429ad9c1aa,TXT_EXTRACTED,
8,Air Transportation Safety Investigation A15H0002 – Air Canada A320 Halifax Undershoot,TSB Canada,2017,Airbus A320-211,Scheduled passenger,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2015/a15h0002/a15h0002.htm,Nonprecision approach in snowstorm with premature ground contact and lighting/SA issues.,"CVR/FDR, LOC profile, snowstorm timeline.",Vertical SA; continuation below minima; FPA/altitude/control actions.,HIGH,Good for stabilized-approach policy analysis.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
9,Air Transportation Safety Investigation A11H0002 – First Air Flight 6560 Resolute Bay CFIT,TSB Canada,2014,Boeing 737-210C,Charter passenger/cargo,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2011/a11h0002/a11h0002.htm,Off-track ILS CFIT with divergent crew mental models and CRM breakdown.,"Full CVR/FDR, deviation plots, GPWS events.",Lateral/vertical SA; continuation of unstable approach; control and callout behavior.,HIGH,Key case in TSB unstable-approach outreach.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
10,"Runway Overrun and Fire, Air France Flight 358 Toronto (TSB A05H0002)",TSB Canada,2007,Airbus A340-313,International passenger,http://www.tsb.gc.ca/eng/rapports-reports/aviation/2005/a05h0002/a05h0002.asp,Thunderstorm landing overrun with touchdown long and late reverse; goal conflict and risk acceptance.,"CVR/FDR, weather, distance calculations, timeline.",Weather/SA; intention to land vs divert; landing roll configuration/actions.,HIGH,Frequently cited in runway excursion literature.,DOWNLOADED,https://www.tsb.gc.ca/splash?destination=/homepage,text/html; charset=UTF-8,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/10__2007__TSB-Canada__Airbus-A340-313__Runway-Overrun-and-Fire-Air-France-Flight-35.html,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/10__2007__TSB-Canada__Airbus-A340-313__Runway-Overrun-and-Fire-Air-France-Flight-35.txt,9360,51c3e39b7dc19072065bc918900c64c07558ce3e4aba1f25eabaff0c26340f97,TXT_EXTRACTED,
