extractionId,selectionId,inventoryId,probableEventKey,sourcePath,sourceAccessStatus,sourceDirectness,extractionStatus,a4r181Readiness,selectionLane,selectionStatus,possibleEscapePointConfidence,directActorConfidence,multiActorHandled,negativeControlHandled,sourceEnrichmentNeeded,holdReason,nextStep
A4R180-EXTRACTION-0001,A4R179-SEL-0001,A4R178-INV-0067,SOURCE-SLICE-ASIANA-214-A4R106,docs/sera-vnext/official-report-source-slices/a4r106/SOURCE-SLICE-ASIANA-214-A4R106.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,false,false,false,,AUTHOR_ADJUDICATION_A4R181
A4R180-EXTRACTION-0002,A4R179-SEL-0002,A4R178-INV-0068,SOURCE-SLICE-COMAIR-5191-A4R106,docs/sera-vnext/official-report-source-slices/a4r106/SOURCE-SLICE-COMAIR-5191-A4R106.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,false,false,false,,AUTHOR_ADJUDICATION_A4R181
A4R180-EXTRACTION-0003,A4R179-SEL-0003,A4R178-INV-0070,SOURCE-SLICE-AMERICAN-1420-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-AMERICAN-1420-A4R115.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,false,false,false,,AUTHOR_ADJUDICATION_A4R181
A4R180-EXTRACTION-0004,A4R179-SEL-0004,A4R178-INV-0073,SOURCE-SLICE-COLGAN-3407-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-COLGAN-3407-A4R115.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_AS_MULTI_ACTOR_CANDIDATE,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,true,false,false,,AUTHOR_ADJUDICATION_A4R181_MULTI_ACTOR
A4R180-EXTRACTION-0005,A4R179-SEL-0005,A4R178-INV-0074,SOURCE-SLICE-HELIOS-522-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-HELIOS-522-A4R115.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_AS_BOUNDARY_CASE,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,false,false,false,boundary_capacity_incapacitation,AUTHOR_ADJUDICATION_A4R181_BOUNDARY
A4R180-EXTRACTION-0006,A4R179-SEL-0006,A4R178-INV-0077,SOURCE-SLICE-UPS-1354-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-UPS-1354-A4R115.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,false,false,false,,AUTHOR_ADJUDICATION_A4R181
A4R180-EXTRACTION-0007,A4R179-SEL-0007,A4R178-INV-0080,SOURCE-SLICE-ATLAS-3591-A4R119,docs/sera-vnext/official-report-source-slices/a4r119/SOURCE-SLICE-ATLAS-3591-A4R119.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_AS_MULTI_ACTOR_CANDIDATE,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,true,false,false,,AUTHOR_ADJUDICATION_A4R181_MULTI_ACTOR
A4R180-EXTRACTION-0008,A4R179-SEL-0008,A4R178-INV-0291,NTSB-USA-BOEING-767-375BCF,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-1__2020__NTSB-USA__Boeing-767-375BCF__Atlas-Air-Flight-3591-Rapid-Descent-and-Cra.pdf,ACCESSED_VIA_COMPANION_SLICE,SOURCE_PARTIAL,STRUCTURED_EXTRACTION_COMPLETE_DUPLICATE,READY_AS_MULTI_ACTOR_CANDIDATE,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,PARTIAL,PARTIAL,true,false,false,duplicate_of_SEL_0007_consolidate_in_A4R181,AUTHOR_ADJUDICATION_A4R181_CONSOLIDATE_WITH_0007
A4R180-EXTRACTION-0009,A4R179-SEL-0009,A4R178-INV-0078,SOURCE-SLICE-US-AIRWAYS-1549-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-US-AIRWAYS-1549-A4R115.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_AS_NEGATIVE_CONTROL_REPLICATION,P1 replication negative control,P1_REPLICATION_NEGATIVE_CONTROL,NEGATIVE_CONTROL,HIGH,false,true,false,,AUTHOR_ADJUDICATION_A4R181_NEGATIVE_CONTROL
A4R180-EXTRACTION-0010,A4R179-SEL-0010,A4R178-INV-0231,AERONAUTICA-CIVIL-COLOMBIA-BOEING-757-223,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/24__1996__Aeronautica-Civil-Colombia__Boeing-757-223__Controlled-Flight-Into-Terrain-American-Air.pdf,ACCESSED_VIA_TXT_COMPANION,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Negative control candidates,SELECT_AS_NEGATIVE_CONTROL,PARTIAL,HIGH,true,true,false,,AUTHOR_ADJUDICATION_A4R181_NEG_CONTROL_OR_MULTI_ACTOR
A4R180-EXTRACTION-0011,A4R179-SEL-0011,A4R178-INV-0250,NTSB-USA-BOEING-747-300,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/5__2000__NTSB-USA__Boeing-747-300__Controlled-Flight-Into-Terrain-Korean-Air-Fl.pdf,ACCESSED_VIA_TXT_COMPANION,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_AS_BOUNDARY_CASE,Negative control candidates,SELECT_AS_NEGATIVE_CONTROL,PARTIAL,PARTIAL,true,true,false,duplicate_of_SEL_0016_consolidate_in_A4R181,AUTHOR_ADJUDICATION_A4R181_CONSOLIDATE_WITH_0016
A4R180-EXTRACTION-0012,A4R179-SEL-0012,A4R178-INV-0246,TSB-CANADA-LIGHT-HELICOPTER-OR-SMALL-AIRCRAFT-SEE-REPORT-FOR-EXACT-TYPE,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/46__2021__TSB-Canada__Light-helicopter-or-small-aircraft-see-report-for-exact-type__Air-transportation-safety-investigation-repor.pdf,ACCESSED_VIA_TXT_COMPANION,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,PARTIAL,HIGH,true,false,false,multi_actor_framing_review_single_pilot,AUTHOR_ADJUDICATION_A4R181_REVIEW_FRAMING
A4R180-EXTRACTION-0013,A4R179-SEL-0013,A4R178-INV-0347,TSB-CANADA-BELL-206B,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool/NEW50-24__2015__TSB-Canada__Bell-206B__TSB-A13W0070-Bell-206B-Fort-McMurray.pdf,ACCESSED_VIA_TXT_COMPANION,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,PARTIAL,HIGH,true,false,false,multi_actor_framing_review_single_pilot_LTE_boundary,AUTHOR_ADJUDICATION_A4R181_REVIEW_FRAMING
A4R180-EXTRACTION-0014,A4R179-SEL-0014,A4R178-INV-0294,NTSB-USA-SIKORSKY-S-76A,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-29__2006__NTSB-USA__Sikorsky-S-76A__Sikorsky-S-76A-offshore-CFIT-Gulf-of-Mexic.pdf,SOURCE_PARTIAL_TXT_MISMATCH,SOURCE_PARTIAL,EXTRACTION_HOLD,NEEDS_SOURCE_ENRICHMENT,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,LOW,LOW,false,false,true,txt_companion_contains_unrelated_event_FTW02LA122_Cessna_172R,READ_PDF_DIRECTLY_OR_REEXTRACT_TXT_BEFORE_A4R181
A4R180-EXTRACTION-0015,A4R179-SEL-0015,A4R178-INV-0079,SOURCE-SLICE-USAIR-427-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-USAIR-427-A4R115.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,EXTRACTION_HOLD,HOLD_TRACKER_ONLY,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,LOW,LOW,false,false,false,overclassification_risk_technical_rudder_dominance,BOUNDARY_REVIEW_TECHNICAL_VS_OPERATOR_BEFORE_A4R181
A4R180-EXTRACTION-0016,A4R179-SEL-0016,A4R178-INV-0075,SOURCE-SLICE-KOREAN-801-BOUNDARY-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-KOREAN-801-BOUNDARY-A4R115.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_AS_BOUNDARY_CASE,Boundary/ambiguous candidates,SELECT_AS_BOUNDARY_CASE,PARTIAL,PARTIAL,false,false,false,duplicate_of_SEL_0011_consolidate_in_A4R181,AUTHOR_ADJUDICATION_A4R181_CONSOLIDATE_WITH_0011
A4R180-EXTRACTION-0017,A4R179-SEL-0017,A4R178-INV-0081,SOURCE-SLICE-UNITED-173-A4R119,docs/sera-vnext/official-report-source-slices/a4r119/SOURCE-SLICE-UNITED-173-A4R119.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Boundary/ambiguous candidates,SELECT_AS_BOUNDARY_CASE,PARTIAL,PARTIAL,false,false,false,,AUTHOR_ADJUDICATION_A4R181
A4R180-EXTRACTION-0018,A4R179-SEL-0018,A4R178-INV-0082,SOURCE-SLICE-UNITED-232-A4R119,docs/sera-vnext/official-report-source-slices/a4r119/SOURCE-SLICE-UNITED-232-A4R119.md,ACCESSED,SOURCE_DIRECT_OR_PRIMARY_LIKE,STRUCTURED_EXTRACTION_COMPLETE,READY_AS_BOUNDARY_CASE,Boundary/ambiguous candidates,SELECT_AS_BOUNDARY_CASE,PARTIAL,HIGH,true,false,false,boundary_case_adversarial_framing,AUTHOR_ADJUDICATION_A4R181_BOUNDARY
A4R180-EXTRACTION-0019,A4R179-SEL-0019,A4R178-INV-0241,NTSB-USA-AIRBUS-A320-214,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/39__2010__NTSB-USA__Airbus-A320-214__Aircraft-Accident-Report-AAR-10-03-US-Airwa.pdf,ACCESSED_VIA_TXT_COMPANION,SOURCE_DIRECT_OR_PRIMARY_LIKE_DUPLICATE,STRUCTURED_EXTRACTION_COMPLETE_DUPLICATE,READY_AS_NEGATIVE_CONTROL_REPLICATION,Boundary/ambiguous candidates,DUPLICATE_REVIEW_REQUIRED,NEGATIVE_CONTROL,HIGH,false,true,false,duplicate_of_SEL_0009_consolidate_in_A4R181,AUTHOR_ADJUDICATION_A4R181_CONSOLIDATE_WITH_0009
A4R180-EXTRACTION-0020,A4R179-SEL-0020,A4R178-INV-0177,REAL-EVENT-0003,docs/sera-vnext/real-event-reaudits-a4r139/REAL-EVENT-0003_REAUDIT_AT_ESCAPE_POINT_A4R139_v0.2.0.md,ACCESSED,SOURCE_PARTIAL,STRUCTURED_EXTRACTION_COMPLETE,READY_FOR_AUTHOR_ADJUDICATION,Insufficient evidence / UNRESOLVED candidates,SELECT_AS_UNRESOLVED_CANDIDATE,PARTIAL,PARTIAL,false,false,false,source_partial_degradation_is_zone_not_moment,AUTHOR_ADJUDICATION_A4R181_UNRESOLVED
A4R180-EXTRACTION-0021,A4R179-SEL-0021,A4R178-INV-0162,QUESTIONPATH-BACKFILL-BATCH2-001,docs/sera-vnext/real-event-questionpath-backfill/QUESTIONPATH-BACKFILL-BATCH2-001.md,ACCESSED,NOT_DIRECT_EVENT_SOURCE_FOR_A4R180,EXTRACTION_HOLD,HOLD_TRACKER_ONLY,Tracker/backfill review candidates,NOT_DIRECT_EVENT_SOURCE_FOR_A4R180,LOW,LOW,false,false,false,tracker_backfill_artifact_cross_reference_REAL_EVENT_0003,CROSS_REFERENCE_WITH_A4R180_EXTRACTION_0020
A4R180-EXTRACTION-0022,A4R179-SEL-0022,A4R178-INV-0129,QUEUE-B-P0-POA-REVIEW-TRACKER-A4R129-V0-2-0,docs/sera-vnext/real-event-escape-point-reaudit/QUEUE_B_P0_POA_REVIEW_TRACKER_A4R129_v0.2.0.md,ACCESSED,NOT_DIRECT_EVENT_SOURCE_FOR_A4R180,EXTRACTION_HOLD,HOLD_TRACKER_ONLY,Tracker/backfill review candidates,NOT_DIRECT_EVENT_SOURCE_FOR_A4R180,LOW,LOW,false,false,false,tracker_diagnostic_only_cross_references_individual_extractions,CROSS_REFERENCE_WITH_INDIVIDUAL_EXTRACTIONS
A4R180-EXTRACTION-0023,A4R179-SEL-0023,A4R178-INV-0045,EXT-BATCH1-EXTRACTION-001,docs/sera-vnext/external-candidates/extractions-batch-1/EXT-BATCH1-EXTRACTION-001.md,ACCESSED,SOURCE_PARTIAL,EXTRACTION_PARTIAL_NEEDS_SOURCE_ENRICHMENT,NEEDS_SOURCE_ENRICHMENT,Source enrichment candidates,SOURCE_ENRICHMENT_REQUIRED,LOW,LOW,false,false,true,external_extraction_draft_requires_TSB_A19A0055_direct_read,READ_TSB_A19A0055_BEFORE_A4R181
A4R180-EXTRACTION-0024,A4R179-SEL-0024,A4R178-INV-0046,EXT-BATCH1-EXTRACTION-002,docs/sera-vnext/external-candidates/extractions-batch-1/EXT-BATCH1-EXTRACTION-002.md,ACCESSED,SOURCE_PARTIAL,EXTRACTION_PARTIAL_NEEDS_SOURCE_ENRICHMENT,NEEDS_SOURCE_ENRICHMENT,Source enrichment candidates,SOURCE_ENRICHMENT_REQUIRED,LOW,LOW,false,false,true,external_extraction_draft_requires_NTSB_ERA19FA210_direct_read,READ_NTSB_ERA19FA210_BEFORE_A4R181
