case_id,title,category,narrative_length_words,source_type,assigned_reviewer,analysis_id,status,notes
001,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
002,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
003,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
004,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
005,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
006,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
007,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
008,[SERA_VNEXT_PILOT] clear escape — ,CLEAR_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
009,[SERA_VNEXT_PILOT] ambiguous escape — ,AMBIGUOUS_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
010,[SERA_VNEXT_PILOT] ambiguous escape — ,AMBIGUOUS_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
011,[SERA_VNEXT_PILOT] ambiguous escape — ,AMBIGUOUS_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
012,[SERA_VNEXT_PILOT] ambiguous escape — ,AMBIGUOUS_ESCAPE_POINT,,"INTERNAL_PILOT",REVIEWER-01,,,
013,[SERA_VNEXT_PILOT] no escape — more evidence,NO_ESCAPE_MORE_EVIDENCE,,"INTERNAL_PILOT",REVIEWER-01,,,
014,[SERA_VNEXT_PILOT] no escape — more evidence,NO_ESCAPE_MORE_EVIDENCE,,"INTERNAL_PILOT",REVIEWER-01,,,
015,[SERA_VNEXT_PILOT] no escape — more evidence,NO_ESCAPE_MORE_EVIDENCE,,"INTERNAL_PILOT",REVIEWER-01,,,
016,[SERA_VNEXT_PILOT] no escape — more evidence,NO_ESCAPE_MORE_EVIDENCE,,"INTERNAL_PILOT",REVIEWER-01,,,
017,[SERA_VNEXT_PILOT] high uncertainty — ,HIGH_UNCERTAINTY,,"INTERNAL_PILOT",REVIEWER-01,,,
018,[SERA_VNEXT_PILOT] high uncertainty — ,HIGH_UNCERTAINTY,,"INTERNAL_PILOT",REVIEWER-01,,,
019,[SERA_VNEXT_PILOT] high uncertainty — ,HIGH_UNCERTAINTY,,"INTERNAL_PILOT",REVIEWER-01,,,
020,[SERA_VNEXT_PILOT] high uncertainty — ,HIGH_UNCERTAINTY,,"INTERNAL_PILOT",REVIEWER-01,,,
021,[SERA_VNEXT_PILOT] multi-crew — ,MULTI_ACTOR,,"INTERNAL_PILOT",REVIEWER-01,,,
022,[SERA_VNEXT_PILOT] multi-crew — ,MULTI_ACTOR,,"INTERNAL_PILOT",REVIEWER-01,,,
023,[SERA_VNEXT_PILOT] multi-crew — ,MULTI_ACTOR,,"INTERNAL_PILOT",REVIEWER-01,,,
024,[SERA_VNEXT_PILOT] multi-crew — ,MULTI_ACTOR,,"INTERNAL_PILOT",REVIEWER-01,,,
025,[SERA_VNEXT_PILOT] edge — ,SUPPLEMENTAL_EDGE,,"INTERNAL_PILOT",REVIEWER-01,,,
