event_or_scope,severity,source_audit,issue,why_it_matters,accepted_action,status
Comair 5191,HIGH,"A4R202-OPUS-1; A4R202-OPUS-FULL","Comair is the clean anchor and cleanest top-3 case","Provides the strongest position-verification spine for candidate-only method review",Carry Comair as the anchor case in A4R202-E,ACCEPTED_FOR_NEXT_PHASE
Asiana 214,HIGH,"A4R202-OPUS-1; A4R202-OPUS-FULL","Automation-state loss versus 500 ft gate remains a live boundary question","Technical logic can displace cockpit monitoring unless the alternative candidate is carried forward",Proceed with explicit automation and 500 ft gate boundary warning,ACCEPTED_FOR_NEXT_PHASE
UPS 1354,HIGH,"A4R202-OPUS-1; A4R202-OPUS-FULL","Setup/FMC/V-S/MDA candidate statement is composite and needs discrete anchors","A span across setup and continuation blurs precondition versus active-failure timing",Proceed with explicit setup-versus-execution and MDA boundary warning,ACCEPTED_FOR_NEXT_PHASE
Colgan 3407,HIGH,"A4R202-OPUS-1; A4R202-OPUS-FULL","Pre-warning low-speed decay versus post-warning control response remains unresolved","A post-warning candidate risks consequence-as-cause and post-escape hunting",Keep Colgan outside the top-3 route and require focused re-audit,ACCEPTED_FOR_PENDING_WORK
G-WNSB,MEDIUM,"A4R202-OPUS-1; A4R202-OPUS-FULL","Locator package is not yet normalized inside the tracked corpus","Comparative reuse needs reproducible factual sourcing",Create a locator-normalization task before broader use,ACCEPTED_FOR_PENDING_WORK
Execuflight 1526,MEDIUM,"A4R202-OPUS-1; A4R202-OPUS-FULL","Useful second-lane case still carries setup-versus-MDA timing limitations","It is informative but not a first-lane clean anchor",Keep in second-lane expansion after top-3 review,DEFERRED
Corpus saturation,HIGH,"A4R202-OPUS-1; A4R202-OPUS-FULL; A4R202-OPUS-SUPPLEMENTAL","Corpus is saturated in approach and continuation families","Further broad approach-energy scouting would overfit the calibrator lane",Stop broad approach-event searching for now,ACCEPTED_FOR_PENDING_WORK
Search posture,MEDIUM,"A4R202-OPUS-1; A4R202-OPUS-SUPPLEMENTAL","No more broad real-event scouting should happen now","Effort should move to method review and gap-specific follow-up",Allow only narrowly targeted later searches,ACCEPTED_FOR_PENDING_WORK
Daumas lane,MEDIUM,"A4R202-OPUS-1; A4R202-OPUS-2; A4R202-OPUS-SUPPLEMENTAL","Daumas extraction is needed before a fuller calibrator corpus exists","Human-method reference remains incomplete without that extraction",Register Daumas calibration extraction as P1 after or parallel to A4R202-E,ACCEPTED_FOR_PENDING_WORK
Synthetic sequencing,MEDIUM,"A4R202-OPUS-1; A4R202-OPUS-SUPPLEMENTAL","Synthetic GAP-004 must precede GAP-002","Trap isolation order matters for future synthetic design",Preserve GAP-004 then GAP-002 ordering,ACCEPTED_FOR_PENDING_WORK
Governance,HIGH,"A4R202-OPUS-2; A4R202-OPUS-FULL; A4R202-OPUS-SUPPLEMENTAL","Document proliferation risks replacing methodological validation","Locks are strong but too much process can be mistaken for proof of method",Insert a governance simplification checkpoint,ACCEPTED_FOR_PENDING_WORK
Author decision model,HIGH,"A4R202-OPUS-2; A4R202-OPUS-FULL","Original aprovo/segue phrasing is ambiguous for boundary cases","The author can appear to approve more than candidate-only method review",Replace with explicit candidate-only language and boundary alternatives,ACCEPTED_FOR_NEXT_PHASE
Downstream locks,HIGH,"All available local Opus reports","No Opus authorized final P/O/A, final escape point, READY, or downstream release","The audit outputs remain purely candidate-only and consolidative",Retain all locks verbatim in DR2 and A4R202-E planning,ACCEPTED_FOR_NEXT_PHASE
OPUS-3 availability,LOW,A4R202-D/R2,"OPUS_3_NOT_PRESENT_IN_REPO_INPUTS","The absent audit cannot be summarized or reconciled as if it were available",Record absence and keep the row explicitly unavailable,NOT_AVAILABLE_IN_LOCAL_INPUTS

