threat_id,threat,vector,current_state,present_risk,severity,mitigation,residual_risk
T-01,Low-privilege permanent deletion,Viewer/analyst calls DELETE /api/events/:id with own bearer token,requireBearerUser only — no role gate,Any tenant user can irreversibly delete,HIGH,Gate behind requireAdmin + capability; reinforced confirm,Low
T-02,Cross-tenant deletion (IDOR),Authenticated user deletes another tenant's event id,DELETE query filters .eq('tenant_id' user.tenantId); 404 otherwise,Mitigated — tenant-scoped,LOW,Keep tenant filter on every query incl. impact + restore + purge,Very low
T-03,No audit of deletion,Delete leaves no trace,No writeAuditLog in DELETE handler,No forensic record of irreversible action,HIGH,Emit deletion_requested/soft_deleted/hard_deleted tombstone rows,Low
T-04,Accidental irreversible loss,Misclick / wrong row,Immediate hard delete no soft window no UI,Total loss with no undo,HIGH,Soft delete + 30d recovery + type-title confirm,Low
T-05,Mass deletion,Scripted loop over event ids,Per-id endpoint but no rate limit / no role gate,Bulk data destruction by one actor,MEDIUM,requireAdmin + per-id only + rate limit + audit alerting,Low
T-06,Deletion by arbitrary source_id,Exclusion/delete by guessed id,Exclusions validate id against canonical universe; events delete only checks tenant,Limited — tenant scope blocks cross-tenant,LOW,Validate id belongs to tenant universe before purge,Very low
T-07,Race: delete during reanalysis,Delete while pipeline/recalculate running,No blockedReasons check today,Half-written/cascaded state,MEDIUM,deletion-impact blockedReasons + 409 if busy; transactional purge,Low
T-08,Race: delete during export,Delete while PDF/export streaming,No guard,Export references vanished rows,LOW,Block delete while export in flight; or let export fail gracefully,Low
T-09,Double deletion / replay,Re-send DELETE,delete().eq(id) is naturally idempotent but returns 400 if gone,Confusing errors; no replay protection token,LOW,Idempotent delete-request returns current state; request_id correlation,Very low
T-10,Restore after hard delete,User expects undo post-purge,No restore path; data physically gone,Irrecoverable expectation gap,MEDIUM,Communicate 30d window; restore only within window,Low
T-11,Orphan data leakage,Exclusion/audit rows survive deleted event,risk_profile_exclusions orphaned (no FK),Stale references; minor info exposure,MEDIUM,Tombstone/delete matching exclusions; keep audit narrative-free,Low
T-12,Storage object survives row,Storage delete fails silently,deleteAnalysisStorageObject not transactional with row delete,Orphan PII document in bucket,MEDIUM,Order: revoke→delete storage→verify→delete rows; reconcile job,Low
T-13,CSRF on deletion,Forged cross-site request,Bearer token in Authorization header (not cookie) for API,Mitigated — not cookie-auth,LOW,Keep bearer-token auth; never accept cookie-only mutation,Very low
T-14,Middleware bypass to /admin,Non-admin visits /admin,middleware always next(); client redirect + requireAdmin on APIs,Pages render shell but data is requireAdmin-gated,LOW,Enforce redirect in middleware or rely on server gate consistently,Low
T-15,vNext purge bypasses append-only audit,Force-delete vNext analysis,Triggers block delete entirely today,Cannot purge — but also cannot satisfy erasure,MEDIUM,Controlled service-role purge writing tombstone before bypassing triggers,Medium until built
T-16,Privilege confusion enterprise gate,requireAdmin requires plan=enterprise AND role=admin,Non-enterprise admins cannot manage,Over-restrictive for some delete cases,LOW,Decide whether delete needs enterprise plan or just admin role,Low
