issueId,eventId,issueType,localTxtPath,evidenceSummary,riskLevel,recommendedAction,blocksGatePrep
A4R157-ISSUE-001,EXT-A4R149-001,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,status=DUPLICATE_PATH_SHARED; matched=3407|air|approach|colgan|ntsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-002,EXT-A4R149-003,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,status=DUPLICATE_PATH_SHARED; matched=1354|approach|nighttime|nonprecision|ntsb|ups,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-003,EXT-A4R149-004,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,status=DUPLICATE_PATH_SHARED; matched=g-wnsb|puma|sumburgh|super|wnsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-004,EXT-A4R149-007,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,status=DUPLICATE_PATH_SHARED; matched=a15h0002|air|canada|halifax|tsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-005,EXT-A4R149-007,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,status=DUPLICATE_PATH_SHARED; matched=a15h0002|air|canada|halifax|short|tsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-006,EXT-A4R149-009,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,status=DUPLICATE_PATH_SHARED; matched=76a|a13h0001|moosonee|s-76a|tsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-007,EXT-A4R149-012,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,status=DUPLICATE_PATH_SHARED; matched=92a|a09a0016|cougar|gearbox|main|oil|s-92a,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-008,EXT-A4R149-013,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,status=DUPLICATE_PATH_SHARED; matched=2014|aaib|chcn|ec225|g-chcn|g-redw|redw,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-009,EXT-A4R149-016,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,status=DUPLICATE_PATH_SHARED; matched=125|1526|aar|akron|execuflight|ntsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-010,EXT-A4R149-017,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,status=DUPLICATE_PATH_SHARED; matched=5966|aar|corporate|j32|kirksville|ntsb,HIGH,Resolve alias ownership before gate-prep,YES
