candidateId,officialReportTitle,agency,year,aircraft,operationType,officialUrl,whyUsefulForSERA,factualDataAvailable,likelyHumanFactorAxis,sourceConfidence,notes
1,"Loss of Control on Approach, Colgan Air/Continental Connection Flight 3407 (NTSB/AAR-10/01)",NTSB (USA),2010,DHC-8-402 Q400,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar1001.pdf,"Loss of control on approach with strong HF component: monitoring, stall recognition, CRM, fatigue.","Full CVR/FDR, detailed approach timeline, ATC and callouts.",SA/monitoring; continuation of unstable approach; control inputs/response to stall.,HIGH,"Classic HF case; clear separation between factual, analysis, conclusions."
2,"Descent Below Visual Glidepath and Impact With Seawall, Asiana Airlines Flight 214 (NTSB/AAR-14/01)",NTSB (USA),2014,Boeing 777-200ER,Part 121 international passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar1401.pdf,"Automation/mode confusion, energy management and monitoring breakdown in visual approach.","Extensive CVR transcript, FDR parameters, second-by-second timeline.",Automation/SA; intention to continue visual with low energy; throttle/flight path control actions.,HIGH,Strong coverage of automation HF with clean factual sections.
3,"Crash During Nighttime Nonprecision Approach, UPS Flight 1354 (NTSB/AAR-14/02)",NTSB (USA),2014,Airbus A300-600F,Part 121 cargo,https://www.ntsb.gov/investigations/accidentreports/reports/aar1402.pdf,CFIT on nonprecision approach with fatigue and unstable approach continuation.,"CVR/FDR, vertical profile, callouts, GPWS events.",Altitude/SA; continuation bias; configuration and descent control actions.,HIGH,Good for studying fatigue and approach-stabilization policies.
4,"Runway Overrun During Landing, American Airlines Flight 1420 (NTSB/AAR-01/02)",NTSB (USA),2001,MD-82,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar0102.pdf,"Decision to land in severe thunderstorm, spoilers/reverser use, workload in storm.","Full CVR/FDR, weather data, landing roll timeline.",Weather/SA; goal to complete landing; landing configuration/actions.,HIGH,Classic weather/decision-making case.
5,"Controlled Flight Into Terrain, Korean Air Flight 801 (NTSB/AAR-00/01)",NTSB (USA),2000,Boeing 747-300,International passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar0001.pdf,"Nonprecision approach CFIT with CRM, fatigue, approach briefing issues.","CVR/FDR, ATC, detailed trajectory.",Approach SA; continuation despite uncertainty; mode selection/configuration actions.,HIGH,Reference CFIT HF case.
6,"Attempted Takeoff From Wrong Runway, Comair Flight 5191 (NTSB/AAR-07/05)",NTSB (USA),2007,CRJ-100,Part 121 regional passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar0705.pdf,"Taxi/ground SA breakdown, runway misidentification, sterile cockpit violations.","CVR, airport layout, taxi path reconstruction.",Ground SA; intention to depart on assigned runway; checklist and cross-check actions.,HIGH,Excellent for monitoring and crew discipline on ground.
7,Final Report – Accident to Airbus A330-203 F-GZCP Air France Flight 447,BEA (France),2012,Airbus A330-203,International passenger,https://bea.aero/fileadmin/uploads/tx_elyextendttnews/presentation.rapport.final.05juillet2012.en_04.pdf,High-altitude LOC following unreliable airspeed and automation reversion; task sharing and SA.,"Recovered CVR/FDR, very detailed timeline and control inputs.",Flight parameter SA; intention/mental model of stall; sidestick/trim actions.,HIGH,Foundational HF case for modern automation.
8,Air Transportation Safety Investigation A15H0002 – Air Canada A320 Halifax Undershoot,TSB Canada,2017,Airbus A320-211,Scheduled passenger,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2015/a15h0002/a15h0002.html,Nonprecision approach in snowstorm with premature ground contact and lighting/SA issues.,"CVR/FDR, LOC profile, snowstorm timeline.",Vertical SA; continuation below minima; FPA/altitude/control actions.,HIGH,Good for stabilized-approach policy analysis.
9,Air Transportation Safety Investigation A11H0002 – First Air Flight 6560 Resolute Bay CFIT,TSB Canada,2014,Boeing 737-210C,Charter passenger/cargo,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2011/a11h0002/a11h0002.html,Off-track ILS CFIT with divergent crew mental models and CRM breakdown.,"Full CVR/FDR, deviation plots, GPWS events.",Lateral/vertical SA; continuation of unstable approach; control and callout behavior.,HIGH,Key case in TSB unstable-approach outreach.
10,"Runway Overrun and Fire, Air France Flight 358 Toronto (TSB A05H0002)",TSB Canada,2007,Airbus A340-313,International passenger,http://www.tsb.gc.ca/eng/rapports-reports/aviation/2005/a05h0002/a05h0002.asp,Thunderstorm landing overrun with touchdown long and late reverse; goal conflict and risk acceptance.,"CVR/FDR, weather, distance calculations, timeline.",Weather/SA; intention to land vs divert; landing roll configuration/actions.,HIGH,Frequently cited in runway excursion literature.
11,Air Transportation Safety Investigation Report A98H0003 – Swissair Flight 111,TSB Canada,2003,MD-11,International passenger,https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a98h0003/eng/a98h0003.pdf,"In-flight fire and complex emergency management, diversion decisions and checklist execution.","CVR/FDR, electrical/fire event timeline, ATC comms.",Failure/SA; intention balancing troubleshooting vs immediate landing; emergency action sequences.,HIGH,Rich multi-minute emergency sequence for SERA.
