batch,candidateId,title,aircraft,year,originalUrl,originalFailure,recoveredUrl,recoveredSourceType,confidence,downloadAttempted,downloadStatus,localFile,txtFile,textExtractionStatus,notes
A4R111,8,TSB A15H0002 – Air Canada A320 Halifax Undershoot,Airbus A320-211,2017,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2015/a15h0002/a15h0002.htm,HTTPError 404,https://www.tsb.gc.ca/sites/default/files/rapports-reports/aviation/A15H0002/eng/a15h0002.pdf,OFFICIAL_PDF,HIGH,YES,DOWNLOADED,a4r111-recovered-pool/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.pdf,a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,TXT_EXTRACTED,TSB site restructured; old /enquetes-investigations/ path → new /rapports-reports/ pattern
A4R111,9,TSB A11H0002 – First Air Flight 6560 Resolute Bay CFIT,Boeing 737-210C,2014,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2011/a11h0002/a11h0002.htm,HTTPError 404,https://www.tsb.gc.ca/sites/default/files/rapports-reports/aviation/A11H0002/eng/a11h0002.pdf,OFFICIAL_PDF,HIGH,YES,DOWNLOADED,a4r111-recovered-pool/9__2014__TSB-Canada__Boeing-737-210C__TSB-A11H0002-First-Air-6560-Resolute-Bay.pdf,a4r111-recovered-pool-txt/9__2014__TSB-Canada__Boeing-737-210C__TSB-A11H0002-First-Air-6560-Resolute-Bay.txt,TXT_EXTRACTED,TSB site restructured
A4R111,12,TSB A13H0001 – Ornge Sikorsky S-76A Moosonee,Sikorsky S-76A,2016,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2013/a13h0001/a13h0001.htm,HTTPError 404,https://www.tsb.gc.ca/sites/default/files/rapports-reports/aviation/A13H0001/eng/a13h0001.pdf,OFFICIAL_PDF,HIGH,YES,DOWNLOADED,a4r111-recovered-pool/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.pdf,a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,TXT_EXTRACTED,TSB site restructured
A4R111,16,In-flight Upset – Qantas Flight 72 (ATSB AO-2008-070),Airbus A330-303,2011,https://www.atsb.gov.au/sites/default/files/media/5776944/ao-2008-070_final.pdf,timeout,https://www.atsb.gov.au/publications/investigation_reports/2008/aair/ao-2008-070,OFFICIAL_DATABASE_PAGE,HIGH,NO,DOWNLOAD_FAILED,,,NOT_ATTEMPTED,ATSB website unreachable from environment (HTTP/2 + timeout errors). Retry with different network.
A4R111,17,Hard Landing ATR 72 VH-FVZ Canberra (ATSB AO-2017-111),ATR 72-600,2019,https://www.atsb.gov.au/sites/default/files/media/5776944/ao-2017-111_final.pdf,timeout,https://www.atsb.gov.au/publications/investigation_reports/2017/aair/ao-2017-111,OFFICIAL_DATABASE_PAGE,HIGH,NO,DOWNLOAD_FAILED,,,NOT_ATTEMPTED,ATSB website unreachable from environment.
A4R111,20,TSB Unstable Approaches/CRM cluster backgrounder,Multiple,2014,https://www.bst-tsb.gc.ca/eng/medias-media/communiques/aviation/2014/a11h0002-20140325.htm,HTTPError 404,https://bst-tsb.gc.ca/eng/medias-media/communiques/aviation/2014/a11h0002-20140325.html,OFFICIAL_HTML,MEDIUM,NO,DOWNLOAD_FAILED,,,NOT_ATTEMPTED,News release page exists but backgrounder sub-pages are 404. Individual reports recovered separately.
A4R111,25,Collision with Terrain Lockhart River VH-TFU (ATSB 200501977),Fairchild Metro 23,2007,https://www.atsb.gov.au/sites/default/files/media/25103/aair200501977_IFR2_001.pdf,timeout,https://www.atsb.gov.au/publications/investigation_reports/2005/aair/aair200501977,OFFICIAL_DATABASE_PAGE,HIGH,NO,DOWNLOAD_FAILED,,,NOT_ATTEMPTED,ATSB website unreachable. Archived PDF available at web.archive.org.au.
A4R111,26,Air India Express Boeing 737-800 VT-AXV Mangalore 2010,Boeing 737-800,2010,https://skybrary.aero/bookshelf/report-accident-air-india-express-boeing-737-800-aircraft-vt-axv-22nd-may-2010-mangalore,HTTPError 403,,NOT_FOUND,HIGH,NO,DOWNLOAD_FAILED,,,NOT_ATTEMPTED,DGCA India domain offline. Report exists but no working official URL found. SOURCE_RECHECK_REQUIRED.
A4R111,27,TSB A21C0038 – AS350 B2 C-FYDA Griffith Island,Airbus AS350 B2,2024,https://www.tsb.gc.ca/eng/rapports-reports/aviation/2021/A21C0038/A21C0038.htm,HTTPError 404,https://www.tsb.gc.ca/sites/default/files/rapports-reports/aviation/A21C0038/eng/a21c0038.pdf,OFFICIAL_PDF,HIGH,YES,DOWNLOADED,a4r111-recovered-pool/27__2024__TSB-Canada__Airbus-AS350-B2__TSB-A21C0038-AS350-Griffith-Island.pdf,a4r111-recovered-pool-txt/27__2024__TSB-Canada__Airbus-AS350-B2__TSB-A21C0038-AS350-Griffith-Island.txt,TXT_EXTRACTED,TSB site restructured; case-sensitive A21C0038 path
A4R111,34,TSB A09A0016 – Cougar Helicopters Flight 91 Sikorsky S-92A,Sikorsky S-92A,2011,https://tsb.gc.ca/eng/rapports-reports/aviation/2009/a09a0016/A09A0016.pdf,HTTPError 404,https://www.tsb.gc.ca/sites/default/files/rapports-reports/aviation/A09A0016/eng/A09A0016.pdf,OFFICIAL_PDF,HIGH,YES,DOWNLOADED,a4r111-recovered-pool/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.pdf,a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,TXT_EXTRACTED,TSB PDF path differs from HTML path
A4R111,35,Pel-Air VH-NGA Norfolk Island (ATSB AO-2009-072),IAI Westwind 1124A,2017,https://www.atsb.gov.au/investigations/ao-2009-072,timeout,https://www.atsb.gov.au/publications/investigation_reports/2009/aair/ao-2009-072,OFFICIAL_DATABASE_PAGE,MEDIUM,NO,DOWNLOAD_FAILED,,,NOT_ATTEMPTED,ATSB unreachable. Reopened report (2017) 531pp. ASN mirror exists.
