"candidate_id","event_name","submitted_url","submitted_source_type","link_quality_status","issue","corrected_locator_if_known_from_repo","action_required","status"
"C-001","Colgan 3407","not_provided_in_attachment","unknown","OFFICIAL_BUT_NEEDS_LOCATOR","Repo has official-source references but raw Perplexity URL unavailable","NTSB AAR-10/01 / DCA09MA027","normalize official locator","OPEN"
"C-002","Asiana 214","Motley Rice marker reported in brief","secondary/litigation","NON_OFFICIAL_WEAK","Not acceptable as primary source","NTSB AAR-14/01 official report","replace source","OPEN"
"C-003","UPS 1354","not_provided_in_attachment","unknown","OFFICIAL_BUT_NEEDS_LOCATOR","Canonical NTSB locator still needs clean recording","NTSB AAR-14/02","normalize official locator","OPEN"
"C-004","First Air 6560","not_provided_in_attachment","unknown","OFFICIAL_BUT_NEEDS_LOCATOR","TSB official source likely but raw URL unavailable","TSB A11H0002","record locator","OPEN"
"C-005","Air France 447","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Repo has BEA locator; raw URL unavailable","BEA AF447 final report","retain official locator","OPEN"
"C-006","Turkish 1951","YouTube marker reported in brief","video/secondary","NON_OFFICIAL_WEAK","Video cannot be primary source","Dutch Safety Board Turkish 1951 official investigation","replace source","OPEN"
"C-007","G-WNSB Sumburgh","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Repo has AAIB source; raw URL unavailable","AAIB AAR 1/2016 G-WNSB","retain official locator","OPEN"
"C-008","Air Canada 759","not_provided_in_attachment","unknown","SOURCE_NOT_VERIFIED","No local source confirmation found in this phase","unknown official locator","source validation required","OPEN"
"C-009","Spanair JK5022","Wikipedia marker reported in brief","secondary/public summary","NON_OFFICIAL_WEAK","Not acceptable as primary source","CIAIAC A-032/2008 official report locator noted in failed-link recovery","replace source","OPEN"
"C-010","Pel-Air VH-NGA","Australian Aviation/Flying marker reported in brief","secondary/media","NON_OFFICIAL_WEAK","Not acceptable as primary source","ATSB AO-2009-072 official locator","replace source","OPEN"
"C-011","Delta 191","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Local recovered official text exists","NTSB AAR-86-05 local recovered text","retain control source","OPEN"
"C-012","USAir 427","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Repo has source-slice/hold references","NTSB USAir 427 official report source-slice","retain boundary source","OPEN"
"C-013","N109W","not_provided_in_attachment","unknown","SOURCE_NOT_VERIFIED","Prior repo material is superseded/held","no active locator for reentry","keep hold","OPEN"
"C-014","N11NM","not_provided_in_attachment","unknown","SOURCE_NOT_VERIFIED","Prior repo material is superseded/held","no active locator for reentry","keep hold","OPEN"
"C-015","5N-BQJ","not_provided_in_attachment","unknown","OFFICIAL_BUT_NEEDS_LOCATOR","Official/interim material exists but source depth remains partial","AIB Nigeria local source-corpus references","retain as control only","OPEN"
"C-016","Execuflight 1526","AAR-16/03 vs AAR-19/02 inconsistency reported in brief","official/mismatched","WRONG_OR_MISMATCHED_LINK","AAR-19/02 mismatch rejected","NTSB AAR-16/03 / CAROL 92314","correct report number","OPEN"
"C-017","Thebaud / CHO S-92","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Local A4R197-E source present","TSB A19A0055","retain official locator","OPEN"
"C-018","Peasmarsh","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Local A4R197-E source present","AAIB Peasmarsh report locator in extraction","retain official locator","OPEN"
"C-019","Vigo","not_provided_in_attachment","unknown","SOURCE_NOT_VERIFIED","Only notification-level source was adequate locally","primary CIAIAC report not established","reject or replace","OPEN"
"C-020","Comair 5191","generic/repeated docket marker reported in brief","generic docket","WRONG_OR_MISMATCHED_LINK","Must use event-specific NTSB locator","NTSB DCA06MA064 / AAR-07/05","replace generic link","OPEN"
"C-021","TransAsia GE235","generic/repeated docket marker reported in brief","generic docket","WRONG_OR_MISMATCHED_LINK","Must use event-specific authority report","Taiwan ASC/TTSB GE235 official report","replace generic link","OPEN"
"C-022","Air France 358","First Air link mismatch reported in brief","wrong event link","WRONG_OR_MISMATCHED_LINK","Submitted top-list link pointed to wrong event","TSB A05H0002","correct link","OPEN"
"C-023","Southwest 1455","not_provided_in_attachment","unknown","SOURCE_NOT_VERIFIED","Official locator not established in this phase","NTSB official report locator required","source validation required","OPEN"
"C-024","Korean Air Cargo 8509","not_provided_in_attachment","unknown","SOURCE_NOT_VERIFIED","Possible translation/docket issue","AAIB/official translation locator required","source validation required","OPEN"
"C-025","American 1420","not_provided_in_attachment","unknown","OFFICIAL_BUT_NEEDS_LOCATOR","Likely NTSB source but raw URL unavailable","NTSB AAR-01/02","normalize official locator","OPEN"
"C-026","American 965","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Already represented locally","A4R115 source-slice; official Colombia/FAA-hosted copy","avoid duplicate extraction","OPEN"
"C-027","United 173","not_provided_in_attachment","unknown","OFFICIAL_CONFIRMED","Already represented locally","A4R119 source-slice; NTSB/FAA-hosted copy","avoid duplicate extraction","OPEN"
"C-028","Aeroperu 603","Skybrary marker reported in brief","secondary summary","NON_OFFICIAL_WEAK","Skybrary cannot be primary source","primary DGAC/authority report required","reject unless source recovered","OPEN"
"C-029","Emirates A380 / Emirates candidate","Simple Flying marker reported in brief","secondary media","NON_OFFICIAL_WEAK","Simple Flying cannot be primary source; event identity uncertain","UAE GCAA/AAIS or TSIB official locator required","reject or replace","OPEN"
"C-030","Unspecified or redundant Perplexity candidate","not_provided_in_attachment","unknown","SOURCE_NOT_VERIFIED","Description insufficient and possibly redundant","none","reject or recover raw output","OPEN"
