gap_id,gap_name,current_status,methodological_value,ambiguity_risk,recommended_lane,recommended_priority,minimum_next_gate,source_recovery_needed,synthetic_design_needed,human_decision_needed,risks_if_advanced_now,forbidden_next_actions,notes
GAP-001,PF_PM_separation,CONTROLLED_DRAFT_RETAINED_PLUS_HOLD,HIGH,HIGH,SOURCE_RECOVERY_CANDIDATE,P1,SOURCE_CLOSURE_GATE,YES,already_drafted,YES,classify PF/PM without source closure;promote HOLD to READY;PM-primary leakage,no PF/PM classification;no fixture;no baseline;no product;no HOLD-to-READY,real-first;synthetic draft A4R194-J retained;basis Thebaud Vigo Colgan 3407
GAP-002,Agent_migration,DESIGN_ONLY,HIGH,HIGH,SYNTHETIC_DESIGN_ONLY_CANDIDATE,P1,DESIGN_ONLY_GATE,NO,YES,YES,design used to reclassify a real event;implicit agent switch after anchor,no real-event reclassification;no materialization;no fixture,TYPE-09 violation-language trap;basis Asiana 214 Comair 5191 United 173 Colgan 3407
GAP-003,Actor_specific_sequenceRef,DESIGN_ONLY_PLUS_OPEN_RISK,HIGH,HIGH,SOURCE_RECOVERY_CANDIDATE,P1,SOURCE_CLOSURE_GATE,YES,supporting,YES,invent sequenceRef without source;coarse pf03/pm03 misuse,no invented sequenceRef;no promotion;no fixture,ties to RISK-SEQREF-001 OPEN;design-only refine via ROUTE-2;basis Thebaud Peasmarsh Vigo
GAP-004,Consequence_as_cause,DESIGN_ONLY,HIGH,HIGH,SYNTHETIC_DESIGN_ONLY_CANDIDATE,P1,DESIGN_ONLY_GATE,NO,YES,YES,use post-escape-point outcome to classify P/O/A,no outcome-as-cause;no final outputs;no materialization,TYPE-08 outcome trap;protects escape-point rule;basis American 965 Delta 191 USAir 427 5N-BQJ
GAP-005,Technical_environment_negative_control,HOLD_TECHNICAL_DOMINANT,MEDIUM_HIGH,MEDIUM,NEGATIVE_CONTROL_CANDIDATE,P2,NEGATIVE_CONTROL_BOUNDARY_GATE,YES,supporting,YES,force human framing under technical onset;baseline contamination,no forced human reclassification;no baseline;no product,TYPE-03 technical negative control;dangerous if used too early;basis Delta 191 USAir 427 5N-BQJ
GAP-006,Warning_callout_go_around_mechanism,DESIGN_ONLY,MEDIUM,MEDIUM,SYNTHETIC_DESIGN_ONLY_CANDIDATE,P2,DESIGN_ONLY_GATE,supporting,YES,YES,warning-as-anchor;late anchor on warning chain,no warning-as-anchor;no runtime integration;no materialization,TYPE-07 warning trap preserved in GAP-001 draft;basis Peasmarsh Vigo
GAP-007,Crew_collective_vs_individual_actor,DESIGN_ONLY,MEDIUM,MEDIUM,SYNTHETIC_DESIGN_ONLY_CANDIDATE,P2,DESIGN_ONLY_GATE,NO,YES,YES,collective label overrides distinct acts;crew as fallback,no crew fallback;no product unlock;no materialization,TYPE-10 organizational boundary;crew context-only;basis Colgan Asiana UPS1354 American1420
GAP-008,Progressive_zone_anchor_precision,HOLD_PLUS_SUPERSEDED_SUBSET,MEDIUM,MEDIUM,SOURCE_RECOVERY_CANDIDATE,P2,SOURCE_CLOSURE_GATE,YES,supporting,YES,imprecise anchor in wide progressive window,no reentry execution;no promotion;no invented anchor,TYPE-02 progressive;N109W N11NM superseded subset stays P3;basis American 965 American1420 UPS1354 Comair5191 United173
GAP-009,Automation_FMS_ambiguity,HOLD_SINGLE_SOURCE,MEDIUM,HIGH,HOLD,DEFER,EXPAND_BASIS_BEFORE_DESIGN,NO,NO,YES,over-generalization from a single event;mix automation with human intent,no design from single source;no materialization;no claim of method validity,TYPE-05 mixed boundary;single basis American 965;defer
GAP-010,Colgan_style_boundary_decision,REQUIRES_BOUNDARY_DECISION,HIGH,HIGH,REQUIRES_HUMAN_DECISION,P1,BOUNDARY_DECISION_GATE,coupled_to_GAP-001,coupled_to_GAP-001,YES,divergent PF/PM boundary versus GAP-001;inconsistent gate,no synthetic instance generation;no PF/PM classification;no fixture,parent boundary decision for GAP-001;basis Colgan 3407
