finding_id,original_severity,claimed_closure_status,independent_status,evidence_in_code,evidence_in_tests,evidence_in_runtime,contradictions,remaining_risk,audit_verdict
F-01,HIGH,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,run-all.ts adds classification_accuracy metric but cases.ts narratives authored to concept lexicon,v02 classification_accuracy=1 on crafted cases; my independent test 3/6 code-expected,engine emits codes only on lexicon-aligned prose,none,Validation still measures lexical/contract compliance not real accuracy,Boundary-compliance relabel accepted; accuracy claim still unproven
F-02,HIGH,NOT_RESOLVED,PARTIALLY_RESOLVED,Frozen manifest with sha256 (casePayloadSha256) verified at runtime,manifest hash assertion passes; expected codes frozen pre-run,expected codes no longer fittable post-hoc,Closure matrix says NOT_RESOLVED; manifest freeze actually exists,Narratives still authored to lexicon -> circular at narrative level; no independent gold set,Partial: expected freeze real but narrative-engine coupling persists
F-03,HIGH,PARTIALLY_RESOLVED,VERIFIED_RESOLVED,evaluate-node.ts decideP/decideA now branch P_TIME_PRESSURE/P_INFORMATION_*/A_CAPABILITY/A_TIME_PRESSURE,run-reachability.ts real engine 22/22 positive + 22/22 negative,all 22 leaves emitted by runSeraVNextEngineV0,"Closure matrix ""8/22 unreachable"" is STALE/CONTRADICTED",Reachable only via lexicon-aligned inputs; real-world emission low,Resolved in code; closure record obsolete
F-04,HIGH,NOT_RESOLVED,VERIFIED_RESOLVED,O_RULES/O_ROUTINE require knownRule+explicitAwareness+consciousDeviation; awarenessMissingForViolation guardrail,V02-INDEP awareness cases; my IND-05 continuation-no-awareness did NOT emit O-B,no false O-B on mere continuation,"Closure matrix ""NOT_RESOLVED"" CONTRADICTED by code+test",Now UNDER-attributes: IND-04/IND-10 abstained despite explicit awareness prose,Over-attribution resolved; new under-attribution finding NF-01
F-05,HIGH,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,concepts.ts has pt-BR + en regexes for every concept,v02 language_parity pt-BR=1 en=1 on crafted cases,my PT recall 1/3 code cases (neblina missed); EN 2/3,"Closure matrix ""axis patterns remain English"" is FALSE; engine-v02 doc overstates real coverage",Real Portuguese narratives frequently abstain; lexical not semantic,Bilingual lexicon real but PT capability limited
F-06,MEDIUM,RESOLVED,VERIFIED_RESOLVED,10-assurance.ts maps all 9 from computeSeraVNextGuardrails,guardrail_detection_rate=1 on boundary cases,all 9 guardrail booleans computed at runtime,none,UI surfacing thin (see NF-02),Engine computation genuinely resolved
F-07,HIGH,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,analyze/route.ts flag-gated vNext path; createSeraVNextAnalysis; no silent fallback,canonical-routing trial exists,flag default false -> legacy is common path,none,vNext branch returns seraAnalysis:null; common UI cannot render it (NF-03),Architectural split documented; common flow still legacy
F-08,MEDIUM,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,risk-profile/server.ts tags sourceFlow+engine_runtime_version; emits MIXED_VERSION_LIMITATION,n/a,distributions still pooled across versions,none,Aggregates still mix non-comparable code spaces,Tagging added; separation not done
F-09,MEDIUM,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,copy tempered to panorama descritivo; weights unchanged,n/a,score formula (1.0/0.8/0.6 weights) unchanged,none,Undocumented heuristic still drives visible score,Copy tempered; method unjustified
F-10,MEDIUM,NOT_RESOLVED,NOT_RESOLVED,erc.ts ARMS mapping only 3 perception rows; rest default C,n/a,ERC distribution under-specified,none,ERC shown to users is sparse heuristic labelled as ARMS,Confirmed unresolved
F-11,MEDIUM,SUPERSEDED,PARTIALLY_RESOLVED,v02 reports behavioral metrics separately,v02 behavioral suite real but lexicon-crafted; static guards remain in tree,n/a,"""SUPERSEDED"" overstates; static-grep trials still dominate root suite",Headline counts still mix static + behavioral,Behavioral subset added; suite not consolidated
F-12,HIGH,RESOLVED,VERIFIED_RESOLVED,page.tsx/risk-profile page.tsx reworded; no IA classifica/Metodologia validada,n/a,UI copy now candidate-only/em validação,none,periodic copy audit advisable,Resolved
F-13,MEDIUM,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,/api/analyses/risk-profile/route.ts STILL EXISTS (legacy-only divergent),n/a,three endpoints still present,"Closure matrix ""NOT YET CHECKED"" -> confirmed still present",Divergent legacy endpoint can return inconsistent numbers,Not consolidated
F-14,MEDIUM,RESOLVED,VERIFIED_RESOLVED,risk-profile + exclusions + org/intelligence return generic msg + request_id,n/a,no raw DB errors from risk endpoints,none,/api/analyze still leaks err.message (NF-04 separate),Risk endpoints resolved
F-15,LOW,NOT_RESOLVED,NOT_RESOLVED,sera-vnext/engine.ts + legacy steps still present,n/a,dead in product runtime,none,developer confusion only,Confirmed unresolved
F-16,LOW,NOT_RESOLVED,NOT_RESOLVED,sera-pt-v1.ts inferEvidenceRequired/inferProhibitedInferences synthesize from node-id,n/a,metadata engine-generated,none,not traceable to canonical asset,Confirmed unresolved
F-17,LOW,NOT_RESOLVED,NOT_RESOLVED,canonical-tree.ts O_MANAGED_RISK PT polarity unchanged,n/a,reviewer confusion risk,none,low (candidate-only),Confirmed unresolved
F-18,MEDIUM,NOT_RESOLVED,NOT_RESOLVED,candidate-escape-window.ts heuristic unchanged,n/a,PROGRESSIVE_ZONE labelling + human confirmation,none,escape point may be early,Confirmed unresolved (mitigated by review)
F-19,LOW,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,exclusions RLS tenant-only; requireAdmin at API,n/a,API sole writer,none,no DB-level role/source FK,Defense-in-depth gap remains
F-20,LOW,SUPERSEDED,NOT_APPLICABLE,beta JWT helpers SECURITY INVOKER not DEFINER,n/a,n/a,none,minimal,Accepted as non-issue
F-21,LOW,NOT_RESOLVED,VERIFIED_RESOLVED,A_CAPABILITY returns INSUFFICIENT_EVIDENCE without positive capability evidence,reachability/independent cases,no SIM default,"Closure matrix ""NOT_RESOLVED"" CONTRADICTED by code",none,Resolved in code; closure record obsolete
F-22,MEDIUM,PARTIALLY_RESOLVED,NOT_RESOLVED,risk-profile-security-trial-001.ts soft-skip try/catch unchanged,n/a,n/a,none,cross-tenant negative test can pass vacuously,Confirmed unresolved (documented only)
F-23,LOW,RESOLVED,VERIFIED_RESOLVED,dashboard/page.tsx:212 fetches /api/risk-profile,n/a,dashboard uses audited endpoint,none,none,Resolved
