risk_id,risk,severity,why_it_matters,mitigation,current_status,next_phase
"R-001","Colgan still unresolved as positive reference","HIGH","A fourth positive reference would overstate stability in the weakest warning-window case","keep Colgan outside the positive set and use it only as boundary pressure","OPEN_EXPLICITLY_QUARANTINED","A4R206-BIG"
"R-002","Asiana automation boundary remains warning-bearing","MEDIUM_HIGH","benchmark criteria could overfreeze one automation anchor if the caveat is lost","carry automation and 500 ft gate caveat into every later design artifact","OPEN_CONTROLLED","A4R206-BIG"
"R-003","UPS procedure and FMC and MDA boundary remains warning-bearing","MEDIUM_HIGH","benchmark criteria could collapse setup and continuation into one finalized anchor too early","carry setup-versus-execution and MDA caveat into later design criteria","OPEN_CONTROLLED","A4R206-BIG"
"R-004","GAP-002 is design-ready but not materialized","HIGH","agent migration remains a known family without a controlled synthetic draft exercising the guardrails","keep the lane explicit and forbid silent closure claims","OPEN_DESIGN_READY_ONLY","A4R206-BIG or later authorized synthetic phase"
"R-005","GAP-004 is not fixture or baseline","MEDIUM","controlled synthetic support could be misread as a reusable benchmark or fixture artifact","preserve CONTROLLED_SYNTHETIC_DRAFT_ONLY status and repeat the lock in all downstream planning","OPEN_INTENTIONAL","A4R206-BIG"
"R-006","Human-applied crank case is not vNext final","MEDIUM","the preserved human escape point and O-A/P-A/A-A could be overread as released methodology","keep HUMAN_CLASSIFICATION_RECORDED_AS_INPUT_ONLY and TEAM_REDUCTION_PRECONDITION_NOT_ESCAPE_POINT explicit","OPEN_INPUT_ONLY","A4R206-BIG"
"R-007","Daumas is not a factual source","HIGH","if Daumas leaks into factual lanes the corpus loses source discipline and event-trace integrity","repeat non-factual and non-automatic lock in every future design package","OPEN_METHOD_ONLY","A4R206-BIG"
"R-008","Product and fixture and baseline lanes remain blocked","HIGH","premature promotion would convert candidate-only material into active system behavior","keep governance locks intact and stop at design-only criteria","OPEN_BLOCKED_BY_GOVERNANCE","A4R206-BIG and later separate gates"
"R-009","Typecheck environment debt remains pre-existing risk","MEDIUM","validation confidence drops if `tsc` is unavailable or older unrelated errors mask new issues","run typecheck and record whether failure is environment or pre-existing debt only","OPEN_VALIDATION_RISK","A4R205-BIG closeout"
"R-010","Untracked files remain out of scope","LOW","broad local noise raises staging and packaging risk on `main`","stage explicitly and exclude known pre-existing untracked material from git actions","OPEN_REPO_HYGIENE_RISK","A4R205-BIG closeout"
