principle,Hendy_position,Daumas_position,SERA_vNext_position,coherence_status,divergence_or_risk,recommended_action
perception,Hendy anchors perception in the operator state of knowledge of the world,Daumas reconstructs what the operator believed through interview deepening before coding,SERA vNext should keep perception evidence separate from context and outcome,COHERENT,Interview reconstruction can overstate certainty if not bounded,keep cue recognition and uncertainty explicit
objective_goal,Hendy asks what goal the operator was trying to achieve,Daumas records the actor intent as stated in the event reconstruction,SERA vNext should preserve objective and goal evidence without jumping to violation labels,COHERENT,Intent can be overread from later consequence,require explicit goal evidence notes
action,Hendy asks how the operator tried to achieve the goal,Daumas anchors action in the concrete act or omission at the unsafe moment,SERA vNext should preserve observed action as its own lane,COHERENT,Later consequence can displace the actual action boundary,keep action tied to the candidate escape window
active_failure,Hendy separates active failure from preconditions,Daumas codes the unsafe moment while still carrying contextual material,SERA vNext must keep active failure under review distinct from surrounding context,COHERENT,Context can swallow the direct failure if discipline weakens,keep active failure and context in separate rows
actor_directness,Hendy requires attention to the operator whose behaviour is being explained,Daumas keeps the coded actor centered even when training and hierarchy matter,SERA vNext must preserve direct actor candidates and guard against drift,COHERENT,Agent migration toward organization or technology is a recurring risk,carry explicit actor-migration checks
timing_of_failure,Hendy links the analysis to the behaviour that led directly to the occurrence,Daumas reconstructs the bounded operational moment before coding,SERA vNext should preserve earliest latest and critical-act distinctions,COHERENT,Single timestamp closure can be forced too early,retain structured window analysis
safe_operation_departure,Hendy focuses on the unsafe act or unsafe condition on the occurrence trajectory,Daumas works from the point where safe operation is effectively lost,SERA vNext should keep first departure and critical act distinct when needed,COHERENT,Boundary cases can collapse departure and consequence,require consequence quarantine
evidence_sufficiency,Hendy assumes the investigator can answer questions about goals knowledge and planned actions,Daumas shows that structured interview depth can supply those answers when official reports are thin,SERA vNext should use Daumas as a checklist for sufficiency rather than as a shortcut to closure,COHERENT,Human depth can be mistaken for factual proof,apply method-only gate language
cognitive_contextual_reconstruction,Hendy supplies the logic but not field-specific interview choreography,Daumas adds interview-aware reconstruction and offshore context depth,SERA vNext can use Daumas to raise extraction depth expectations,COHERENT,Applied context can be mistaken for taxonomy authority,keep Hendy precedence explicit
preconditions_vs_active_failure,Hendy strongly separates preconditions from active failures,Daumas carries contextual contributors but still codes the event moment,SERA vNext should preserve supporting context without letting it replace the active lane,COHERENT,Preconditions can be converted into pseudo-active failures,force evidence-lane separation
consequence_quarantine,Hendy centers the explanation before downstream consequence propagation,Daumas coding stays tied to the operative unsafe moment rather than to later severity,SERA vNext should quarantine post-critical consequence material,COHERENT,Late hindsight can still bias case summaries,keep post-critical consequence fields explicit
method_usability_by_humans,Hendy gives a structured causal logic for investigators,Daumas demonstrates that a human analyst can operationalize it with disciplined reconstruction,SERA vNext should use Daumas for analyst workflow calibration and author review preparation,COHERENT,Daumas can become an oracle if used as authority instead of calibration,require author review before broader reuse
