rank,candidate_id,event_name,role,authority,official_report_identifier,official_page_url,official_pdf_url,mirror_url,existing_local_source,locator_status,source_action_required,weak_or_wrong_source_disposition,notes
1,C-002,Asiana Airlines Flight 214,top10,NTSB,AAR-14/01,,https://www.ntsb.gov/investigations/accidentreports/reports/aar1401.pdf,,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/2__2014__NTSB-USA__Boeing-777-200ER__NTSB-AAR-14-01-Asiana-Airlines-Flight-214.txt,ALREADY_IN_REPO,Use local official NTSB text for detailed extraction; verify page references during extraction,Motley Rice and other legal/media summaries rejected as primary,Official PDF and local text are sufficient for source-depth work.
2,C-003,UPS Airlines Flight 1354,top10,NTSB,AAR-14/02,,https://www.ntsb.gov/investigations/accidentreports/reports/aar1402.pdf,,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/3__2014__NTSB-USA__Airbus-A300-600F__NTSB-AAR-14-02-UPS-Airlines-Flight-1354.txt; docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,ALREADY_IN_REPO,Use local official NTSB text and curated text as extraction references,Non-official article summaries rejected as primary,Official PDF and redundant local text are sufficient for source-depth work.
3,C-007,G-WNSB Sumburgh helicopter accident,top10,AAIB UK,AAR 1/2016,https://www.gov.uk/aaib-reports/aircraft-accident-report-aar-1-2016-g-wnsb-23-august-2013,https://assets.publishing.service.gov.uk/media/56e7eaeaed915d0379000023/AAR_1-2016_G-WNSB.pdf,,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,ALREADY_IN_REPO,Use local AAIB text; normalize the polluted PDF suffix recorded in older scouting notes,Polluted publishing.service suffix rejected,Official page and PDF locator are normalized.
4,C-020,Comair Flight 5191,top10,NTSB,AAR-07/05,,https://www.ntsb.gov/investigations/accidentreports/reports/aar0705.pdf,,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/20__2007__NTSB-USA__Bombardier-CL-600-2B19__NTSB-AAR-07-05-Comair-Flight-5191.txt,ALREADY_IN_REPO,Use local official NTSB text for detailed extraction,Generic docket or summary pages rejected as primary,Official PDF and local text are sufficient for source-depth work.
5,C-001,Colgan Air Flight 3407,top10,NTSB,AAR-10/01,,https://www.ntsb.gov/investigations/accidentreports/reports/aar1001.pdf,,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__Bombardier-DHC-8-400__NTSB-AAR-10-01-Colgan-Air-Flight-3407.txt,ALREADY_IN_REPO,Use local official NTSB text for detailed extraction,Secondary summaries rejected as primary,Official PDF and local text are sufficient for source-depth work.
6,C-006,Turkish Airlines Flight 1951,top10,Dutch Safety Board,Final report,https://www.onderzoeksraad.nl/en/onderzoek/turkish-airlines-crash-bij-schiphol,,,,OFFICIAL_PAGE_CONFIRMED,Manual official PDF locator recheck; use Perplexity only if the official PDF locator remains missing,YouTube and media material rejected as primary,Official investigation page is locally documented but no local official text is confirmed.
7,C-009,Spanair Flight JK5022,top10,CIAIAC Spain,A-032/2008,,https://www.fomento.gob.es/recursos_mfom/pdf/EC47A855-B098-409E-B4C8-9A6DD0D0969F/107087/2008_032_A_ENG.pdf,https://www.icao.int/sites/default/files/safety/airnavigation/AIG/Documents/Safety-Recommendations-to-ICAO/Final-Reports/08100370.pdf,,NEEDS_PERPLEXITY_RECHECK,Recheck official PDF availability and current ministry locator before extraction,Wikipedia and copied summaries rejected as primary,Prior locator was official-looking but not successfully downloaded locally.
8,C-010,Pel-Air VH-NGA Norfolk Island ditching,top10,ATSB,AO-2009-072,https://www.atsb.gov.au/publications/investigation_reports/2009/aair/ao-2009-072,,,,OFFICIAL_PAGE_CONFIRMED,Retry official ATSB page and extract report text before detailed extraction,Media accounts rejected as primary,Official database page is documented; extraction must not use media substitutes.
9,C-016,Execuflight Flight 1526,top10,NTSB,AAR-16/03,,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR1603.pdf,,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/16__2016__NTSB-USA__British-Aerospace-HS-125-700A__NTSB-AAR-16-03-Execuflight-Flight-1526.txt,ALREADY_IN_REPO,Use local official NTSB text for detailed extraction,AAR-19/02 and unrelated report mismatches rejected,Official PDF and local text are sufficient for source-depth work.
10,C-008,Air Canada Flight 759,top10,TBD,TBD,,,,,SOURCE_NOT_FOUND,Run Perplexity locator recheck against official NTSB or Canadian authority source; do not substitute another Air Canada event,Air Canada Flight 624 source material is not a valid substitute for Flight 759,Local repo evidence located Air Canada 624 material rather than Air Canada 759.
11,C-022,Air France Flight 358,control_or_supplement,TSB Canada,A05H0002,http://www.tsb.gc.ca/eng/rapports-reports/aviation/2005/a05h0002/a05h0002.asp,,,,OFFICIAL_PAGE_CONFIRMED,Normalize current TSB URL or PDF and avoid First Air mismatch before extraction,Event-name mismatch rejected,Existing local capture appears to be a TSB splash page rather than full report text.
12,C-004,First Air Flight 6560,control_or_supplement,TSB Canada,A11H0002,,https://www.tsb.gc.ca/sites/default/files/rapports-reports/aviation/A11H0002/eng/a11h0002.pdf,,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/14__2012__TSB-Canada__Boeing-737-210C__A11H0002-First-Air-Flight-6560-Controlled-Flight-Into-T.txt,ALREADY_IN_REPO,Use recovered local TSB text for detailed extraction,None accepted as primary outside official TSB report,Recovered official PDF text is available locally.
