extractionId,selectionId,probableEventKey,narrativeSufficiency,sourceCompleteness,extractionConfidence,duplicateGroup,boundaryFlag,sourceMismatchFlag,negativeControlReplication,multiActorReviewNeeded,technicalDominanceRisk,needsSourceEnrichment,readyForA4R181AfterEnrichment,recommendedA4R181Handling,notes
A4R180-EXTRACTION-0001,A4R179-SEL-0001,SOURCE-SLICE-ASIANA-214-A4R106,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,Asiana 214 SFO visual approach unstable A/T HOLD
A4R180-EXTRACTION-0002,A4R179-SEL-0002,SOURCE-SLICE-COMAIR-5191-A4R106,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,Comair 5191 wrong runway takeoff LEX
A4R180-EXTRACTION-0003,A4R179-SEL-0003,SOURCE-SLICE-AMERICAN-1420-A4R115,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,American 1420 LIT overrun windshear
A4R180-EXTRACTION-0004,A4R179-SEL-0004,SOURCE-SLICE-COLGAN-3407-A4R115,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,true,false,false,true,BATCH_B_MULTI_ACTOR,Colgan 3407 stall recovery PF CPT + FO flaps
A4R180-EXTRACTION-0005,A4R179-SEL-0005,SOURCE-SLICE-HELIOS-522-A4R115,NARRATIVE_THIN_NEEDS_ENRICHMENT,MEDIUM,MEDIUM,,true,false,false,false,false,false,true,BATCH_B_BOUNDARY,Helios 522 pressurization hypoxia boundary capability
A4R180-EXTRACTION-0006,A4R179-SEL-0006,SOURCE-SLICE-UPS-1354-A4R115,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,UPS 1354 BHM nonprecision approach
A4R180-EXTRACTION-0007,A4R179-SEL-0007,SOURCE-SLICE-ATLAS-3591-A4R119,NARRATIVE_SUFFICIENT,HIGH,MEDIUM,DUPLICATE_GROUP_ATLAS_3591,false,false,false,true,false,false,true,BATCH_B_MULTI_ACTOR_CONSOLIDATE_WITH_0008,Atlas 3591 mode toggle nose-down inputs FO + CPT intervention
A4R180-EXTRACTION-0008,A4R179-SEL-0008,NTSB-USA-BOEING-767-375BCF,SOURCE_PARTIAL_NEEDS_CAUTION,HIGH,MEDIUM,DUPLICATE_GROUP_ATLAS_3591,false,false,false,true,false,false,true,BATCH_C_DUPLICATE_CONSOLIDATION,Atlas 3591 PDF duplicate of 0007
A4R180-EXTRACTION-0009,A4R179-SEL-0009,SOURCE-SLICE-US-AIRWAYS-1549-A4R115,NARRATIVE_SUFFICIENT,HIGH,HIGH,DUPLICATE_GROUP_US_AIRWAYS_1549,false,false,true,false,false,false,true,BATCH_C_NEGATIVE_CONTROL_CONSOLIDATION,US Airways 1549 negative control replication
A4R180-EXTRACTION-0010,A4R179-SEL-0010,AERONAUTICA-CIVIL-COLOMBIA-BOEING-757-223,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,true,false,false,true,BATCH_B_MULTI_ACTOR_RECLASSIFY,American 965 Cali CFIT reclassify from negative control; negativeControlHandled=false
A4R180-EXTRACTION-0011,A4R179-SEL-0011,NTSB-USA-BOEING-747-300,NARRATIVE_THIN_NEEDS_ENRICHMENT,HIGH,MEDIUM,DUPLICATE_GROUP_KOREAN_801,true,false,false,false,false,false,true,BATCH_C_DUPLICATE_CONSOLIDATION,Korean 801 Guam CFIT boundary P-only governance
A4R180-EXTRACTION-0012,A4R179-SEL-0012,TSB-CANADA-LIGHT-HELICOPTER-OR-SMALL-AIRCRAFT-SEE-REPORT-FOR-EXACT-TYPE,NARRATIVE_THIN_NEEDS_ENRICHMENT,HIGH,MEDIUM,,true,false,false,true,false,false,true,BATCH_B_BOUNDARY_REFRAME,TSB Bell 206L-4 Quebec flat light single-pilot reframe
A4R180-EXTRACTION-0013,A4R179-SEL-0013,TSB-CANADA-BELL-206B,NARRATIVE_SUFFICIENT,HIGH,MEDIUM,,true,false,false,true,true,false,true,BATCH_B_BOUNDARY_REFRAME,TSB Bell 206B LTE single-pilot technical boundary
A4R180-EXTRACTION-0014,A4R179-SEL-0014,NTSB-USA-SIKORSKY-S-76A,SOURCE_MISMATCH_REQUIRES_REPAIR,NONE,LOW,,false,true,false,false,true,true,false,BATCH_D_REPAIR_BEFORE_ADJUDICATION,Sikorsky S-76A TXT mismatch FTW02LA122 Cessna 172R
