intakeId,sourceTraversalId,eventId,eventKey,axis,nodeId,nodeOrder,exactQuestionTextPt,preliminaryAnswerStatus,preliminaryAnswerRationale,evidenceAnchor,authorDecisionRequired,allowedAuthorDecisionValues,authorDecision,authorDecisionRationale,effectIfAccepted,effectIfRejected,nextRequiredAction,notFinalClassification,poaClosureAllowed,selectedCodeAllowed,fixturePromotionAllowed,baselinePromotionAllowed,downstreamAllowed,sourcePhase
A4R187-NODE-0001,A4R186-TRAV-0001,0001,Asiana 214 SFO,P,P_ROOT,1,O que o operador acreditou que estava acontecendo no ambiente com relação ao objetivo que pretendia alcançar?,EVIDENCE_INSUFFICIENT,Descricao de crença operacional precisa de delimitacao autoral.,ASIANA-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0002,A4R186-TRAV-0002,0001,Asiana 214 SFO,P,P_ASSESSMENT,2,Avaliação correta ou adequada da situação?,EVIDENCE_SUPPORTS_NO,Evidencia aponta avaliacao inadequada da situacao no ponto de fuga.,ASIANA-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0003,A4R186-TRAV-0003,0001,Asiana 214 SFO,P,P_CAPABILITY,3,Possuía a capacidade necessária para sentir e perceber a situação?,EVIDENCE_INSUFFICIENT,"Branch entre capacidade sensorial, conhecimento ou outra condicao nao foi fechado nesta fase.",ASIANA-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0004,A4R186-TRAV-0004,0001,Asiana 214 SFO,O,O_ROOT,1,O que o operador estava tentando alcançar? Qual era a intenção ou o objetivo que o levou a cometer o ato inseguro?,EVIDENCE_INSUFFICIENT,"Objetivo imediato foi identificado, mas sem fechamento por node nesta fase.",ASIANA-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0005,A4R186-TRAV-0005,0001,Asiana 214 SFO,O,O_RULES,2,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?",EVIDENCE_INSUFFICIENT,Consistencia completa com regras/SOP/risk management depende de decisao autoral por node.,ASIANA-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0006,A4R186-TRAV-0006,0001,Asiana 214 SFO,A,A_ROOT,1,Como o operador estava tentando atingir o objetivo?,EVIDENCE_INSUFFICIENT,"Metodo de execucao da acao foi descrito, mas sem branch fechado.",ASIANA-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0007,A4R186-TRAV-0007,0001,Asiana 214 SFO,A,A_IMPLEMENTED,2,A ação foi implementada como pretendida?,EVIDENCE_INSUFFICIENT,Branch de implementacao e adequacao de resposta requer decisao autoral por node.,ASIANA-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0008,A4R186-TRAV-0008,0002,Comair 5191 LEX,P,P_ROOT,1,O que o operador acreditou que estava acontecendo no ambiente com relação ao objetivo que pretendia alcançar?,EVIDENCE_INSUFFICIENT,Descricao de crença operacional precisa de delimitacao autoral.,COMAIR-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0009,A4R186-TRAV-0009,0002,Comair 5191 LEX,P,P_ASSESSMENT,2,Avaliação correta ou adequada da situação?,EVIDENCE_SUPPORTS_NO,Evidencia aponta avaliacao inadequada da situacao no ponto de fuga.,COMAIR-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
A4R187-NODE-0010,A4R186-TRAV-0010,0002,Comair 5191 LEX,P,P_CAPABILITY,3,Possuía a capacidade necessária para sentir e perceber a situação?,EVIDENCE_INSUFFICIENT,"Branch entre capacidade sensorial, conhecimento ou outra condicao nao foi fechado nesta fase.",COMAIR-A4R180-F1/F2/F3,true,ACCEPT_NODE_ANSWER|REJECT_NODE_ANSWER|NEEDS_MORE_EVIDENCE|BRANCH_BLOCKED|AXIS_TRAVERSAL_BLOCKED,PENDING_AUTHOR_DECISION,,Maintain preliminary answer as author-accepted node record for A4R188.,Replace preliminary node answer and register updated rationale in A4R188.,Collect author decision and rationale; then record node outcome in A4R188.,true,false,false,false,false,false,A4R186
