evidence_dimension,mandatory_or_desirable,minimum_threshold,what_missing_means,allowed_status_if_missing,Daumas_relation,real_event_use,synthetic_design_use,notes
source_locator,MANDATORY,traceable source path or page anchor,evidence cannot be audited,HOLD_OR_SOURCE_GAP,Daumas source text and section anchors show trace discipline,prevents weak-source drift,sets minimum artifact provenance for synthetic design,do not bypass locator rules
timeline,MANDATORY,ordered operational sequence around the unsafe moment,boundary timing becomes unstable,HOLD_OR_REAUDIT,Daumas repeatedly works from stepwise sequence,stabilizes escape-window reasoning,defines event flow needed for realistic synthetic design,sequence before coding
actor_directness,MANDATORY,direct actor candidate named with evidence,agent migration risk rises,CANDIDATE_ONLY_WITH_WARNING,Daumas keeps the coded actor explicit,prevents context from replacing actor,forces actor specificity in synthetic scenarios,do not use crew collective as fallback
PF_PM_or_role_attribution,DESIRABLE,role attribution where multi-actor mechanics matter,shared monitoring details remain weaker,CANDIDATE_ONLY_WITH_WARNING,Daumas shows role-sensitive reconstruction in cockpit cases,sharpens monitoring and command boundaries,important for PF PM and training synthetics,not every case requires PF PM
observed_action_omission,MANDATORY,concrete action or omission near the unsafe point,action lane becomes diffuse,HOLD_OR_REAUDIT,Daumas codes from observed unsafe operation,anchors action evidence,prevents vague synthetic failure statements,keep observable wording
perception_cues,MANDATORY,cues available or unavailable are explicit,perception lane becomes speculative,CANDIDATE_ONLY_WITH_WARNING,Daumas ties perception to what the operator believed,controls cue-overread in real events,requires cue realism in synthetic design,include evidence against
objective_goal_evidence,MANDATORY,goal or intent is evidenced rather than assumed,objective lane can overreach,CANDIDATE_ONLY_WITH_WARNING,Daumas records what the actor was trying to achieve,limits violation inflation,critical for ambiguous-goal synthetics,do not infer from outcome alone
action_evidence,MANDATORY,how the actor tried to act is explicit,action coding cannot be defended,HOLD_OR_REAUDIT,Daumas separates attempted action from belief and goal,stabilizes active-failure lane,defines executable synthetic behaviour,action must be distinct from aircraft state
communication_callout,DESIRABLE,relevant communication or its absence is noted,shared-model gaps remain underdescribed,CANDIDATE_ONLY_WITH_WARNING,Daumas interview depth captures cockpit or team exchange,helps real-event coordination analysis,important for warning callout synthetic families,absence can itself be evidence
warning_alert,DESIRABLE,warning or alert status near the unsafe window is explicit,late-hindsight risk increases,CANDIDATE_ONLY_WITH_WARNING,Daumas cases preserve operational cues and system interaction,helps control warning-boundary cases,critical for warning and mode synthetic families,distinguish cue from consequence
procedure_SOP,MANDATORY,procedure context at the unsafe moment is explicit,rule and context lanes blur,CANDIDATE_ONLY_WITH_WARNING,Daumas preserves operational procedure context without displacing actor,important for approach and cockpit discipline cases,required for realistic synthetic constraints,context is not automatic objective failure
aircraft_system_state,MANDATORY,relevant system state at the event moment is explicit,technical-human boundary becomes unstable,CANDIDATE_ONLY_WITH_WARNING,Daumas uses system state to explain but not replace the human lane,helps boundary cases like automation or hidden defect,needed for technical-human synthetic realism,watch technical dominance
environmental_technical_context,DESIRABLE,context that materially shaped the event is recorded,preconditions become shallow,CANDIDATE_ONLY_WITH_WARNING,Daumas is strong on operational context depth,improves offshore and weather-heavy event analysis,important for environmental trap design,do not let context become the actor
preconditions,DESIRABLE,supporting context is separated from active failure,explanatory depth weakens,CANDIDATE_ONLY_WITH_WARNING,Daumas carries contextual contributors after the unsafe moment is coded,helps preserve causal layering,helps synthetic guardrails,preconditions are support only
cognitive_context_detail,DESIRABLE,reconstructed belief pressure habit or bias is explicit,human-depth calibration weakens,CANDIDATE_ONLY_WITH_WARNING,Daumas is most valuable here,improves difficult real-event interpretation,major benefit for synthetic design depth,method-only not factual substitution
consequence_quarantine,MANDATORY,post-critical consequences are explicitly quarantined,outcome bias risk rises,HOLD_OR_REAUDIT,Daumas supports decision-before-outcome reading,protects real-event boundary selection,prevents synthetic consequence-as-cause design drift,late sequence stays quarantined
uncertainty_notes,MANDATORY,known ambiguity is named,false certainty enters the record,CANDIDATE_ONLY_WITH_WARNING,Daumas interview-aware reconstruction tolerates incompleteness,helps hold or re-audit decisions,lets synthetic design declare what is intentionally fixed versus open,uncertainty is a feature not a defect
evidence_against,DESIRABLE,material against the preferred read is recorded,rival candidate risk is hidden,CANDIDATE_ONLY_WITH_WARNING,Daumas comparison value increases when counter-evidence is visible,prevents premature closure in real events,helps adversarial synthetic design,record what could defeat the preferred interpretation
limitations,MANDATORY,scope and source limits are explicit,method claims overreach,CANDIDATE_ONLY_WITH_WARNING,Daumas should calibrate discipline not authority,keeps real-event use bounded,keeps synthetic use bounded,limits should be explicit in every packet
