gap_id,gap_name,real_event_basis,methodological_risk,synthetic_type_candidate,a4r147_taxonomy_mapping,design_goal,forbidden_use,requires_human_authorization,next_action,notes
GAP-001,PF_PM_separation,Thebaud|Vigo|Colgan_3407,agent_boundary_blur,TYPE-05_MIXED_TECH_HUMAN_BOUNDARY,TYPE-05,stabilize_actor_boundary_at_escape_anchor,no_real_event_promotion,YES,design_review_packet,priority_high
GAP-002,Agent_migration,Asiana_214|Comair_5191|United_173|Colgan_3407,axis_agent_switch_after_anchor,TYPE-09_VIOLATION_LANGUAGE_TRAP,TYPE-09,block_implicit_agent_switch,no_fixture_creation,YES,author_boundary_gate,priority_high
GAP-003,Actor_specific_sequenceRef,Thebaud|Peasmarsh|Vigo,missing_first_degradation_marker_by_actor,TYPE-06_SOURCE_INSUFFICIENT,TYPE-06,force_sequence_ref_requirements,no_baseline_use,YES,sequence_contract_design,priority_high
GAP-004,Consequence_as_cause,American_965|Delta_191|USAir_427|5N_BQJ,outcome_driven_anchor_selection,TYPE-08_OUTCOME_TRAP,TYPE-08,protect_pre_outcome_anchor,no_final_outputs,YES,outcome_trap_design,priority_high
GAP-005,Technical_environment_negative_control,Delta_191|USAir_427|5N_BQJ,forced_human_framing_under_technical_onset,TYPE-03_TECHNICAL_NEGATIVE_CONTROL,TYPE-03,verify_non_forcing_behavior,no_real_event_reclassification,YES,negative_control_design,priority_high
GAP-006,Warning_callout_go_around_mechanism,Peasmarsh|Vigo,late_anchor_on_warning_chain,TYPE-07_WARNING_TRAP,TYPE-07,separate_warning_from_escape_anchor,no_runtime_integration,YES,warning_chain_design,priority_high
GAP-007,Crew_collective_vs_individual_actor,Colgan_3407|Asiana_214|UPS_1354|American_1420,collective_label_overrides_distinct_acts,TYPE-10_ORGANIZATIONAL_BOUNDARY,TYPE-10,preserve_dual_actor_resolution,no_product_unlock,YES,actor_resolution_design,priority_high
GAP-008,Progressive_zone_anchor_precision,American_965|American_1420|UPS_1354|Comair_5191|United_173,wide_progressive_window_without_earliest_control_point,TYPE-02_PROGRESSIVE_HF_POSITIVE,TYPE-02,tighten_progressive_zone_start,no_reentry_execution,YES,progressive_anchor_design,priority_medium
GAP-009,Automation_FMS_ambiguity,American_965,mixed_automation_and_human_signal_without_clear_boundary,TYPE-05_MIXED_TECH_HUMAN_BOUNDARY,TYPE-05,disambiguate_automation_context,no_claim_of_method_validity,YES,automation_boundary_design,priority_medium
GAP-010,Colgan_style_boundary_decision,Colgan_3407,pf_pm_dual_act_boundary_not_explicit,TYPE-01_DISCRETE_HF_POSITIVE,TYPE-01,define_explicit_boundary_decision_gate,no_synthetic_instance_generation,YES,boundary_decision_packet,priority_high
