nodeInventoryId,sourcePath,sourceStatus,nodeIdType,nodeId,axis,nodeOrder,exactQuestionTextPt,exactQuestionTextEn,branchCondition,nextNodeHint,canonicalStatus,usableForAxisDecision,issueFlag,notes
A4R185-NINV-0001,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O_ROOT,O,1,O que o operador estava tentando alcançar? Qual era a intenção ou o objetivo que o levou a cometer o ato inseguro?,What was the operator or crew member trying to achieve...what was the intent or goal(s) that led to the unsafe act?,START,NEXT_NODE:O_RULES,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0002,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O_RULES,O,2,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?","Was the GOAL consistent with rules, regulations and SOPs, and was it also consistent with good risk management?",SIM,NEXT_NODE:O_MANAGED_RISK,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0003,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O_RULES,O,2,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?","Was the GOAL consistent with rules, regulations and SOPs, and was it also consistent with good risk management?",NÃO,NEXT_NODE:O_ROUTINE,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0004,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O_ROUTINE,O,3,Violação de rotina?,Routine violation?,SIM,LEAF:O-B,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0005,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O_ROUTINE,O,3,Violação de rotina?,Routine violation?,NÃO,LEAF:O-C,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0006,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O_MANAGED_RISK,O,4,"O ato inseguro resultou do exercício de uma meta que, embora consistente com as Regras e Regulamentos, não era consistente com os procedimentos operacionais estabelecidos ou não gerenciava ou limitava o risco?","GOAL conservative, managed risk, consistent with SOPs?",SIM,LEAF:O-A,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0007,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O_MANAGED_RISK,O,4,"O ato inseguro resultou do exercício de uma meta que, embora consistente com as Regras e Regulamentos, não era consistente com os procedimentos operacionais estabelecidos ou não gerenciava ou limitava o risco?","GOAL conservative, managed risk, consistent with SOPs?",NÃO,LEAF:O-D,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0008,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,P_ROOT,P,1,O que o operador acreditou que estava acontecendo no ambiente com relação ao objetivo que pretendia alcançar?,What did the operator or crewmember believe was the state of the world with respect to the goal(s)?,START,NEXT_NODE:P_ASSESSMENT,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0009,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,P_ASSESSMENT,P,2,Avaliação correta ou adequada da situação?,Correct or adequate assessment of the situation?,SIM,LEAF:P-A,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
A4R185-NINV-0010,docs/sera-vnext/SERA_ENGINE_VNEXT_CANONICAL_QUESTION_TREE_ASSET_A4R99_v0.2.0.md,CANONICAL_QUESTION_TREE_ASSET,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,P_ASSESSMENT,P,2,Avaliação correta ou adequada da situação?,Correct or adequate assessment of the situation?,NÃO,NEXT_NODE:P_CAPABILITY,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,NODE_ID_IS_TECHNICAL_STABLE,"technicalStableId, not original source id; notOriginalSourceId=true"
