id,eventName,date,aircraft/operator,investigationAuthority,officialReportLink,reportCompleteness,likelyCategory,whyCandidate,likelyEscapePointType,possibleEscapePointCandidate,humanFactorEvidenceNearEscapePoint,competingTechnicalEnvironmentalEvidence,negativeControlPotential,sourceQuality,caution / methodological risk,recommendedNextAction,discoveryStatus,sourceValidationStatus,corpusIngestionStatus,poaStatus,releaseStatus,downstreamStatus,sourceHygieneNotes,nextSourceAction
EXT-A4R149-001,Colgan Air 3407 – Loss of control on approach,12 Feb 2009,"DHC‑8‑400, Colgan/Continental Connection",NTSB,https://www.ntsb.gov/investigations/Pages/DCA09MA027.aspxntsb,HIGH,HF_POSITIVE_CANDIDATE,"Aproximação ILS noturna com perda de controle próxima ao FAF, com CVR/FDR e timeline detalhados, incluindo monitoramento de velocidade, CRM e fadiga.ntsb+2",DISCRETE,"Quando a velocidade continuou a decair abaixo das referências durante a aproximação ILS, até a ativação do stick shaker.","Relatório descreve falhas de monitoramento de velocidade, resposta inadequada ao stick shaker e não cumprimento consistente de SOP e sterile cockpit.ntsb+1","Icing presente, mas aeronave dentro da faixa operacional; nenhum defeito estrutural crítico identificado.ntsb",NO,HIGH,Risco de projetar para trás a “perda de controle” como intenção ou negligência; manter foco na sequência de parâmetros e chamadas de cabine antes do stall.,"Extrair do AAR linhas de tempo de IAS, pitch, trim e chamadas de voz em torno da primeira ativação do stick shaker; marcar apenas o instante em que a margem de velocidade é perdida como ponto de fuga.",EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,"Official NTSB domain appears present, but URL string includes trailing annotation token; verify canonical page/PDF.",Normalize URL to canonical NTSB page and lock evidence anchor references for future extraction batch.
EXT-A4R149-002,Asiana 214 – Descent below visual glidepath,06 Jul 2013,"B777‑200ER, Asiana",NTSB,https://static.mediapart.fr/files/Aircraft_Accident_Report_AAR-14-01.pdfstatic.mediapart,HIGH,HF_POSITIVE_CANDIDATE,"Aproximação visual com PAPI em SFO, com forte componente de automação/mode awareness, monitoramento de velocidade e CRM, altamente documentado.static.mediapart+1",PROGRESSIVE,"Quando, após cancelamento do ILS e seleção de modos automáticos, a razão de descida e a energia começaram a divergir da trajetória estável sem correção efetiva.","Relatório discute gestão de modos da automação, expectativa de proteção de velocidade, comunicação incompleta entre PF/PM e monitoramento insuficiente de IAS/altitude.static.mediapart","Não há falhas maiores de célula/motor; complexidade de lógica de autothrottle/autopilot é fator de contexto, não gatilho súbito.",NO,HIGH,"Perigo de confundir “complexidade de automação” com causa primária; para SERA/HFA, tratar automação como contexto do trabalho, não como culpado.","Construir timeline centrada em mudanças de modo (MCP), chamadas de IAS e referências externas (PAPI, altitude) para definir o ponto em que a aproximação deixa a envolvente estável.",EXTERNAL_DISCOVERY_ONLY,SECONDARY_LINK_NEEDS_REPLACEMENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Current link is media-hosted PDF; replace with NTSB official CAROL/AAR-14/01 URL before any ingestion.,Replace media PDF with NTSB CAROL/AAR official link; then keep candidate for high-priority future ingestion.
EXT-A4R149-003,UPS 1354 – Nighttime nonprecision approach CFIT,14 Aug 2013,"A300‑600F, UPS",NTSB,https://www.ntsb.gov/investigations/accidentreports/reports/aar1402.pdfntsb,HIGH,HF_POSITIVE_CANDIDATE,"Aproximação LOC não-precisa noturna com CFIT curto da pista; excelente material para estudo de gestão de aproximação não estabilizada, fadiga e briefing/comunicação.ntsb+2",PROGRESSIVE,"Quando a aeronave continuou abaixo do perfil vertical previsto na aproximação LOC, sem estabilização em altitude mínima antes do segmento final.","NTSB descreve continuação de aproximação não estabilizada, monitoramento inadequado de altitude, chamadas mínimas ausentes e possíveis degradações por fadiga.ntsb+1","Meteorologia marginal e fechamento de pista de precisão influenciam planejamento, mas não há anomalias de navegação significativas no instante inicial de fuga.ntsb",NO,HIGH,Risco de misturar elementos de fadiga e despacho com o instante de fuga; útil como caso de “fuga progressiva” onde a estabilidade nunca é consolidada.,"Extrair do AAR o perfil vertical (altitude vs distância) e anotar o ponto em que a trajetória se afasta definitivamente do mínimo seguro sem correção – usar esse ponto, não o impacto, como referência HFA.",EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Official NTSB PDF path likely valid but contaminated by trailing token; normalize canonical NTSB URL.,Confirm canonical NTSB AAR-14/02 link and retain as high-value future escape-point reaudit candidate.
EXT-A4R149-004,G‑WNSB – Super Puma Sumburgh,23 Aug 2013,"AS332 L2, CHC Scotia (offshore)",AAIB (UK),https://assets.publishing.service.gov.uk/media/56e7eaeaed915d0379000023/AAR_1-2016_G-WNSB.pdfpublishing.service,HIGH,HF_POSITIVE_CANDIDATE,"Aproximação IFR para Sumburgh com entrada em estado de baixa energia; relatório AAIB explicitamente focado em fatores humanos, SOP e uso de automação.publishing.service+2",PROGRESSIVE,"Quando, na aproximação não‑precisa, o helicóptero foi deixado desacelerar e descer simultaneamente até uma condição de baixa energia sem monitoramento efetivo de instrumentos.","AAIB descreve monitorização ineficaz dos instrumentos, falta de entendimento compartilhado da estratégia de aproximação e uso subótimo dos modos automáticos, com detalhamento de CRM.publishing.service","Sem falhas críticas imediatas de motor/rotor; condições meteorológicas marginais agravam carga, mas não geram a fuga por si só.",NO,HIGH,Importante separar o estado de baixa energia (ponto de fuga) da posterior perda de controle na água; não usar o capotamento como evidência primária de HFA.,"Mapear gate de estabilização definido pelo operador e identificar o primeiro instante em que critérios (energia, configuração, trajetória) deixam de ser atendidos sem intervenção – usar esse gate como ponto de fuga.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Official UK government-hosted AAIB report link appears primary and adequate for discovery stage.,Keep as ready official-source candidate for future rotorcraft/offshore ingestion shortlist.
EXT-A4R149-005,Cougar S‑92A – Inadvertent descent near water (A11H0001),23 Jul 2011,"S‑92A, Cougar Helicopters (offshore)",TSB (Canadá),https://www.tsb.gc.ca/eng/rapports-reports/aviation/2011/a11h0001/a11h0001.htmltsb+1,HIGH,HF_POSITIVE_CANDIDATE,"Evento não fatal com descida inadvertida até 38 ft sobre o mar após atitude anormal em IMC; excelente para estudar percepção, incapacitação sutil, confiança/coordenação PF/PM.verticalmag+1",DISCRETE,"Quando, após comando de pitch‑up rápido antes do go‑around mode em IMC, o helicóptero entrou em atitude nariz‑alto, baixa velocidade e início de descida não percebida.","TSB aponta possível desorientação espacial do comandante, atraso na reação a atitude/velocidade anormais e hesitação do copiloto em assumir o controle, apesar de SOP prever isso.verticalmag+1","Sem falhas estruturais; sistema de piloto automático/funções de go‑around operando conforme projeto, atuando mais como contexto do workload.",NO,HIGH,"Risco de confundir “quase acidente” com evento menos sério; para SERA/HFA, tratar como caso de alta resolução da interface humano‑automação sem viés retrospectivo de dano.","Extrair sequência de atitude, IAS, razão de descida, inputs de manche e comunicações na fase imediatamente antes da entrada em descida inadvertida; usar esse instante como ponto zero da análise HFA.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary TSB link present; keep TSB as source of record and avoid secondary commentary sources.,Retain TSB primary link and queue for rotorcraft/offshore high-value pre-ingestion batch.
EXT-A4R149-006,Jazz JZA7795 – Sault Ste. Marie unstable approach,24 Feb 2015,"DHC‑8‑102, Jazz Aviation",TSB (Canadá),https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2015/a15o0015/a15o0015.htmltsb+1,HIGH,HF_MIXED_TECHNICAL_HUMAN,"Aproximação com vento e neve soprada, toque 450 ft antes da cabeceira; bom caso de aproximação decelerada abaixo do gate de estabilização, com contexto MET e de procedimentos de frota.tsb+1",PROGRESSIVE,"Quando, abaixo de 500 ft, a potência foi reduzida levando a rápida desaceleração e perfil de descida mais íngreme, sem correção nem arremetida apesar da perda de referência visual.","TSB descreve entendimento ambíguo de velocidades alvo, não reconhecimento de aproximação instável e continuação após perda de referência visual onde SOP exigiria go‑around.bst","Neve soprada e visibilidade variável influenciam percepção visual, mas os sistemas aeronáuticos estavam em funcionamento normal.",NO,HIGH,Separar claramente “mudança rápida de visibilidade” (ambiente) da decisão de continuar sem estabilização; risco de culpar meteorologia em vez de desenhar a interação.,Marcar o ponto em que o perfil de velocidade/altitude cruza os critérios internos de aproximação estabilizada; usar esse cruzamento como referência de fuga e só depois mapear decisões.,EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary TSB investigation page present and adequate for discovery-only indexing.,Keep as official mixed-case candidate; defer ingestion until post-Opus reconciliation.
EXT-A4R149-007,Air Canada AC624 – Halifax short landing,29 Mar 2015,"A320‑200, Air Canada",TSB (Canadá),https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2015/a15h0002/a15h0002.htmltsb,HIGH,HF_MIXED_TECHNICAL_HUMAN,"Aproximação LOC em nevasca com impacto no terreno antes da pista; mistura forte de procedimentos de companhia, iluminação de pista e decisões de aproximação.tsb+1",PROGRESSIVE,"Quando, durante a aproximação LOC à noite em nevasca, a trajetória vertical começou a ficar abaixo do perfil que permitiria cruzar o limiar dentro da zona de toque, sem percepção imediata.","TSB aponta ausência de exigência clara de monitorar altitude/distância, atraso em reconhecer desvio vertical e decisão de continuar até muito próximo do solo antes de iniciar arremetida.tsb+1","Condições de nevasca, iluminação degradada e configuração de auxílios visuais são fatores ambientais fortes na percepção da altura.",NO,HIGH,"Importante evitar leitura simplista de “pressão operacional”; o ponto de fuga é geométrico (trajetória vs terreno), não o toque de roda antes da pista.","Extrair do relatório o perfil vertical, marcar a primeira passagem abaixo da trajetória que manteria clearway segura, e anotar quais informações estavam disponíveis à tripulação nesse instante.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary TSB investigation page present and adequate for discovery-only indexing.,Keep as official mixed-case candidate; defer ingestion until post-Opus reconciliation.
EXT-A4R149-008,CHO S‑92A – near CFIT próximo a Sable Island (A19A0055),24 Jul 2019,"S‑92A, Canadian Helicopters Offshore",TSB (Canadá),https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19a0055/a19a0055.htmltsb,HIGH,HF_MIXED_TECHNICAL_HUMAN,"Aproximação visual em DVE offshore com entrada em estado de baixa energia e overtorque; mistura de técnicas de pilotagem manual, uso de trim/AFCS e critérios de aproximação estabilizada.tsb",PROGRESSIVE,"Quando, na aproximação visual em ambiente sem horizonte, o helicóptero foi deixado em baixa velocidade, alta razão de descida e atitude nariz‑alto sem detecção imediata do estado de baixa energia.","TSB descreve foco visual no helideck acima do nevoeiro, uso contínuo do trim release degradando o AFCS, ausência de gates explícitos de energia e atraso em reconhecer a condição de vortex ring. tsb","Ambiente visual degradado sobre o mar, limitações de EGPWS e envelope da aeronave contribuem fortemente para a situação.",NO,HIGH,"Risco de tratar o overtorque como “ponto de fuga”; na lógica SERA/HFA, o ponto é a configuração de energia/atitude anterior, não a consequência mecânica.","Construir uma sequência de energia (IAS, razão de descida, torque, atitude) e marcar o primeiro intervalo em que critérios de aproximação estabilizada não eram mais atendidos, mesmo com AFCS disponível.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary TSB investigation page present and adequate for discovery-only indexing.,Retain as rotorcraft/offshore mixed candidate with primary TSB source.
EXT-A4R149-009,Ornge S‑76A – Moosonee CFIT após decolagem (A13H0001),31 May 2013,"S‑76A, Ornge Rotor‑Wing (EMS)",TSB (Canadá),https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2013/a13h0001/a13h0001.htmltsb.gc+1,HIGH,HF_MIXED_TECHNICAL_HUMAN,"Descida inadvertida após curva noturna VFR em ambiente escuro, com forte componente de treinamento, prontidão operacional e cultura organizacional.canada+1",DISCRETE,"Quando, na curva inicial após decolagem noturna em ambiente sem referências visuais, o helicóptero entrou em ângulo de inclinação e descida não percebidos a tempo de recuperação.","TSB destaca prontidão insuficiente da tripulação para operações noturnas, gestão de atitude/banco em voo sem referências e atraso em reconhecer a descida desenvolvida. canada","Ambiente escuro sem referências visuais e ausência de requisitos técnicos adicionais (TAWS, etc.) ampliam a vulnerabilidade.",NO,HIGH,Foco da SII é organizacional; risco de perder a granularidade do ponto de fuga operacional se o olhar ficar apenas em cultura/regulação.,"Isolar a sequência de pitch/roll/altitude/IAS entre 300 ft e impacto, definindo o primeiro desvio significativo não percebido como ponto de fuga, e só depois mapear fatores organizacionais.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary TSB investigation page present and adequate for discovery-only indexing.,Retain as mixed candidate with organizational boundary value and primary TSB source.
EXT-A4R149-010,Air France A319 F‑GRHT – Fuel indication / low fuel event,10 Feb 2011,"A319, Air France",BEA (França),https://skybrary.aero/sites/default/files/bookshelf/5899.pdfskybrary+1,HIGH,HF_MIXED_TECHNICAL_HUMAN,"Incidente de gestão de combustível com falha de indicação e interpretação da tripulação; rico em interação entre sistemas, cálculo manual, confiança em instrumentos.bea+1",FIRST_OBSERVABLE_MARKER,"Quando o aviso de baixo nível de combustível foi associado, pela tripulação, a falha de indicação previamente registrada, sem reavaliação independente da quantidade real.","BEA descreve como a tripulação manteve a crença no valor do ATL/FQIC, interpretando avisos como “nuisance” e não reconsiderando hipóteses de falta real de combustível. bea",Falha da FQIC e sensores de quantidade fornece causa técnica forte para o aviso; manutenção prévia e histórico da aeronave são fatores relevantes.,NO,HIGH,Importante não confundir erro de indicação com erro de julgamento; o ponto de fuga para SERA é a aceitação de um modelo mental incorreto diante de dados conflitantes.,"Mapear sequência: registro de falha da FQIC no voo anterior, cálculo de log de combustível, aparecimento de avisos e decisões associadas, identificando o primeiro momento em que sinais discordantes foram racionalizados sem verificação independente.",EXTERNAL_DISCOVERY_ONLY,SOURCE_RECOVERY_REQUIRED,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Current link is Skybrary mirror; recover official BEA file and confirm event metadata (date/registration/report match).,Perform BEA source recovery and metadata confirmation before considering extraction eligibility.
