selectionId,inventoryId,probableEventKey,sourcePath,sourceBucket,sourceQuality,selectionLane,selectionStatus,selectionPriority,escapePointClarity,actorClarity,multiActorPotential,negativeControlPotential,likelyCoverageP,likelyCoverageO,likelyCoverageA,dedupeRisk,sourceEnrichmentNeed,methodologicalValue,selectionRationale,prohibitedUse,nextStep
A4R179-SEL-0001,A4R178-INV-0067,SOURCE-SLICE-ASIANA-214-A4R106,docs/sera-vnext/official-report-source-slices/a4r106/SOURCE-SLICE-ASIANA-214-A4R106.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0002,A4R178-INV-0068,SOURCE-SLICE-COMAIR-5191-A4R106,docs/sera-vnext/official-report-source-slices/a4r106/SOURCE-SLICE-COMAIR-5191-A4R106.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0003,A4R178-INV-0070,SOURCE-SLICE-AMERICAN-1420-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-AMERICAN-1420-A4R115.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0004,A4R178-INV-0073,SOURCE-SLICE-COLGAN-3407-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-COLGAN-3407-A4R115.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0005,A4R178-INV-0074,SOURCE-SLICE-HELIOS-522-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-HELIOS-522-A4R115.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0006,A4R178-INV-0077,SOURCE-SLICE-UPS-1354-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-UPS-1354-A4R115.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0007,A4R178-INV-0080,SOURCE-SLICE-ATLAS-3591-A4R119,docs/sera-vnext/official-report-source-slices/a4r119/SOURCE-SLICE-ATLAS-3591-A4R119.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0008,A4R178-INV-0291,NTSB-USA-BOEING-767-375BCF,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-1__2020__NTSB-USA__Boeing-767-375BCF__Atlas-Air-Flight-3591-Rapid-Descent-and-Cra.pdf,SOURCE_CORPUS_OFFICIAL_REPORT,HIGH,Positive source candidates,SELECT_FOR_A4R180_BATCH_1,MEDIUM,UNCLEAR,UNCLEAR,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,MEDIUM,MEDIUM,lane=Positive source candidates; sourceQuality=HIGH; sourceBucket=SOURCE_CORPUS_OFFICIAL_REPORT; escapePointClarity=UNCLEAR; actorClarity=UNCLEAR; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0009,A4R178-INV-0078,SOURCE-SLICE-US-AIRWAYS-1549-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-US-AIRWAYS-1549-A4R115.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,P1 replication negative control,P1_REPLICATION_NEGATIVE_CONTROL,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=P1 replication negative control; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0010,A4R178-INV-0231,AERONAUTICA-CIVIL-COLOMBIA-BOEING-757-223,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/24__1996__Aeronautica-Civil-Colombia__Boeing-757-223__Controlled-Flight-Into-Terrain-American-Air.pdf,SOURCE_CORPUS_OFFICIAL_REPORT,HIGH,Negative control candidates,SELECT_AS_NEGATIVE_CONTROL,MEDIUM,UNCLEAR,UNCLEAR,UNKNOWN,MEDIUM,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,MEDIUM,HIGH,lane=Negative control candidates; sourceQuality=HIGH; sourceBucket=SOURCE_CORPUS_OFFICIAL_REPORT; escapePointClarity=UNCLEAR; actorClarity=UNCLEAR; multiActorPotential=UNKNOWN; negativeControlPotential=MEDIUM; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
