candidateId,originalCandidateId,officialReportTitle,agency,year,aircraft,operationType,officialUrl,whyUsefulForSERA,factualDataAvailable,likelyHumanFactorAxis,sourceConfidence,notes,downloadStatus,finalUrl,contentType,localFile,txtFile,fileSizeBytes,sha256,textExtractionStatus,notesArchive
NEW50-1,1,"Atlas Air Flight 3591 – Rapid Descent and Crash into Water, Boeing 767-375BCF, near Anahuac TX (NTSB AAR-20/02)",NTSB (USA),2020,Boeing 767-375BCF,Part 121 cargo,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR2002.pdf,"Cargo LOC com forte foco em fatores humanos: desorientação espacial do FO, inputs de comando inadequados, CRM e falha de monitoramento.","CVR/FDR completos, factual de desempenho humano, perfis verticais e timeline detalhada do mergulho.",Percepção/SA de atitude; objetivo mental equivocado; ações de manche/manete que levam ao mergulho.,HIGH,"Caso recente e muito centrado em HF, ótimo para SERA em carga aérea.",DOWNLOADED,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR2002.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-1__2020__NTSB-USA__Boeing-767-375BCF__Atlas-Air-Flight-3591-Rapid-Descent-and-Cra.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-1__2020__NTSB-USA__Boeing-767-375BCF__Atlas-Air-Flight-3591-Rapid-Descent-and-Cra.txt,3942235,5fe737da1442f3002b51fe771b1672c58ea3c4c1ef2caa3e2e13c48a36a6428d,TXT_EXTRACTED,
NEW50-2,2,"USAir Flight 427 – Loss of Control, Boeing 737-300, near Aliquippa PA (NTSB AAR-99/01)",NTSB (USA),1999,Boeing 737-300,Part 121 passenger,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR9901.pdf,"Perda de controle em aproximação associada a anomalia de leme, com resposta de tripulação a upset e limitações de percepção.","CVR/FDR, ensaios de sistema, reconstrução do upset e respostas de comando.",SA de upset; objetivo de manter aproximação estável; ações de comando e tentativa de recuperação.,HIGH,Bom para upset-recovery/treinamento e interação piloto-sistema.,DOWNLOADED,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR9901.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-2__1999__NTSB-USA__Boeing-737-300__USAir-Flight-427-Loss-of-Control-Boeing-73.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-2__1999__NTSB-USA__Boeing-737-300__USAir-Flight-427-Loss-of-Control-Boeing-73.txt,3171457,c22adf6abb7d154b9f5167051735d6a134e9b6fe4e66a87cff1e4fe78694aa19,TXT_EXTRACTED,
NEW50-3,3,"Accident Report 11/2006 – Helios Airways Flight 522, Boeing 737-31S, Grammatiko, Greece",AAIASB Greece,2006,Boeing 737-31S,International passenger charter,https://www.faa.gov/sites/faa.gov/files/2022-11/Helios737_AccidentReport.pdf,"Hipóxia da tripulação após decolagem devido a pressurização configurada incorretamente; riquíssimo em checklist, interpretação de alertas e fatores organizacionais.","CVR/FDR, timeline de pressurização/avisos, uso de checklists, histórico de manutenção.",Percepção de alertas/modes; objetivo de resolver suposta pane de resfriamento; ações (ou omissões) de checklist e uso de oxigênio.,HIGH,"Caso de referência em desenho de alertas, SOP e cultura organizacional.",DOWNLOADED,https://www.faa.gov/sites/faa.gov/files/2022-11/Helios737_AccidentReport.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-3__2006__AAIASB-Greece__Boeing-737-31S__Accident-Report-11-2006-Helios-Airways-Flig.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-3__2006__AAIASB-Greece__Boeing-737-31S__Accident-Report-11-2006-Helios-Airways-Flig.txt,7519438,f6e70393002e3c64c3a2ce6ecb49aa0a6040768bb6be0b46b525feb256d6dcce,TXT_EXTRACTED,
NEW50-4,4,"Crossair Flight 3597 – Avro RJ100 HB-IXM, CFIT near Zurich (Swiss BFU/SUST)",SUST Switzerland,2002,Avro RJ100,Scheduled passenger,https://www.sust.admin.ch/inhalte/AV-berichte/1762_en.pdf,"Aproximação não-precision abaixo de mínimos com CFIT; forte conteúdo em disciplina de mínimos, monitoramento e decisão de continuar.","CVR/FDR, perfis de descida, chamadas de altitude, meteorologia e procedimentos.",SA de aproximação; intenção de pousar apesar de abaixo de mínimos; ações de potência/atitude e não-arremetida.,HIGH,Excelente para modelar “continuation bias” em aproximações IFR.,DOWNLOADED,https://www.sust.admin.ch/inhalte/AV-berichte/1762_en.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-4__2002__SUST-Switzerland__Avro-RJ100__Crossair-Flight-3597-Avro-RJ100-HB-IXM-CFI.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-4__2002__SUST-Switzerland__Avro-RJ100__Crossair-Flight-3597-Avro-RJ100-HB-IXM-CFI.txt,33157296,66abc6fd34701bbb71523195b4ac022c1a16b59b8f46d23d137fdd5bf33a9c3e,TXT_EXTRACTED,
NEW50-5,5,Spanair Flight JK5022 – MD-82 EC-HFP Madrid 2008 (CIAIAC A-032/2008),CIAIAC Spain,2011,McDonnell Douglas MD-82,Domestic scheduled passenger,https://www.icao.int/sites/default/files/safety/airnavigation/AIG/Documents/Safety-Recommendations-to-ICAO/Final-Reports/08100370.pdf,"Decolagem sem flaps/slats, múltiplas falhas de checklist e TOWS inoperante; fortíssimo para disciplina de procedimento, CRM e pressões operacionais.","CVR/FDR, análise detalhada de checklists, TOWS e pressões de pontualidade.",Percepção de configuração; objetivo de despachar voo atrasado; ações de checklist/briefing/configuração.,HIGH,Caso de livro-texto de “erro de configuração + TOWS + CRM”.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
NEW50-6,6,"TAM Airlines Flight 3054 – Airbus A320-233 PR-MBK, São Paulo Congonhas 2007 (CENIPA)",CENIPA Brazil,2009,Airbus A320-233,Domestic scheduled passenger,https://asn.flightsafety.org/reports/2007/20070717_A320_PR-MBK.pdf,"Overrun em Congonhas com thrust levers assimétricos (um reverso desativado), pista molhada e múltiplas decisões de risco.","FDR/CVR, dados de potência/posição de manete, meteorologia, cronologia de pouso.","SA de pista/energia; objetivo de pousar em SBSP apesar de risco; ações de configuração, reverso e frenagem.",HIGH,Caso brasileiro central para SERA em gestão de risco operacional.,DOWNLOADED,https://asn.flightsafety.org/reports/2007/20070717_A320_PR-MBK.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-6__2009__CENIPA-Brazil__Airbus-A320-233__TAM-Airlines-Flight-3054-Airbus-A320-233-PR.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-6__2009__CENIPA-Brazil__Airbus-A320-233__TAM-Airlines-Flight-3054-Airbus-A320-233-PR.txt,1559768,2b775e18e363c61e246c62b3c3f684f2357d51f40594b19d5dd82053be0e38d1,TXT_EXTRACTED,
NEW50-7,7,Gol Transportes Aéreos Flight 1907 – Mid-air Collision PR-GTD / N600XL (CENIPA A-022/CENIPA/2008),CENIPA Brazil,2008,Boeing 737-8EH / Embraer Legacy 600,Regular passenger (RBHA 121) and Part 91 business jet,https://www.icao.int/sites/default/files/safety/airnavigation/AIG/Documents/Safety-Recommendations-to-ICAO/Synopsis/06003860_Syn.pdf,"Colisão em rota envolvendo transponder/TCAS, coordenação ATC e consciência de nível de voo; fortíssimo para SA em rota e múltiplos atores.","FDR/CVR, dados radar, estado de transponder/TCAS, cronologia de autorizações e transferências de controle.","SA em rota; objetivos de cumprir autorizações de nível; ações/omissões sobre transponder, TCAS e comunicações.",HIGH,Caso-chave para modelar HF de controle de espaço aéreo e equipagem mista (linha + executivo).,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
NEW50-8,8,Lion Air Flight JT610 – Boeing 737 MAX 8 PK-LQP Java Sea 2018 (KNKT Final Report),KNKT Indonesia,2019,Boeing 737 MAX 8,Scheduled passenger,https://knkt.dephub.go.id/knkt/ntsc_aviation/baru/Final%20Report%20PK-LQP.pdf,Sequência de comandos de trim nariz-baixo via MCAS com dados de AoA errados; interação piloto-sistema e tratamento de runaway trim.,"FDR/CVR, timeline de ativações MCAS, inputs de manche/trim, mensagens de manutenção.","Percepção do sistema; objetivo de manter atitude/velocidade; uso de trim cutout, força em manche e procedimentos.",HIGH,Fundamental para análise de design de automação vs capacidade de resposta humana.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,URLError: [Errno 60] Operation timed out
NEW50-9,9,Ethiopian Airlines Flight 302 – Boeing 737 MAX 8 ET-AVJ 2019 (EAIB Final Report),EAIB Ethiopia,2022,Boeing 737 MAX 8,Scheduled passenger,https://www.ecaa.gov.et/media/attachement/ET302%20Final%20Report.pdf,"Segundo grande acidente MAX, com cadeia de eventos similar a JT610; excelente para comparação de intenção/ação sob tempo ainda mais reduzido.","FDR/CVR, parâmetros de trim, força em manche, timeline de climb-out.","SA de falha repetida; objetivo de subir e retornar; ações em trim cutout, potência e atitude.",HIGH,Pair-case natural com JT610 para SERA comparativo.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
NEW50-10,10,Turkish Airlines Flight 1951 – Boeing 737-800 TC-JGE Poldercrash Amsterdam 2009 (Dutch Safety Board),Dutch Safety Board,2010,Boeing 737-800,International scheduled passenger,https://www.onderzoeksraad.nl/en/page/4172/crash-near-schiphol-airport-boeing-737-800-turkish-airlines,RA esquerda falha induzida e autothrottle reduzindo potência até stall na aproximação; estudo forte de monitoramento de energia e confiança na automação.,"FDR/CVR, dados de RA/autothrottle, perfil de velocidade vs altitude, comunicações.",SA de energia; objetivo de seguir ILS; ações de potência/atitude e decisão de arremeter ou não.,HIGH,Bom paralelo com Asiana 214 e outros casos de baixa energia em final.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
