component,source_phase,component_type,current_status,calibration_value,limitations,allowed_use,prohibited_use,next_action
"Comair 5191","A4R202-A/A4R202-B/A4R202-D/R2/A4R202-E/A4R203-BIG","REAL_EVENT_REFERENCE_CANDIDATE","ACTIVE_COMPLETE_NON_FINAL","clean anchor for candidate-only calibration corpus","non-final; no final escape point approval; no READY promotion","strong reference anchor for candidate-only calibration and later benchmark-design criteria","final P/O/A; final escape point; READY; fixture; baseline; product","retain as strongest clean anchor"
"Asiana 214","A4R202-A/A4R202-B/A4R202-D/R2/A4R202-E/A4R203-BIG","REAL_EVENT_REFERENCE_CANDIDATE","ACTIVE_COMPLETE_NON_FINAL","automation and 500 ft gate boundary comparator","automation-state and gate boundary remain warning-bearing; non-final","warning-bearing comparator for candidate-only calibration","final P/O/A; final escape point; READY; fixture; baseline; product","retain with explicit automation and gate warning"
"UPS 1354","A4R202-A/A4R202-B/A4R202-D/R2/A4R202-E/A4R203-BIG","REAL_EVENT_REFERENCE_CANDIDATE","ACTIVE_COMPLETE_NON_FINAL","procedure and FMC and V-S and MDA boundary comparator","setup-versus-execution and MDA boundary remain warning-bearing; non-final","warning-bearing comparator for candidate-only calibration","final P/O/A; final escape point; READY; fixture; baseline; product","retain with explicit setup and MDA warning"
"Colgan 3407","A4R202-A/A4R202-B/A4R202-F/A4R203-BIG","BOUNDARY_REAUDIT_CASE","COLGAN_REAUDIT_STILL_REQUIRED","warning-window and PF-PM pressure case outside the positive reference set","not a fourth reference; earliest versus latest relation remains less stable than top 3","boundary comparator and unresolved-risk input for future benchmark criteria","positive fourth reference; final anchor; fixture; baseline; product","keep as boundary case under explicit re-audit status"
"2026-0001 crank event","A4R204-BIG","HUMAN_APPLIED_SERA_REFERENCE","ACTIVE_COMPLETE_NON_FINAL","input-only human reference for escape point preservation and action capture","human O-A/P-A/A-A are not vNext final; not baseline; not fixture; not READY","human-applied methodological input and consequence-quarantine support","final vNext classification; fixture; baseline; product; automatic downstream use","retain as human input only"
"Daumas","A4R200-A/A4R201-B/C/A4R203-A/A4R203-BIG","METHODOLOGICAL_DEPTH_REFERENCE","ACTIVE_COMPLETE_NON_FINAL","methodological and depth reference for calibration reasoning","not a factual source; not automatic reentry; not baseline authority","method and depth support for calibration and benchmark-design criteria","event fact source; automatic reentry; fixture authority; baseline authority","retain as non-factual method-only reference"
"GAP-004 consequence-as-cause","A4R197-C/D/A4R198-A/A4R204-BIG","CONTROLLED_SYNTHETIC_DRAFT","CONTROLLED_SYNTHETIC_DRAFT_ONLY","controlled synthetic support for consequence quarantine","not a real event; not fixture; not baseline; not product; not READY","design-only synthetic support inside calibration corpus closure","real-event substitution; fixture; baseline; product; active classification output","retain as controlled synthetic support only"
"GAP-002 agent_migration","A4R197-C/D/A4R198-A/A4R204-BIG","SYNTHETIC_READINESS_COMPONENT","GAP002_DESIGN_READINESS_COMPLETE_NOT_MATERIALIZED","design-ready support for future agent-migration testing","not materialized; actor-migration guardrails not yet exercised in a controlled draft","future design input and unresolved-risk marker","active synthetic draft; fixture; baseline; product","keep in design readiness only"
"GAP-001 PF_PM separation","A4R194-L/A4R196-A/A4R204-BIG","RETAINED_SYNTHETIC_REFERENCE","GAP001_RETAINED_REFERENCE_ONLY_NOT_REOPENED","audited provenance and PF-PM guardrail reference","retained only; not active; not reopened in this macrophase","reference and provenance support only","active promotion; new draft; fixture; baseline; product","retain archived and audited"
"G-WNSB and Execuflight 1526","A4R201-B/C/A4R202-A/B/A4R203-BIG","SECOND_WAVE_REAL_EVENT_GROUP","ACTIVE_LATER","usable second-wave cases with offshore and organizational-boundary value","G-WNSB carries actor-migration caution; Execuflight carries data-granularity and boundary caution","second-wave comparators and future benchmark-design input","first-lane positive calibration anchor; fixture; baseline; product","keep outside first-lane promotion"
"Negative and boundary controls","A4R200-A/A4R201-B/C","CONTROL_GROUP","RETAINED_CONTROL_ONLY","Delta 191 negative control; USAir 427 boundary control; 5N-BQJ technical-dominance control","not positive references; some source-depth limitations remain explicit","negative-control and technical-human boundary protection","positive reference promotion; final causal baseline use; product","retain as controls only"
"Batch 2 deep extraction","A4R201-B/C/A4R202-DR2/A4R203-BIG","DEFERRED_EXPANSION_LANE","ACTIVE_LATER","future expansion lane if later benchmark design exposes a named gap","deferred by governance; broad expansion would increase sprawl now","deferred inventory only","active expansion in A4R205-BIG; fixture; baseline; product","keep deferred until after A4R206-BIG or explicit human authorization"
