eventIdOrExternalId,canonicalEventName,aliases,localCorpusPresence,localTxtPaths,localTxtQuality,localScreeningCategory,externalCandidatePresence,externalCandidateId,externalCategory,sourceAuthority,sourceValidationStatus,escapePointUsefulness,opusPriority,nextAction,notes
EXT-A4R149-001,COLGAN-3407,Colgan Air 3407 – Loss of control on approach,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,TXT_GOOD,HF_POSITIVE_CANDIDATE,YES,EXT-A4R149-001,HF_POSITIVE_CANDIDATE,NTSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,HIGH,OPUS_CORE_PACKET,Normalize URL to canonical NTSB page and lock evidence anchor references for future extraction batch.,OVERLAP_LOCAL_EXTERNAL
EXT-A4R149-002,ASIANA-214,Asiana 214 – Descent below visual glidepath,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/ASIANA-214-NTSB-AAR1401.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/2__2014__NTSB-USA__Boeing-777-200ER__Descent-Below-Visual-Glidepath-and-Impact-Wit.txt,TXT_GOOD,HF_MIXED_TECHNICAL_HUMAN / HF_POSITIVE_CANDIDATE,YES,EXT-A4R149-002,HF_POSITIVE_CANDIDATE,NTSB,SECONDARY_LINK_NEEDS_REPLACEMENT,HIGH,OPUS_SOURCE_RECOVERY_ONLY,Replace media PDF with NTSB CAROL/AAR official link; then keep candidate for high-priority future ingestion.,OVERLAP_LOCAL_EXTERNAL | SOURCE_RECOVERY_REQUIRED | ALIAS_REPAIR_REMOVED_US1549
EXT-A4R149-003,UPS-1354,UPS 1354 – Nighttime nonprecision approach CFIT,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-003,HF_POSITIVE_CANDIDATE,NTSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,HIGH,OPUS_CORE_PACKET,Confirm canonical NTSB AAR-14/02 link and retain as high-value future escape-point reaudit candidate.,OVERLAP_LOCAL_EXTERNAL | ALIAS_REPAIR_REMOVED_UPS6
EXT-A4R149-004,G-WNSB-SUPER-PUMA-SUMBURGH,G‑WNSB – Super Puma Sumburgh,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-004,HF_POSITIVE_CANDIDATE,AAIB,PRIMARY_OFFICIAL_LINK_PRESENT,HIGH,OPUS_CORE_PACKET,Keep as ready official-source candidate for future rotorcraft/offshore ingestion shortlist.,OVERLAP_LOCAL_EXTERNAL | OFFICIAL_SOURCE_STRONG
EXT-A4R149-005,COUGAR-A11H0001,Cougar S‑92A – Inadvertent descent near water (A11H0001),NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-005,HF_POSITIVE_CANDIDATE,TSB,PRIMARY_OFFICIAL_LINK_PRESENT,HIGH,OPUS_SECONDARY_PACKET,Keep as external-only official-ready candidate; do not map to A09A0016 local TXT. Re-evaluate after Opus intake.,EXTERNAL_ONLY_OFFICIAL_READY | ALIAS_REPAIR_A09A0016_SEPARATED
EXT-A4R149-006,JAZZ-JZA7795,Jazz JZA7795 – Sault Ste. Marie unstable approach,NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-006,HF_MIXED_TECHNICAL_HUMAN,TSB,PRIMARY_OFFICIAL_LINK_PRESENT,MEDIUM,OPUS_SECONDARY_PACKET,Keep as official mixed-case candidate; defer ingestion until post-Opus reconciliation.,EXTERNAL_ONLY | OFFICIAL_SOURCE_STRONG
EXT-A4R149-007,AIR-CANADA-624,Air Canada AC624 – Halifax short landing,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-007,HF_MIXED_TECHNICAL_HUMAN,TSB,PRIMARY_OFFICIAL_LINK_PRESENT,MEDIUM,OPUS_CORE_PACKET,Keep as official mixed-case candidate; defer ingestion until post-Opus reconciliation.,OVERLAP_LOCAL_EXTERNAL | OFFICIAL_SOURCE_STRONG
EXT-A4R149-008,CHO-A19A0055,CHO S‑92A – near CFIT próximo a Sable Island (A19A0055),NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-008,HF_MIXED_TECHNICAL_HUMAN,TSB,PRIMARY_OFFICIAL_LINK_PRESENT,MEDIUM,OPUS_SECONDARY_PACKET,Retain as rotorcraft/offshore mixed candidate with primary TSB source.,EXTERNAL_ONLY | OFFICIAL_SOURCE_STRONG
EXT-A4R149-009,ORNGE-A13H0001,Ornge S‑76A – Moosonee CFIT após decolagem (A13H0001),YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-009,HF_MIXED_TECHNICAL_HUMAN,TSB,PRIMARY_OFFICIAL_LINK_PRESENT,MEDIUM,OPUS_CORE_PACKET,Retain as mixed candidate with organizational boundary value and primary TSB source.,OVERLAP_LOCAL_EXTERNAL | OFFICIAL_SOURCE_STRONG
EXT-A4R149-010,AIR-FRANCE-F-GRHT,Air France A319 F‑GRHT – Fuel indication / low fuel event,NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-010,HF_MIXED_TECHNICAL_HUMAN,BEA,SOURCE_RECOVERY_REQUIRED,MEDIUM,OPUS_SOURCE_RECOVERY_ONLY,Perform BEA source recovery and metadata confirmation before considering extraction eligibility.,EXTERNAL_ONLY | SOURCE_RECOVERY_REQUIRED
EXT-A4R149-011,QANTAS-QF32,Qantas QF32 – A380 uncontained engine failure,NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-011,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,ATSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Confirm AO-2010-089 final ATSB link and keep as strong technical negative control.,EXTERNAL_ONLY
EXT-A4R149-012,COUGAR-A09A0016,Cougar 91 – S‑92A main gearbox oil loss (A09A0016),YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-012,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,TSB,PRIMARY_OFFICIAL_LINK_PRESENT,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Retain as primary-source negative control for rotorcraft offshore technical onset calibration.,OVERLAP_LOCAL_EXTERNAL | OFFICIAL_SOURCE_STRONG
EXT-A4R149-013,EC225-G-REDW-G-CHCN,EC225 G‑REDW / G‑CHCN – North Sea ditchings,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-013,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,AAIB,PRIMARY_OFFICIAL_LINK_PRESENT,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Retain as primary-source negative control for offshore gearbox/certification onset modeling.,OVERLAP_LOCAL_EXTERNAL | OFFICIAL_SOURCE_STRONG | ALIAS_REPAIR_REMOVED_TUROY_CLUSTER
EXT-A4R149-014,QANTAS-QF72,Qantas QF72 – A330 in‑flight upset (AO‑2008‑070),NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-014,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,ATSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Confirm AO-2008-070 final ATSB link and keep as technical-onset negative control.,EXTERNAL_ONLY
EXT-A4R149-015,AIR-FRANCE-AF66,Air France AF66 – A380 uncontained engine failure over Greenland,NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-015,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,BEA,SOURCE_RECOVERY_REQUIRED,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Recover official BEA final report and supporting annexes before any ingestion decision.,EXTERNAL_ONLY | SOURCE_RECOVERY_REQUIRED
EXT-A4R149-016,EXECUFLIGHT-1526,Execuflight 1526 – Akron BAe‑125 (AAR‑16/03),YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,TXT_GOOD,HF_POSITIVE_CANDIDATE,YES,EXT-A4R149-016,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,NTSB,PRIMARY_OFFICIAL_LINK_PRESENT,MEDIUM,OPUS_CORE_PACKET,Retain as systemic/organizational boundary case with official NTSB source.,OVERLAP_LOCAL_EXTERNAL | OFFICIAL_SOURCE_STRONG
