eventId,eventName,localTxtPath,pathExists,fileSizeBytes,lineCount,expectedIdentifiers,matchedIdentifiers,missingIdentifiers,integrityStatus,riskLevel,recommendedAction
EXT-A4R149-001,COLGAN-3407,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,YES,836918,14920,3407|air|approach|colgan|colgan-3407|ext-a4r149-001|ntsb,3407|air|approach|colgan|ntsb,colgan-3407|ext-a4r149-001,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-002,ASIANA-214,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/ASIANA-214-NTSB-AAR1401.txt,YES,521908,10106,214|aar1401|asiana|asiana-214|below|descent|ext-a4r149-002|glidepath|ntsb|visual,214|asiana|below|descent|glidepath|ntsb|visual,aar1401|asiana-214|ext-a4r149-002,PATH_CONFIRMED,LOW,Path integrity looks consistent
EXT-A4R149-002,ASIANA-214,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/2__2014__NTSB-USA__Boeing-777-200ER__Descent-Below-Visual-Glidepath-and-Impact-Wit.txt,YES,590671,9542,214|asiana|asiana-214|below|descent|ext-a4r149-002|glidepath|ntsb|visual,214|asiana|below|descent|glidepath|ntsb|visual,asiana-214|ext-a4r149-002,PATH_CONFIRMED,LOW,Path integrity looks consistent
EXT-A4R149-003,UPS-1354,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,YES,374171,8018,1354|aar1402|approach|cfit|ext-a4r149-003|nighttime|nonprecision|ntsb|ups|ups-1354,1354|approach|nighttime|nonprecision|ntsb|ups,aar1402|cfit|ext-a4r149-003|ups-1354,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-004,G-WNSB-SUPER-PUMA-SUMBURGH,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,YES,10761,185,aaib|ext-a4r149-004|g-wnsb|g-wnsb-super-puma-sumburgh|puma|sumburgh|super|wnsb,g-wnsb|puma|sumburgh|super|wnsb,aaib|ext-a4r149-004|g-wnsb-super-puma-sumburgh,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-007,AIR-CANADA-624,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,YES,212577,2249,a15h0002|ac624|air|air-canada-624|canada|ext-a4r149-007|halifax|landing|short|tsb,a15h0002|air|canada|halifax|tsb,ac624|air-canada-624|ext-a4r149-007|landing|short,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-007,AIR-CANADA-624,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,YES,236214,4009,a15h0002|ac624|air|air-canada-624|canada|ext-a4r149-007|halifax|landing|short|tsb,a15h0002|air|canada|halifax|short|tsb,ac624|air-canada-624|ext-a4r149-007|landing,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-009,ORNGE-A13H0001,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,YES,584007,8876,76a|a13h0001|cfit|decolagem|ext-a4r149-009|moosonee|ornge|ornge-a13h0001|s-76a|tsb,76a|a13h0001|moosonee|s-76a|tsb,cfit|decolagem|ext-a4r149-009|ornge|ornge-a13h0001,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-012,COUGAR-A09A0016,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,YES,509018,8048,92a|a09a0016|cougar|cougar-a09a0016|ext-a4r149-012|gearbox|main|oil|s-92a|tsb,92a|a09a0016|cougar|gearbox|main|oil|s-92a,cougar-a09a0016|ext-a4r149-012|tsb,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-013,EC225-G-REDW-G-CHCN,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,YES,651359,11187,2014|aaib|chcn|ditchings|ec225|ec225-g-redw-g-chcn|ext-a4r149-013|g-chcn|g-redw|north|redw|sea,2014|aaib|chcn|ec225|g-chcn|g-redw|redw,ditchings|ec225-g-redw-g-chcn|ext-a4r149-013|north|sea,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
