case_id,event_name,batch,source_quality,reentry_status,agent_kind,point_topology,operational_moment_ref,poa_metadata_complete,candidate_only_ready,selectedCode_absent,releasedCode_absent,downstream_absent,rr001_status,rr003_status,next_lane,notes
REAL-EVENT-COPTERLINE-S76-EST-2005-PILOT-001,Copterline S-76C+ Estonia 2005,A4R193-A,HIGH,READY_FOR_CANDIDATE_ONLY_TRIAL,maintenance_or_org,discrete,seq:3,YES,YES,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Maintenance-org anchor preserved under candidate-only lock
REAL-EVENT-ASIANA214-SFO2013-REENTRY-001,Asiana 214 SFO 2013,A4R193-B,HIGH,READY_FOR_CANDIDATE_ONLY_TRIAL,crew_collective,progressive,seq:4,YES,YES,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,PF-PM split remains open by design
REAL-EVENT-COMAIR-5191-LEX-2006-REENTRY-001,Comair 5191 LEX 2006,A4R193-B,HIGH,READY_FOR_CANDIDATE_ONLY_TRIAL,crew_collective,progressive,seq:4,YES,YES,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,O-E remains non-existent and non-active
REAL-EVENT-UNITED-173-PDX-1978-REENTRY-001,United 173 PDX 1978,A4R193-B,HIGH,READY_FOR_CANDIDATE_ONLY_TRIAL,crew_collective,progressive,seq:6,YES,YES,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Fuel-critical window remains candidate-only
REAL-EVENT-AMERICAN-1420-LIT-1999-REENTRY-001,American 1420 LIT,A4R193-E,HIGH,READY_FOR_CANDIDATE_ONLY_TRIAL,crew_collective,progressive,seq:4,YES,YES,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Batch3 entry validated in passive mode
REAL-EVENT-UPS-1354-BHM-2013-REENTRY-001,UPS 1354 BHM,A4R193-E,HIGH,READY_FOR_CANDIDATE_ONLY_TRIAL,crew_collective,progressive,seq:4,YES,YES,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Batch3 entry validated in passive mode
REAL-EVENT-USAIR-427-PIT-1994-REENTRY-001,USAir 427 PIT 1994,ENRICHMENT_QUEUE,MEDIUM,SOURCE_INSUFFICIENT_FOR_REENTRY,system_or_condition_dominant,diffuse,hold:technical-dominance-boundary,NO,NO,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,HOLD_TECHNICAL_DOMINANT,Technical-versus-operator boundary unresolved
A4R193D-CAND-002,American 965 Cali,ENRICHMENT_QUEUE,MEDIUM,SOURCE_ENRICHMENT_REQUIRED,pending_source_enrichment,pending_topology_enrichment,hold:framing-hardening-required,NO,NO,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_PRIORITY,Multi-actor framing hardening pending
A4R193D-CAND-003,Delta 191,ENRICHMENT_QUEUE,MEDIUM,SOURCE_ENRICHMENT_REQUIRED,pending_source_enrichment,pending_topology_enrichment,hold:source-recovery-consolidation,NO,NO,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_PRIORITY,OCR/corpus caution requires direct-source consolidation
REAL-EVENT-0001,Thebaud legacy,ENRICHMENT_QUEUE,MEDIUM,SOURCE_ENRICHMENT_REQUIRED,pending_source_enrichment,pending_topology_enrichment,hold:legacy-contract-rebuild,NO,NO,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_PRIORITY,Legacy package needs current reentry contract rebuild
REAL-EVENT-0002,Peasmarsh legacy,ENRICHMENT_QUEUE,MEDIUM,SOURCE_ENRICHMENT_REQUIRED,pending_source_enrichment,pending_topology_enrichment,hold:direct-actor-unclear,NO,NO,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_BACKLOG,Warning/go-around actor chain remains ambiguous
REAL-EVENT-0004,Vigo legacy,ENRICHMENT_QUEUE,MEDIUM,SOURCE_ENRICHMENT_REQUIRED,pending_source_enrichment,pending_topology_enrichment,hold:role-decomposition-incomplete,NO,NO,YES,YES,YES,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_BACKLOG,Role decomposition remains incomplete
