eventId,eventName,priorLocalTxtPath,correctedLocalTxtPath,priorStatus,correctedStatus,correctionType,sourceConfidenceAfterCorrection,usableForFutureGatePrep,usableForFutureNegativeControl,blocksFuturePOA,reason,evidenceFromA4R157,requiredNextAction
EXT-A4R149-001,COLGAN-3407,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=3407|air|approach|colgan|ntsb,A4R157-ISSUE-001,Resolve alias ownership before gate-prep
EXT-A4R149-003,UPS-1354,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=1354|approach|nighttime|nonprecision|ntsb|ups,A4R157-ISSUE-002,Resolve alias ownership before gate-prep
EXT-A4R149-004,G-WNSB-SUPER-PUMA-SUMBURGH,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=g-wnsb|puma|sumburgh|super|wnsb,A4R157-ISSUE-003,Resolve alias ownership before gate-prep
EXT-A4R149-007,AIR-CANADA-624,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=a15h0002|air|canada|halifax|tsb,A4R157-ISSUE-004,Resolve alias ownership before gate-prep
EXT-A4R149-007,AIR-CANADA-624,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=a15h0002|air|canada|halifax|short|tsb,A4R157-ISSUE-005,Resolve alias ownership before gate-prep
EXT-A4R149-009,ORNGE-A13H0001,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=76a|a13h0001|moosonee|s-76a|tsb,A4R157-ISSUE-006,Resolve alias ownership before gate-prep
EXT-A4R149-012,COUGAR-A09A0016,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=92a|a09a0016|cougar|gearbox|main|oil|s-92a,A4R157-ISSUE-007,Resolve alias ownership before gate-prep
EXT-A4R149-013,EC225-G-REDW-G-CHCN,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=2014|aaib|chcn|ec225|g-chcn|g-redw|redw,A4R157-ISSUE-008,Resolve alias ownership before gate-prep
EXT-A4R149-016,EXECUFLIGHT-1526,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=125|1526|aar|akron|execuflight|ntsb,A4R157-ISSUE-009,Resolve alias ownership before gate-prep
EXT-A4R149-017,CORPORATE-5966,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=5966|aar|corporate|j32|kirksville|ntsb,A4R157-ISSUE-010,Resolve alias ownership before gate-prep
