rank,candidate_id,event_name,role,locator_status,readiness_status,deep_extraction_priority,source_depth_basis,required_before_extraction,guardrail_reason
1,C-002,Asiana Airlines Flight 214,top10,ALREADY_IN_REPO,READY_FOR_DEEP_EXTRACTION,HIGH,Official NTSB PDF plus local text,"Verify page/section references during extraction","No POA final classification; no READY promotion; factual extraction only"
2,C-003,UPS Airlines Flight 1354,top10,ALREADY_IN_REPO,READY_FOR_DEEP_EXTRACTION,HIGH,Official NTSB PDF plus local and curated text,"Verify page/section references during extraction","No POA final classification; no READY promotion; factual extraction only"
3,C-007,G-WNSB Sumburgh helicopter accident,top10,ALREADY_IN_REPO,READY_FOR_DEEP_EXTRACTION,HIGH,Official AAIB page/PDF plus local text,"Use normalized PDF URL and reject polluted suffix","No POA final classification; no READY promotion; factual extraction only"
4,C-020,Comair Flight 5191,top10,ALREADY_IN_REPO,READY_FOR_DEEP_EXTRACTION,HIGH,Official NTSB PDF plus local text,"Verify page/section references during extraction","No POA final classification; no READY promotion; factual extraction only"
5,C-001,Colgan Air Flight 3407,top10,ALREADY_IN_REPO,READY_FOR_DEEP_EXTRACTION,HIGH,Official NTSB PDF plus local text,"Verify page/section references during extraction","No POA final classification; no READY promotion; factual extraction only"
6,C-006,Turkish Airlines Flight 1951,top10,OFFICIAL_PAGE_CONFIRMED,NEEDS_LOCATOR_RECHECK,MEDIUM,Official DSB page only,"Locate official PDF or extractable official text before extraction","Official page confirmation is not enough for deep extraction"
7,C-009,Spanair Flight JK5022,top10,NEEDS_PERPLEXITY_RECHECK,NEEDS_LOCATOR_RECHECK,MEDIUM,Official-looking PDF locator not locally confirmed,"Recheck current official locator and acquisition path","No extraction from Wikipedia or copied summaries"
8,C-010,Pel-Air VH-NGA Norfolk Island ditching,top10,OFFICIAL_PAGE_CONFIRMED,NEEDS_LOCATOR_RECHECK,MEDIUM,Official ATSB page documented,"Retry official page or official report PDF/text acquisition","No extraction from media substitutes"
9,C-016,Execuflight Flight 1526,top10,ALREADY_IN_REPO,READY_FOR_DEEP_EXTRACTION,HIGH,Official NTSB PDF plus local text,"Verify page/section references during extraction","No POA final classification; no READY promotion; factual extraction only"
10,C-008,Air Canada Flight 759,top10,SOURCE_NOT_FOUND,HOLD,LOW,No local official locator found,"Run Perplexity locator recheck; do not use Air Canada 624","No silent substitution"
11,C-022,Air France Flight 358,control_or_supplement,OFFICIAL_PAGE_CONFIRMED,NEEDS_LOCATOR_RECHECK,LOW,TSB official page documented but local capture incomplete,"Normalize current TSB report locator","Control/supplement only until source text is complete"
12,C-004,First Air Flight 6560,control_or_supplement,ALREADY_IN_REPO,READY_FOR_DEEP_EXTRACTION,MEDIUM,Official TSB PDF plus recovered local text,"Verify page/section references during extraction","Factual extraction only; no baseline promotion"
13,C-021,TransAsia Airways Flight GE235,control_or_supplement,NEEDS_PERPLEXITY_RECHECK,HOLD,LOW,No clean local official locator found,"Confirm official ASC or TTSB PDF locator","No media-source extraction"
14,C-011,Delta Air Lines Flight 191,control_or_supplement,OFFICIAL_PDF_CONFIRMED,READY_FOR_NEGATIVE_CONTROL_EXTRACTION,MEDIUM,Official NTSB PDF confirmed; recovered local text exists outside tracked set,"Use official locator; do not stage untracked source-corpus text","Negative-control extraction only"
15,C-015,5N-BQJ Bristow Helicopters Nigeria ditching,control_or_supplement,ALREADY_IN_REPO,READY_FOR_NEGATIVE_CONTROL_EXTRACTION,LOW,Partial official-text material exists in local corpus,"Keep source-depth limitation explicit","Negative-control extraction only; no reference promotion"
16,C-012,USAir Flight 427,control_or_supplement,ALREADY_IN_REPO,READY_FOR_BOUNDARY_EXTRACTION,MEDIUM,Official NTSB PDF plus local text,"Verify page/section references during extraction","Boundary extraction only; no baseline promotion"
