case_id,event_name,current_status,source_quality,agent_kind,point_topology,reentry_status,ready_candidate_only,hold_reason,rr001_relevant,rr003_relevant,next_lane,notes
REAL-EVENT-COPTERLINE-S76-EST-2005-PILOT-001,Copterline S-76C+ Estonia 2005,READY_CANDIDATE_ONLY,HIGH,maintenance_or_org,discrete,READY_FOR_CANDIDATE_ONLY_TRIAL,YES,NONE,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Maintenance-org anchor preserved under candidate-only lock
REAL-EVENT-ASIANA214-SFO2013-REENTRY-001,Asiana 214 SFO 2013,READY_CANDIDATE_ONLY,HIGH,crew_collective,progressive,READY_FOR_CANDIDATE_ONLY_TRIAL,YES,NONE,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,PF-PM split remains open by design
REAL-EVENT-COMAIR-5191-LEX-2006-REENTRY-001,Comair 5191 LEX 2006,READY_CANDIDATE_ONLY,HIGH,crew_collective,progressive,READY_FOR_CANDIDATE_ONLY_TRIAL,YES,NONE,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Objective non-existent code remains non-active metadata only
REAL-EVENT-UNITED-173-PDX-1978-REENTRY-001,United 173 PDX 1978,READY_CANDIDATE_ONLY,HIGH,crew_collective,progressive,READY_FOR_CANDIDATE_ONLY_TRIAL,YES,NONE,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Fuel-critical window remains candidate-only
REAL-EVENT-AMERICAN-1420-LIT-1999-REENTRY-001,American 1420 LIT,READY_CANDIDATE_ONLY,HIGH,crew_collective,progressive,READY_FOR_CANDIDATE_ONLY_TRIAL,YES,NONE,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Batch3 entry validated in passive mode
REAL-EVENT-UPS-1354-BHM-2013-REENTRY-001,UPS 1354 BHM,READY_CANDIDATE_ONLY,HIGH,crew_collective,progressive,READY_FOR_CANDIDATE_ONLY_TRIAL,YES,NONE,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Batch3 entry validated in passive mode
REAL-EVENT-AMERICAN-965-CALI-1995-REENTRY-001,American 965 Cali,READY_CANDIDATE_ONLY,MEDIUM_HIGH,crew_collective,progressive,READY_FOR_CANDIDATE_ONLY_TRIAL,YES,NONE,OPEN,PARTIALLY_MITIGATED,MAINTAIN_CANDIDATE_ONLY_REENTRY,Batch4 single-entry reentry under passive lock
A4R193D-CAND-002,American 965 Cali legacy enrichment slot,HOLD_SOURCE_ENRICHMENT,MEDIUM,pending_source_enrichment,pending_topology_enrichment,SOURCE_ENRICHMENT_REQUIRED,NO,SUPERSEDED_BY_BATCH4_REENTRY_ROW,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_ARCHIVE_ONLY,Legacy enrichment slot retained for audit continuity and count reconciliation
A4R193D-CAND-003,Delta 191,HOLD_SOURCE_ENRICHMENT,MEDIUM_WITH_CAUTION,pending_source_enrichment,pending_topology_enrichment,HOLD_ENVIRONMENT_DOMINANT,NO,ENVIRONMENT_DOMINANT_BOUNDARY,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_PRIORITY,Do not force human-error framing in microburst-dominant context
A4R193D-CAND-006,Colgan 3407 BUF,HOLD_SOURCE_ENRICHMENT,HIGH_FOR_FACTS_MEDIUM_FOR_BOUNDARY,crew_collective_pending_split,pending_topology_enrichment,HOLD_AGENT_MIGRATION_RISK,NO,PF_PM_AGENT_BOUNDARY_NOT_STABLE,OPEN,PARTIALLY_MITIGATED,SOURCE_ENRICHMENT_CONTROLLED,Require explicit PF PM crew-agent boundary evidence before release
