path,classification,ignore_pattern,action,rationale
".playwright-cli/console-2026-06-07T16-42-16-094Z.log","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/console-2026-06-08T01-19-39-577Z.log","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/console-2026-06-08T01-27-16-548Z.log","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/console-2026-06-08T01-30-29-749Z.log","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/console-2026-06-08T01-37-56-324Z.log","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-07T16-26-22-880Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-07T16-26-56-258Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-07T16-27-11-588Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-07T16-27-39-756Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-07T16-27-51-430Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-07T16-42-16-473Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-08T01-19-40-598Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-08T01-27-17-282Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-08T01-30-30-535Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
".playwright-cli/page-2026-06-08T01-37-57-263Z.yml","SHOULD_IGNORE",".playwright-cli/","ignored_by_specific_gitignore_pattern","Playwright CLI local page/console captures; generated and reproducible."
"docs/sera-vnext/opus-frontend-deletion-audit-b5c6a4f.zip","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local audit archive; preserve without staging in this closure."
"docs/sera-vnext/reference-corpus-a4r202/SERA_A4R202_OPUS_SUPPLEMENTAL_AUDIT_REPORT_v0.1.0.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/reference-corpus-a4r202/SERA_VNEXT_METHODOLOGICAL_COHERENCE_AUDIT_A4R202_OPUS2_v0.2.0.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/reference-corpus-a4r202/SERA_VNEXT_OPUS_AUDIT_A4R202_OPUS1.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/reference-corpus-a4r202/SERA_VNEXT_OPUS_COMPREHENSIVE_AUDIT_A4R202_FULL_v0.2.0.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/runtime-alignment-a4r192/SERA_A4R192_CANDIDATE_ONLY_CLOSURE_READINESS_v0.2.0.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/runtime-alignment-a4r192/SERA_A4R192_D_LOG_v0.2.0.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/runtime-alignment-a4r192/SERA_A4R193_DECISION_PLAN_v0.2.0.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/runtime-alignment-a4r192/SERA_ESCAPE_POINT_PREINTEGRATION_REGRESSION_A4R192_D_v0.2.0.md","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local reference/methodology corpus; preserve without staging in this closure."
"docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1__NTSB-AAR-86-05-Delta-191.txt","LOCAL_CORPUS_PRESERVE","","preserve_unstaged","Local source corpus material; do not delete or blanket-ignore."
"output/playwright/sera-vnext-controlled-admin-pilot/.playwright-cli/console-2026-06-07T16-41-28-875Z.log","SHOULD_IGNORE","output/","ignored_by_specific_gitignore_pattern","Local Playwright/runtime output; generated and not product source."
"output/playwright/sera-vnext-controlled-admin-pilot/.playwright-cli/console-2026-06-07T16-41-31-276Z.log","SHOULD_IGNORE","output/","ignored_by_specific_gitignore_pattern","Local Playwright/runtime output; generated and not product source."
"output/playwright/sera-vnext-controlled-admin-pilot/.playwright-cli/console-2026-06-07T16-43-46-411Z.log","SHOULD_IGNORE","output/","ignored_by_specific_gitignore_pattern","Local Playwright/runtime output; generated and not product source."
"output/playwright/sera-vnext-controlled-admin-pilot/.playwright-cli/console-2026-06-07T16-44-05-273Z.log","SHOULD_IGNORE","output/","ignored_by_specific_gitignore_pattern","Local Playwright/runtime output; generated and not product source."
