duplicateGroupId,primaryInventoryId,relatedInventoryIds,probableEventKey,reason,confidence,action
A4R178-DUP-001,A4R178-INV-0240,A4R178-INV-0247|A4R178-INV-0273|A4R178-INV-0280|A4R178-INV-0287|A4R178-INV-0313,NTSB-USA-BOEING-737-222,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-002,A4R178-INV-0239,A4R178-INV-0272|A4R178-INV-0288|A4R178-INV-0314,NTSB-USA-BOEING-737-300-FAIRCHILD-METROLINER-SA-227-AC,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-003,A4R178-INV-0241,A4R178-INV-0274|A4R178-INV-0289|A4R178-INV-0315,NTSB-USA-AIRBUS-A320-214,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-004,A4R178-INV-0245,A4R178-INV-0278|A4R178-INV-0341|A4R178-INV-0353,NTSB-USA-LOCKHEED-L-1011-1,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-005,A4R178-INV-0191,A4R178-INV-0192|A4R178-INV-0207,AIR-CANADA-624-TSB-A15H0002,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-006,A4R178-INV-0195,A4R178-INV-0210|A4R178-INV-0217,ASIANA-214-NTSB-AAR1401,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-007,A4R178-INV-0196,A4R178-INV-0211|A4R178-INV-0218,COMAIR-5191-NTSB-AAR0705,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-008,A4R178-INV-0199,A4R178-INV-0200|A4R178-INV-0213,G-BLUN-OFFSHORE-AAIB-AAR-7-2008,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-009,A4R178-INV-0202,A4R178-INV-0203|A4R178-INV-0214,KEGWORTH-GOBME-AAIB-4-1990,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-010,A4R178-INV-0204,A4R178-INV-0215|A4R178-INV-0219,KOREAN-801-NTSB-AAR0001,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-011,A4R178-INV-0036,A4R178-INV-0057,EXTERNAL-CANDIDATE-INDEX-A4R87-V0-2-0,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-012,A4R178-INV-0193,A4R178-INV-0208,AMERICAN-1420-NTSB-AAR0102,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-013,A4R178-INV-0194,A4R178-INV-0209,AMERICAN-965-CALI-ACCIDENT-REPORT,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-014,A4R178-INV-0206,A4R178-INV-0216,UPS-1354-NTSB-AAR1402,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-015,A4R178-INV-0221,A4R178-INV-0254,TSB-CANADA-MD-11,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-016,A4R178-INV-0224,A4R178-INV-0257,AAIB-UK-EUROCOPTER-EC225-LP,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-017,A4R178-INV-0225,A4R178-INV-0258,AIBN-NORWAY-AIRBUS-EC225-LP,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-018,A4R178-INV-0226,A4R178-INV-0259,NTSB-USA-EUROCOPTER-EC130,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
A4R178-DUP-019,A4R178-INV-0227,A4R178-INV-0260,NTSB-USA-DHC-8-402-Q400,same probableEventKey across multiple formats/buckets,HIGH,DEFERRED_HUMAN_REVIEW
