termId,sourceTerm,sourceLanguage,canonicalPt,canonicalEnOrToken,category,definitionPt,allowedUse,forbiddenSynonymsOrUses,notes
TERM-001,departure from safe operation,EN,ponto de fuga da operação segura,departure from safe operation,METHODOLOGICAL_ANCHOR,"Momento em que a trajetória da operação cruzou da zona segura para a zona insegura pela primeira vez; âncora temporal e causal de toda análise P/O/A","Usar como âncora temporal para decidir quais fragmentos de evidência são válidos para P/O/A; usar no campo escapePointScope de A4R182","Ponto de ruptura; ponto de falha; momento do acidente; origem do acidente; causa-raiz","Aprovado em A4R182 por evento; único por evento; não pode ser multiplicado sem fase de revisão autoral"
TERM-002,ponto de fuga da operação segura,PT,ponto de fuga da operação segura,departure from safe operation,METHODOLOGICAL_ANCHOR,"Termo PT canônico para departure from safe operation de Hendy (2003)","Usar em texto explicativo como âncora causal e temporal; usar no campo escapePointScope","Ponto de ruptura; escape point (em prosa PT)","O token escapePointScope é o campo formal correspondente em inglês; em prosa PT usar sempre a forma completa ou a abreviação aprovada 'ponto de fuga'"
TERM-003,escapePointScope,EN,escopo do ponto de fuga,escapePointScope,TECHNICAL_FIELD,"Campo formal que registra a declaração autoral do ponto de fuga aprovado por evento em A4R182","Usar como nome de campo em CSVs e documentos formais","Substituir por descrição livre em campo de dados","Valor deste campo em A4R182 é a descrição textual do ponto de fuga aprovado"
TERM-004,Goal,EN,Objetivo,Goal (Hendy / eixo O),AXIS_CONCEPT,"Constructo IP/PCT de Hendy (2003) que designa a intenção ou objetivo do operador que levou ao ato inseguro; operacionalizado como eixo O no SERA","Usar como referência ao eixo O (Objetivo) na análise SERA; usar com nota de origem Hendy quando contexto metodológico o exigir","Meta estratégica; objetivo organizacional; objetivo de voo como produtividade; intenção pós-evento; desfecho desejado","Em texto PT usar Objetivo; manter Goal como anchor EN para rastreabilidade com Hendy"
TERM-005,Objetivo,PT,Objetivo,Goal (Hendy / eixo O),AXIS_CONCEPT,"Termo PT canônico para o eixo O do SERA; o que o operador/tripulação estava tentando alcançar no momento do ponto de fuga","Usar em texto PT para designar o eixo O e seus nodes (O_ROOT até leaf O-A/B/C/D)","Objetivo da empresa; objetivo estratégico; objetivo do voo como meta de eficiência; intenção pós-evento","Não confundir com sentido organizacional; restrito ao operador no momento do ponto de fuga"
TERM-006,Objective,EN,Objetivo,Objective / Goal (Hendy),AXIS_CONCEPT,"Termo EN alternativo a Goal em alguns textos de fator humano; usado como equivalente de Goal/Objetivo no SERA","Aceitar como sinônimo de Goal/Objetivo quando contexto SERA for claro","Usar como objective no sentido de KPI/OKR/meta organizacional em contexto SERA","Em A4R99 o termo EN usado é Goal; Objective aparece em alguns textos derivados"
TERM-007,Perception,EN,Percepção,Perception (eixo P),AXIS_CONCEPT,"Constructo SERA/IP que designa o estado crença/percepção do operador sobre o mundo no momento do ponto de fuga; operacionalizado como eixo P","Usar como referência ao eixo P e seus nodes (P_ROOT até leaf P-A/H)","Awareness genérico sem node; situational awareness como construto ATC sem node SERA; percepção como sinônimo de atenção pós-evento","Percepção no SERA é sempre referenciada a um node canônico específico (P_ASSESSMENT etc.)"
TERM-008,Assessment,EN,Avaliação da situação,Assessment (P_ASSESSMENT),NODE_CONCEPT,"Termo EN do node P_ASSESSMENT na árvore canônica A4R99; corresponde a 'Avaliação correta ou adequada da situação?'","Usar como referência ao node P_ASSESSMENT; usar em rationale quando o node em questão for P_ASSESSMENT","Usar assessment como sinônimo genérico de avaliação fora do contexto do node P_ASSESSMENT","Node canônico: P_ASSESSMENT; exactQuestionTextPt: 'Avaliação correta ou adequada da situação?'"
TERM-009,Percepção,PT,Percepção,Perception (eixo P),AXIS_CONCEPT,"Termo PT canônico para o eixo P do SERA","Usar em texto PT para designar o eixo P e seus nodes","Percepção como awareness genérico; percepção como atenção situacional sem referência a node","Sempre referenciar ao node canônico correspondente quando usada em análise"
TERM-010,Avaliação da situação,PT,Avaliação da situação,Assessment (P_ASSESSMENT),NODE_CONCEPT,"Tradução PT canônica da pergunta do node P_ASSESSMENT: 'Avaliação correta ou adequada da situação?'","Usar para referenciar o node P_ASSESSMENT e sua pergunta","Generalizar como 'avaliação' sem indicar que se trata do node P_ASSESSMENT","Este é o exactQuestionTextPt resumido de P_ASSESSMENT; o texto completo está em A4R99"
