"candidate_id","event_name","original_perplexity_role","repo_presence_status","existing_repo_reference","source_link_status","corrected_authority_source","corrected_official_source_locator","factual_depth_status","likely_gap_family","corrected_reference_role","source_quality_risk","outcome_bias_risk","agent_migration_risk","technical_dominance_risk","recommended_next_action","keep_in_top10_consideration","notes"
"C-001","Colgan Air 3407","top10_candidate","ALREADY_IN_REPO","A4R149 EXT-001; A4R197-E; A4R200-A","OFFICIAL_BUT_NEEDS_LOCATOR","NTSB","NTSB AAR-10/01 canonical report/page","NEEDS_ROLE_SEQUENCE_EXTRACTION","GAP-001|GAP-010","DEEP_EXTRACTION_CANDIDATE","LOW","MEDIUM","HIGH","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Strong source; PF/PM boundary remains conditional."
"C-002","Asiana 214","top10_candidate","ALREADY_IN_REPO","A4R149 EXT-002; A4R180; A4R186","NON_OFFICIAL_WEAK","NTSB","NTSB AAR-14/01 official locator required","NEEDS_CVR_FDR_TIMELINE","GAP-001|automation_mode_awareness","STRONG_REFERENCE_CANDIDATE","HIGH","MEDIUM","MEDIUM","MEDIUM","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Motley Rice or other litigation/media source must not be primary."
"C-003","UPS 1354","top10_candidate","ALREADY_IN_REPO","A4R149 EXT-003; A4R111 candidate","OFFICIAL_BUT_NEEDS_LOCATOR","NTSB","NTSB AAR-14/02 canonical report/page","NEEDS_FULL_REPORT_EXTRACTION","GAP-001|unstable_approach","STRONG_REFERENCE_CANDIDATE","LOW","MEDIUM","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Good CFIT/nonprecision approach case; summary is not enough."
"C-004","First Air 6560","top10_candidate","PARTIALLY_IN_REPO","A4R111 candidate; source-corpus references","OFFICIAL_BUT_NEEDS_LOCATOR","TSB Canada","TSB A11H0002 investigation page/report","NEEDS_CVR_FDR_TIMELINE","GAP-001|CRM_divergent_situation_model","DEEP_EXTRACTION_CANDIDATE","MEDIUM","MEDIUM","HIGH","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","conditional","Needs actor-specific PF/PM sequence."
"C-005","Air France 447","top10_candidate","ALREADY_IN_REPO","A4R149 EXT-023; source-corpus references","OFFICIAL_CONFIRMED","BEA","BEA final report AF447 official PDF/page","NEEDS_CVR_FDR_TIMELINE","automation_loss_of_control","DEEP_EXTRACTION_CANDIDATE","LOW","HIGH","MEDIUM","MEDIUM","HOLD_FOR_HUMAN_DECISION","no","Source-rich but very complex; do not start until smaller cases close."
"C-006","Turkish Airlines 1951","top10_candidate","PARTIALLY_IN_REPO","A4R111 failed-link recovery NEW50-10","NON_OFFICIAL_WEAK","Dutch Safety Board","DSB Turkish 1951/Poldercrash official investigation locator","NEEDS_FULL_REPORT_EXTRACTION","automation_mode_and_energy","DEEP_EXTRACTION_CANDIDATE","HIGH","MEDIUM","MEDIUM","MEDIUM","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","YouTube is not a primary source."
"C-007","G-WNSB Sumburgh Super Puma","top10_candidate","ALREADY_IN_REPO","A4R149 EXT-004; A4R197-E Thebaud family routing","OFFICIAL_CONFIRMED","AAIB UK","AAIB AAR 1/2016 G-WNSB official PDF","NEEDS_ROLE_SEQUENCE_EXTRACTION","GAP-003|GAP-008|offshore_rotorcraft","STRONG_REFERENCE_CANDIDATE","LOW","MEDIUM","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","High-value offshore rotorcraft candidate."
"C-008","Air Canada 759","top10_candidate","NOT_FOUND_IN_REPO","Search directive only; no local extraction located","SOURCE_NOT_VERIFIED","TSB/NTSB/FAA as applicable","official incident report locator not established locally","NEEDS_FULL_REPORT_EXTRACTION","runway_incursion_or_surface_conflict","DEEP_EXTRACTION_CANDIDATE","HIGH","MEDIUM","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","conditional","May be useful but raw source locator was not attached."
"C-009","Spanair JK5022","top10_candidate","PARTIALLY_IN_REPO","A4R111 failed-link recovery NEW50-5","NON_OFFICIAL_WEAK","CIAIAC Spain","CIAIAC A-032/2008 official English/Spanish report locator","NEEDS_CVR_FDR_TIMELINE","configuration_warning_checklist","DEEP_EXTRACTION_CANDIDATE","HIGH","MEDIUM","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Wikipedia marker must be replaced by official CIAIAC locator."
"C-010","Pel-Air VH-NGA Norfolk Island","top10_candidate","PARTIALLY_IN_REPO","A4R111 NEW50-20; failed-link recovery","NON_OFFICIAL_WEAK","ATSB Australia","ATSB AO-2009-072 official investigation/report locator","NEEDS_FULL_REPORT_EXTRACTION","fuel_weather_decision_chain","DEEP_EXTRACTION_CANDIDATE","HIGH","HIGH","HIGH","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Australian Aviation/Flying summaries are not primary sources."
