guardrail_id,gap_id,guardrail_name,required_rule,rationale,failure_mode_prevented,applies_to_future_materialization,blocks_fixture_promotion,status
GR-001,GAP-004,escape_anchor_before_outcome,future synthetic timeline must mark the escape point before any outcome is introduced,protects the pre-outcome anchor and the ponto de fuga rule,outcome_driven_anchor_selection,FUTURE_ONLY,YES,DESIGN_ONLY
GR-002,GAP-004,outcome_is_context_not_cause,post-escape-point consequence may only appear as context never as cause,TYPE-08 outcome trap requires evidence boundary at the escape anchor,using impact or alert or result as cause,FUTURE_ONLY,YES,DESIGN_ONLY
GR-003,GAP-004,outcome_distractor_required,future case must include at least one severe-outcome distractor that does not move the anchor,negative control proves non-forcing behavior under severe outcome,severity_driven_cause_selection,FUTURE_ONLY,YES,DESIGN_ONLY
GR-004,GAP-004,no_classification_in_design,design-only phase produces no P/O/A label and no final output,classification belongs to a future authorized phase not to design,premature_classification_from_outcome,FUTURE_ONLY,YES,DESIGN_ONLY
GR-005,GAP-002,actor_fixed_at_escape_anchor,actor of the escape anchor is declared and stable; later agent change must be explicit and posterior,blocks implicit agent switch between anchor and P/O/A axis,axis_agent_switch_after_anchor,FUTURE_ONLY,YES,DESIGN_ONLY
GR-006,GAP-002,violation_language_isolated,violation language must not be used to reattribute the agent,TYPE-09 violation-language trap reassigns actor silently,implicit_agent_reattribution_via_violation_language,FUTURE_ONLY,YES,DESIGN_ONLY
GR-007,GAP-002,no_collective_actor_fallback,PF and PM stay distinct; no fallback to a single collective actor,preserves dual-actor resolution coupled to GAP-001 and GAP-010,collective_label_overrides_distinct_acts,FUTURE_ONLY,YES,DESIGN_ONLY
GR-008,GAP-002,boundary_coupled_to_gap010,agent migration design stays coupled to the GAP-010 PF/PM boundary decision,prevents divergent PF/PM boundary across gaps,divergent_pf_pm_boundary,FUTURE_ONLY,YES,DESIGN_ONLY
GR-009,GAP-004|GAP-002,human_authorization_before_materialization,no materialization fixture baseline or product without explicit human authorization,real-first separation and product lock must hold before any synthetic instance,unauthorized_materialization,FUTURE_ONLY,YES,DESIGN_ONLY
GR-010,GAP-004|GAP-002,real_synthetic_separation,future synthetic must never be presented as a real event or auto-promoted to baseline,real-first corpus integrity; synthetic only fills documented gap,synthetic_mistaken_for_real_event,FUTURE_ONLY,YES,DESIGN_ONLY
