"file_path","line","error_code","error_summary","category","likely_scope","fix_strategy","risk_level","fix_status"
"tests/sera-vnext/adversarial-set-2-contract-trial-001.ts","32","TS2322","released-code helper accepted broad string input","TEST_TYPE_ERROR","trial helper","narrow helper input and cast local negative controls only","low","CLOSED"
"tests/sera-vnext/author-node-intake-adapter-trial-001.ts","193","TS2322","empty pending-decision negative control was outside decision union","TEST_TYPE_ERROR","trial negative control","import decision type and cast local empty-value scenario","low","CLOSED"
"tests/sera-vnext/code-traceability-trial-001.ts","27","TS2322","single-axis gate helper accepted broad string input","TEST_TYPE_ERROR","trial helper","narrow helper input and cast local non-existent injection only","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","262","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","269","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","276","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","283","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","287","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","291","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","296","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","301","TS2339","decision-gate map lost contract typing","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for contracts","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","413","TS2339","validation map lost typed result access","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for validation results","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","414","TS2339","validation map lost typed result access","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for validation results","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","415","TS2339","validation map lost typed result access","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for validation results","low","CLOSED"
