case_id,case_name_or_label,source_family,prior_work_doc,current_status,superseded_by,source_location,source_quality,methodology_role,escape_point_explicitness,agent_act_moment_sufficiency,poa_reference_available,mdc_reference_available,usable_as_reference,requires_reentry_under_escape_point_contract,reentry_status,recommended_action,notes
DAUMAS-CASE-1,Daumas Interview Case 1,DAUMAS_DISSERTATION,docs/sera-vnext/daumas-sera-reference-cases-a4r167/SERA_DAUMAS_REFERENCE_CASE_MATRIX_A4R167_v0.2.0.csv,PARTIALLY_VALID_NEEDS_RECONCILIATION,A4R191_A4R192,Daumas cap4.1 pages52to63,HIGH,METHODOLOGY_EXAMPLE,EXPLICIT_IN_DISSERTATION,PARTIAL,YES,YES,CONTEXT_ONLY,YES,METHODOLOGY_REFERENCE_ONLY,KEEP_AS_METHOD_CONTEXT_ONLY,Pre A4R192 not automatic reference
DAUMAS-CASE-2,Daumas Interview Case 2,DAUMAS_DISSERTATION,docs/sera-vnext/daumas-sera-reference-cases-a4r167/SERA_DAUMAS_REFERENCE_CASE_MATRIX_A4R167_v0.2.0.csv,PARTIALLY_VALID_NEEDS_RECONCILIATION,A4R191_A4R192,Daumas cap4.2 pages64to72,HIGH,METHODOLOGY_EXAMPLE,EXPLICIT_IN_DISSERTATION,PARTIAL,YES,YES,CONTEXT_ONLY,YES,METHODOLOGY_REFERENCE_ONLY,KEEP_AS_METHOD_CONTEXT_ONLY,Requires contract reentry before operational use
DAUMAS-CASE-3,Daumas Interview Case 3,DAUMAS_DISSERTATION,docs/sera-vnext/daumas-vnext-mapping-review-a4r168/SERA_DAUMAS_VNEXT_MAPPING_MATRIX_A4R168_v0.2.0.csv,PARTIALLY_VALID_NEEDS_RECONCILIATION,A4R191_A4R192,Daumas cap4.3 pages74to85,MEDIUM,METHODOLOGY_EXAMPLE,EXPLICIT_IN_DISSERTATION,PARTIAL,YES,YES,CONTEXT_ONLY,YES,HOLD_UNCLEAR_SOURCE,HOLD_FOR_DEDICATED_REVIEW,Source framing caution remains
DAUMAS-CASE-4,Daumas Interview Case 4,DAUMAS_DISSERTATION,docs/sera-vnext/daumas-vnext-mapping-review-a4r168/SERA_DAUMAS_VNEXT_MAPPING_MATRIX_A4R168_v0.2.0.csv,PARTIALLY_VALID_NEEDS_RECONCILIATION,A4R191_A4R192,Daumas cap4.4 pages86to96,HIGH,METHODOLOGY_EXAMPLE,EXPLICIT_IN_DISSERTATION,PARTIAL,YES,YES,CONTEXT_ONLY,YES,METHODOLOGY_REFERENCE_ONLY,KEEP_FOR_PARALLEL_METHOD_LANE,Historical method example only
REAL-EVENT-COPTERLINE-S76-EST-2005-PILOT-001,Copterline S-76 reentry,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_C_REAL_EVENT_REENTRY_TRACKER.csv,CURRENT_VALID,none,A4R193_C_tracker,HIGH,CURRENT_REENTRY_CANDIDATE,EXPLICIT_IN_A4R193,SUFFICIENT,NO,NO,ALREADY_IN_CURRENT_TRACKER,NO,DUPLICATE_OR_ALREADY_COVERED,NO_ACTION_ALREADY_COVERED,Executed in A4R193-A
REAL-EVENT-ASIANA214-SFO2013-REENTRY-001,Asiana 214 reentry,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_C_REAL_EVENT_REENTRY_TRACKER.csv,CURRENT_VALID,none,A4R193_C_tracker,HIGH,CURRENT_REENTRY_CANDIDATE,EXPLICIT_IN_A4R193,SUFFICIENT,NO,NO,ALREADY_IN_CURRENT_TRACKER,NO,DUPLICATE_OR_ALREADY_COVERED,NO_ACTION_ALREADY_COVERED,Executed in A4R193-B
REAL-EVENT-COMAIR-5191-LEX-2006-REENTRY-001,Comair 5191 reentry,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_C_REAL_EVENT_REENTRY_TRACKER.csv,CURRENT_VALID,none,A4R193_C_tracker,HIGH,CURRENT_REENTRY_CANDIDATE,EXPLICIT_IN_A4R193,SUFFICIENT,NO,NO,ALREADY_IN_CURRENT_TRACKER,NO,DUPLICATE_OR_ALREADY_COVERED,NO_ACTION_ALREADY_COVERED,Executed in A4R193-B
REAL-EVENT-UNITED-173-PDX-1978-REENTRY-001,United 173 reentry,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_C_REAL_EVENT_REENTRY_TRACKER.csv,CURRENT_VALID,none,A4R193_C_tracker,HIGH,CURRENT_REENTRY_CANDIDATE,EXPLICIT_IN_A4R193,SUFFICIENT,NO,NO,ALREADY_IN_CURRENT_TRACKER,NO,DUPLICATE_OR_ALREADY_COVERED,NO_ACTION_ALREADY_COVERED,Executed in A4R193-B
REAL-EVENT-USAIR-427-PIT-1994-REENTRY-001,USAir 427 reentry,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_D_SOURCE_ENRICHMENT_MATRIX.csv,PARTIALLY_VALID_NEEDS_RECONCILIATION,none,A4R193_D_matrix,MEDIUM,PRIOR_REAL_EVENT_CANDIDATE,PARTIAL,INSUFFICIENT,NO,NO,NOT_READY_DIRECTLY,YES,HOLD_TECHNICAL_DOMINANT,HOLD_TECHNICAL_BOUNDARY_REVIEW,Technical dominant hold remains
A4R193D-CAND-002,American 965 Cali,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_D_SOURCE_ENRICHMENT_MATRIX.csv,PARTIALLY_VALID_NEEDS_RECONCILIATION,none,A4R193_D_matrix,MEDIUM,PRIOR_REAL_EVENT_CANDIDATE,PARTIAL,PARTIAL,NO,NO,NOT_READY_DIRECTLY,YES,SOURCE_EXTRACTION_REQUIRED,KEEP_IN_SOURCE_ENRICHMENT_LANE,Needs stronger source framing
