forbiddenId,termOrPattern,whyDangerous,allowedReplacement,scope,scanRecommended
FORB-001,CERA,Confunde SERA com uma variante inexistente ou distinta; CERA nao e a metodologia utilizada neste projeto; cria ambiguidade metodologica grave,SERA,ALL_DOCUMENTS,true
FORB-002,SERA/CERA,Sugere equivalencia entre SERA e uma variante chamada CERA que nao existe neste projeto; nenhum documento deve tratar CERA como sinonimo ou alternativa,SERA (sem barra),ALL_DOCUMENTS,true
FORB-003,meta (para Goal sem contexto SERA),O termo 'meta' em PT e frequentemente associado a metas organizacionais/KPIs; se usado sem nota de contexto pode contaminar o sentido de Goal/Objetivo no SERA com conotacao estrategica,"Objetivo (eixo O); Goal (Hendy) com nota",PROSE_RATIONALE,true
FORB-004,intenção pós-evento,Descreve o que o tripulante queria ter feito retrospectivamente ou apos o evento; nao e a intenção causal no ponto de fuga; contamina P/O/A com raciocinio contrafactual,"Intenção no ponto de fuga; objetivo no momento do ponto de fuga",RATIONALE_FIELDS,true
FORB-005,objetivo organizacional,Descreve meta da empresa/operadora; nao e o objetivo do operador no ponto de fuga que o SERA analisa; contamina eixo O com nivel errado de analise,"Objetivo do operador/tripulação no ponto de fuga",RATIONALE_FIELDS,true
FORB-006,desfecho desejado,Descreve o resultado que o tripulante queria ter obtido; contamina o eixo O com raciocinio retrospectivo e nao com a intenção causal,"Objetivo (eixo O) — intenção que levou ao ato inseguro",RATIONALE_FIELDS,true
FORB-007,percepção como awareness genérico sem node,Usar 'percepção' ou 'awareness' sem referenciar o node canônico especifico (ex.: P_ASSESSMENT) dilui o rigor metodologico e torna o rationale nao verificavel,"Percepção — eixo P; referenciar sempre ao node canônico correspondente",RATIONALE_FIELDS,true
FORB-008,action como consequência posterior,Usar 'ação' ou 'action' para descrever o que o operador fez depois do ponto de fuga (recuperacao tentada; correcao tardia) contamina o eixo A com consequencia em vez de causa,"Ação no ponto de fuga; ação que levou ao ato inseguro",RATIONALE_FIELDS,true
FORB-009,resposta como recovery pós-escape point,Descreve o que a tripulacao tentou fazer apos a situacao estar estabelecida; nao e a acao causal no ponto de fuga,"Ação (eixo A) — como o operador tentou atingir o objetivo no ponto de fuga",RATIONALE_FIELDS,true
FORB-010,pergunta por eixo,Refere-se às perguntas case-specific criadas em A4R184 (P-1/P-2/O-1/A-1 etc.) que estao em quarentena permanente; usar qualquer 'pergunta por eixo' como base de decisao e violacao metodologica,"Pergunta canônica da árvore SERA (A4R99) — usar apenas exactQuestionTextPt/exactQuestionTextEn",ALL_AXIS_DECISIONS,true
