"caseId","group","severity","detail"
"HUMAN-THEBAUD","human","partial","escape point boundary not matched: visual approach"
"HUMAN-THEBAUD","human","partial","post-escape evidence not excluded: recovery"
"HUMAN-THEBAUD","human","partial","post-escape evidence not excluded: very low height above the water"
"HUMAN-THEBAUD","human","partial","uncertainties below floor: 0 < 1"
"GEN-EXECUFLIGHT-1526","generalization","partial","post-escape evidence not excluded: impact with terrain"
"GEN-THEBAUD","generalization","partial","missing authored precondition category=SENSORY_LIMITATION"
"GEN-FIRST-AIR-6560","generalization","partial","P code outside authored allowed set: null"
"GEN-AIR-CANADA-759","generalization","partial","A code outside authored allowed set: A-C"
"ADV-POST-ESCAPE-P","adversarial","partial","post-escape evidence not excluded: finally recognized the warning"
"ADV-ACTOR-MIGRATION","adversarial","partial","missing authored precondition category=ORGANIZATIONAL_CONTEXT"
"ADV-PRECONDITION-AS-ESCAPE","adversarial","partial","O code outside authored allowed set: null"
"ADV-PRECONDITION-AS-ESCAPE","adversarial","partial","missing authored precondition category=ORGANIZATIONAL_CONTEXT"
"ADV-VIOLATION-WITHOUT-AWARENESS","adversarial","partial","P code outside authored allowed set: null"
"ADV-VIOLATION-WITHOUT-AWARENESS","adversarial","partial","O code outside authored allowed set: null"
"ADV-VIOLATION-WITHOUT-AWARENESS","adversarial","partial","A code outside authored allowed set: null"
"ADV-TECHNICAL-DOMINANT","adversarial","partial","missing authored precondition category=TECHNICAL_CONTEXT"
"ADV-NO-FAILURE","adversarial","partial","O code outside authored allowed set: null"
"ADV-NO-FAILURE","adversarial","partial","A code outside authored allowed set: null"
"ADV-AA-AC","adversarial","partial","P code outside authored allowed set: null"
