requirement_id,requirement_name,real_event_basis,methodological_purpose,minimum_design_requirement,forbidden_shortcut,validation_method,future_materialization_allowed,notes
REQ-001,separate_PF_agentId,Thebaud|Peasmarsh|Vigo|Colgan_3407,stabilize_primary_actor_boundary,PF agentId explicit and immutable per anchor,crew_collective_only_actor,design_doc_and_trial_assertion,YES,human authorization required
REQ-002,separate_PM_agentId,Thebaud|Peasmarsh|Vigo|Colgan_3407,stabilize_monitoring_actor_boundary,PM agentId explicit and immutable per anchor,implicit_pm_from_context_only,design_doc_and_trial_assertion,YES,human authorization required
REQ-003,actor_specific_unsafeActOrOmission,Thebaud|Peasmarsh|Vigo|Colgan_3407,bind act_to_actor,unsafeActOrOmission mapped by actorId,single_generic_act_without_actor,design_doc_and_trial_assertion,YES,audit required
REQ-004,actor_specific_operationalMoment_sequenceRef,Thebaud|Peasmarsh|Vigo|Colgan_3407,bind moment_to_actor,operationalMoment.sequenceRef per actor,macro_sequence_without_actor_split,design_doc_and_trial_assertion,YES,audit required
REQ-005,explicit_pointTopology,Thebaud|Vigo|Colgan_3407,protect_escape_anchor,pointTopology explicit and pre-consequence,topology_inferred_after_consequence,design_doc_and_trial_assertion,YES,audit required
REQ-006,boundaryEvidenceRefs_marked_synthetic,Thebaud|Peasmarsh|Vigo|Colgan_3407,prevent_real_event_contamination,boundaryEvidenceRefs carry synthetic marker,reuse_real_event_evidence_as_if_real,design_doc_and_trial_assertion,YES,synthetic boundary only
REQ-007,no_crew_collective_fallback,Thebaud|Vigo|Colgan_3407,avoid_agent_migration,PF_and_PM required when boundary demands,crew_collective_as_default_fallback,design_doc_and_trial_assertion,YES,boundary gate
REQ-008,no_consequence_as_cause,Peasmarsh|Vigo|Colgan_3407,protect_causal_direction,primary_event_vs_consequence split explicit,post_event_outcome_as_primary_cause,design_doc_and_trial_assertion,YES,anti_overclassification control
REQ-009,no_invented_SERA_question,All_GAP001_basis,preserve_canonical_method,no_new_question_wording_created,ad_hoc_question_per_axis,design_doc_and_trial_assertion,YES,canonical tree rule
REQ-010,no_fixture_baseline_downstream,All_GAP001_basis,preserve_candidate_only_scope,no_fixture_no_baseline_no_downstream,fixture_or_baseline_promotion,design_doc_and_trial_assertion,YES,blocked in this phase
REQ-011,audit_required_before_materialization,All_GAP001_basis,governance_control,independent_audit_before_any_materialization,materialize_without_audit,design_doc_and_trial_assertion,YES,mandatory gate
REQ-012,human_authorization_required,All_GAP001_basis,human_control_gate,explicit_human_authorization_recorded,implicit_or_assumed_authorization,design_doc_and_trial_assertion,YES,mandatory gate
