"candidateId","officialReportTitle","agency","year","aircraft","operationType","officialUrl","whyUsefulForSERA","factualDataAvailable","likelyHumanFactorAxis","sourceConfidence","notes"
"1","Loss of Control on Approach, Colgan Air, Inc., Continental Connection Flight 3407 (NTSB/AAR‑10/01)ntsb+1","NTSB (EUA)ntsb+1","2010data.ntsb","Bombardier DHC‑8‑402 (Q400)ntsb+1","Part 121, voo de passageiro regular regionalntsb+1","https://www.ntsb.gov/investigations/accidentreports/reports/aar1001.pdfntsb","Caso clássico de perda de controle em aproximação com forte componente de monitoramento deficiente, fadiga, gestão de cabine e violações de técnica operacional; excelente para dissociar fatos (timeline, parâmetros) de interpretações no capítulo de análise.ntsb+1","CVR completo com transcrição, FDR detalhado, dados de FOQA e cronologia minuto a minuto da aproximação, incluindo callouts, avisos de stall, configurações e comunicações ATC.ntsb+1","Muito rico para estudar consciência situacional e monitoramento de velocidade, intenção de continuar aproximação em ambiente degradado, e ações de comando/resposta a stick shaker e cues de baixa velocidade.ntsb+1","HIGH","Estrutura típica de AAR NTSB com seções claramente separadas de factual, análise, conclusões e recomendações – facilita isolar “fato bruto” de juízos de causa provável.mayer-bohrungen+1"
"2","Descent Below Visual Glidepath and Impact With Seawall, Asiana Airlines Flight 214 (NTSB/AAR‑14/01)ntsb+1","NTSB (EUA)ntsb+1","2014ntsb","Boeing 777‑200ERntsb+1","Operação internacional de passageiros, Part 121ntsb","https://www.ntsb.gov/investigations/accidentreports/reports/aar1401.pdfntsb","Caso paradigmático de automação/gestão de modos, falhas de monitoramento de energia, briefing incompleto e CRM; ideal para SERA em contexto de aproximação visual com automação avançada.data.ntsb+1","Extensa leitura de CVR com diálogos sobre uso de autothrottle e flight director, FDR com parâmetros de energia/perfil, reconstrução 3D da trajetória e timeline detalhada segundos a segundo.ntsb+1","Permite separar claramente: percepção equivocada do estado de automação, intenção de manter aproximação estável apesar de energia baixa, e ações comandos/manetes/guidance seguidos/ignorados.ntsb+1","HIGH","Inclui forte discussão de fatores humanos, treinamento em automação e desenho de alertas, mas os capítulos factuais são bem isolados para extração de dados “neutros”.ntsb+1"
"3","Crash During a Nighttime Nonprecision Instrument Approach to Landing; UPS Flight 1354 (NTSB/AAR‑14/02)ntsb+1","NTSB (EUA)ntsb+1","2014data.ntsb","Airbus A300‑600 cargueirontsb+1","Part 121 carga, não regularntsb+1","https://www.ntsb.gov/investigations/accidentreports/reports/aar1402.pdfntsb","Excelente caso de CFIT em aproximação não‑de precisão com fadiga, violação de critérios de aproximação estabilizada e falhas de monitoramento de altitude.ntsb+1","CVR com conversas sobre fadiga e carga de trabalho, FDR com perfil vertical detalhado, reconstrução temporal de callouts, altitudes mínimas, avisos GPWS e comunicações ATC.ntsb+1","Forte potencial para estudar percepção/monitoramento de altitude, intenção de continuar aproximação instável apesar de cues claros, e sequência de ações/omissões em configuração e correções de trajetória.ntsb+1","HIGH","A análise discute explicitamente fadiga, políticas de repouso de pilotos cargueiros e cultura operacional, mas há seção factual robusta para extração de timeline “pura”.ntsb+1"
"4","Runway Overrun During Landing, American Airlines Flight 1420, Little Rock, Arkansas (NTSB/AAR‑01/02)rosap.ntl.bts+1","NTSB (EUA)rosap.ntl.bts+1","2001rosap.ntl.bts","McDonnell Douglas MD‑82rosap.ntl.bts+1","Part 121, voo regular de passageirosrosap.ntl.bts+1","https://www.ntsb.gov/investigations/accidentreports/reports/aar0102.pdfntsb+1","Caso clássico de decisão de pousar em tempestade com fadiga, pressão operacional e múltiplas violações de SOP (spoilers, reversores, limites de vento); muito útil para análise de objetivo/intenção vs limites operacionais.rosap.ntl.bts+1","CVR e FDR completos, timeline detalhado da aproximação e pouso, dados de meteorologia, comunicação ATC e cálculos de distância de parada.rosap.ntl.bts+1","Permite explorar consciência situacional frente a risco meteorológico, intenção de completar o voo apesar dos limites, e execução de ações de pouso (spoilers, reverso, frenagem) sob alta carga de trabalho.rosap.ntl.bts+1","HIGH","Relatório discute explicitamente desempenho da tripulação, fadiga e tomada de decisão em mau tempo – ótimo para separar heurísticas/violações de procedimentos de dados brutos de voo.rosap.ntl.bts+1"
"5","Controlled Flight Into Terrain, Korean Air Flight 801, Nimitz Hill, Guam (NTSB/AAR‑00/01)wikisource+1","NTSB (EUA)wikisource+1","2000wikisource","Boeing 747‑300wikisource","Serviço internacional de passageiros, Part 129wikisource","https://www.ntsb.gov/investigations/accidentreports/reports/aar0001.pdfntsb+1","CFIT em aproximação não‑de precisão com briefing inadequado, monitoramento deficiente e fadiga – riquíssimo para análise de CRM, SA de aproximação e uso de MSAW.wikisource+1","CVR, FDR e gravações ATC, mais reconstrução detalhada da trajetória, configurações e chamadas de altitude; inclui transcrição extensa para análise de comunicação interna.wikisource+1","Bom para explorar percepção da posição vertical e lateral em aproximação, intenção de prosseguir apesar de incerteza, e ações (ou ausência delas) frente a mínimos, SOP e avisos de terreno.wikisource+1","HIGH","Um dos casos‑referência mundiais em fatores humanos de aproximações não‑precisionais; relatório NTSB bem estruturado com separação clara entre fatos e análise.wikisource+1"
"6","Attempted Takeoff From Wrong Runway, Comair Flight 5191, Lexington, Kentucky (NTSB/AAR‑07/05)kathrynsreport+1","NTSB (EUA)kathrynsreport+1","2007kathrynsreport","Bombardier CL‑600‑2B19 (CRJ‑100)kathrynsreport","Part 121, voo regional de passageiroskathrynsreport","https://www.ntsb.gov/investigations/accidentreports/reports/aar0705.pdfntsb+1","Excelente para percepção espacial/SA em solo: taxi incorreto, uso inadequado de pistas e perda de consciência posicional, com forte componente de comunicação não pertinente em táxi.kathrynsreport","CVR detalhado de toda a operação em solo, dados FDR de aceleração/takeoff roll na pista errada, registros ATC e layout do aeródromo; boa base para análise de cues disponíveis vs utilizados.kathrynsreport+1","Muito útil para estudar monitoramento/consciência situacional em taxi, intenção de cumprir horário/partida versus verificação cruzada de pista, e ações (checks, callouts, cross‑checks ausentes).kathrynsreport","HIGH","Relatório detalha falhas de CRM, marcação de pista e políticas de ATC, mantendo uma seção factual rica que permite reconstruções independentes da sequência de eventos.kathrynsreport+1"
"7","Final Report – Accident on 1st June 2009 to the Airbus A330‑203, Air France Flight AF447, Rio de Janeiro–Parisbea+1","BEA (França)bea+1","2012bea+1","Airbus A330‑203bea+1","Voo internacional regular de passageirosaviation-safety+1","https://bea.aero/fileadmin/uploads/tx_elyextendttnews/presentation.rapport.final.05juillet2012.en_04.pdfbea+1","Caso icônico de perda de controle em cruzeiro noturno, com pane de indicação de velocidade, automação em alternate law, forte componente de SA, task‑sharing e resposta a stall em alta altitude.bea+1","CVR e FDR recuperados com grande atraso, mas fornecendo cronologia muito detalhada de parâmetros de voo, comandos sidestick, avisos de stall, comunicações e alarmes; relatório traz timeline minucioso.bea+1","Altamente adequado para analisar percepção de falhas de indicação e envelope de voo, intenção da tripulação ao interpretar alarmes, e cadeia de ações de comando/trim/configuração até a saída do envelope.bea+1","HIGH","BEA separa claramente partes “Factual information”, “Analysis” e “Conclusions”, permitindo usar apenas a sequência observável sem herdar interpretações.bea+1"
"8","Air Transportation Safety Investigation A15H0002 – Ground Contact Prior to Runway Threshold, Air Canada Flight 624, Halifaxtsb.gc+1","TSB (Canadá)tsb.gc+1","2017 (relatório publicado)tsb.gc+1","Airbus A320‑211tsb.gc+1","Voo regular de passageiros (AC624 Toronto–Halifax)tsb.gc+1","https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2015/a15h0002/a15h0002.htmltsb.gc+1","Aproximação LOC não‑precision em nevasca com contato prematuro com o terreno, forte foco em procedimentos de aproximação estabilizada, monitoramento de altitude/distância e interação com iluminação de pista.newswire+1","TSB fornece FDR, CVR e cronologia detalhada da aproximação, incluindo perfis verticais, ajustes de caminho de descida, comunicação com torre e estado de iluminação; há timeline consolidando eventos.tsb.gc+1","Adequado para estudar SA vertical, intenção de continuar abaixo de MDA com cues visuais parciais, e ações/omissões relativas a ajustes de FPA, desconexão de AP e chamadas de aproximação estabilizada.tsb.gc+1","HIGH","Relatório destaca tanto erros de tripulação como fatores de contexto (procedimentos da empresa, configuração de luzes, workload de controle), mas mantém boa separação entre fatos e conclusões.tsb.gc+1"
"9","Air Transportation Safety Investigation A11H0002 – First Air Flight 6560, Resolute Bay, Nunavuttsb.gc+1","TSB (Canadá)tsb.gc+1","2014 (relatório)bst.gc+1","Boeing 737‑210C combitsb.gc+1","Charter IFR sob regulamento equivalente a 705, transporte de passageiros/carga ao Nortetsb.gc+1","https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2011/a11h0002/a11h0002.htmltsb.gc+1","Aproximação localizer em ambiente Ártico com aproximação instável continuada até impacto, forte enfoque em CRM, comunicação e entendimento divergente da situação entre PF e PM.tsb.gc+2","FDR e CVR com registro completo da aproximação, incluindo desvios de localizer/glideslope, chamadas de desvio, e animação de sequência de eventos fornecida pelo TSB.tsb.gc+2","Muito útil para analisar monitoramento/SA lateral, intenção de “salvar” uma aproximação já instável, e ações/comandos (ou sua ausência) frente a cues de estar off‑course e avisos de GPWS/CRM.bst.gc+1","HIGH","Há backgrounders específicos sobre CRM e aproximações estabilizadas associados a este caso, o que o torna excelente para estudo sistemático de fatores humanos.tsb.gc+1"
"10","Runway Overrun and Fire, Air France Airbus A340‑313 F‑GLZQ, Toronto/Lester B. Pearson, 02 August 2005 (TSB A05H0002)canada+1","TSB (Canadá)canada+1","2007 (relatório)tsb.gc+1","Airbus A340‑313canada+1","Voo internacional de passageiros AF358 Paris–Torontoproquest+1","http://www.tsb.gc.ca/eng/rapports-reports/aviation/2005/a05h0002/a05h0002.aspcanada+1","Overrun em tempestade com decisão de pousar em convectiva forte, touchdown longo e uso tardio de reverso; ótimo para intenção/objetivo de completar pouso vs margens de distância de parada.tsb.gc+1","FDR e CVR completos, dados meteorológicos detalhados, cronologia da aproximação e do pouso, com cálculo de distâncias necessárias vs disponíveis e registro de callouts e avisos.canada+1","Permite estudar SA meteorológica e de pista, intenção de pousar mesmo com reports de braking poor, e ações de flare, touchdown, reversos e frenagem sob condições extremas.tsb.gc+1","HIGH","Relatório gerou recomendações amplas sobre decisão em mau tempo, briefing de passageiros e RESA, mas o material factual é bem estruturado para análise independente.canada+1"
"11","Air Transportation Safety Investigation Report A98H0003 – Swissair Flight 111, near Peggy’s Cove, Nova Scotiatsb.gc+1","TSB (Canadá)tsb.gc+1","2003 (relatório final)tsb.gc+1","McDonnell Douglas MD‑11tsb.gc+1","Voo internacional de passageiros (Nova York–Genebra)tsb.gc+1","https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a98h0003/eng/a98h0003.pdftsb.gc","Complexo caso de incêndio em voo com longa fase de gerenciamento de emergência, reconfigurações e decisões de desvio, excelente para analisar SA em falhas progressivas e gestão de prioridades da tripulação.tsb.gc+1","FDR/CVR de alta resolução, timeline de eventos elétricos e de fumaça, procedimentos de emergência executados, comunicações ATC e entre pilotos, além de cronologia abreviada fornecida pelo TSB.bst.gc+1","Adequado para estudar percepção e monitoramento de falhas em cascata, intenção de continuar checklist vs priorizar pouso imediato, e ações/execução de procedimentos de emergência complexos.tsb.gc+1","HIGH","Embora tenha forte componente técnico de sistemas e materiais, a parte humana (decisões sob incerteza e tempo limitado) é bem documentada e separada da análise causal.tsb.gc+1"
"12","Air Transportation Safety Investigation A13H0001 – Ornge Sikorsky S‑76A, Moosonee, Ontariocanada+1","TSB (Canadá)canada+1","2016 (relatório)tsb.gc+1","Sikorsky S‑76Atsb.gc+1","Voo HEMS (ambulância aérea) noturno VFR com 2 pilotos e 2 paramédicoscanada+1","https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2013/a13h0001/a13h0001.htmltsb.gc","Helicóptero com perda de controle logo após decolagem noturna, com forte foco em prontidão operacional, treinamento, procedimentos NVFR e SA em ambiente escuro; muito interessante para SERA em rotorcraft.canada+1","Dados de FDR e CVR (incluindo checklists pós‑decolagem), reconstrução da trajetória no curto intervalo até o impacto, e análise detalhada de treino, supervisão e procedimentos.tsb.gc+1","Bom para avaliar percepção de atitude e trajetória em ausência de referências visuais, intenção de cumprir perfil padrão de saída vs adaptação ao contexto, e ações de pilotagem/checagem sob alta carga.canada+1","HIGH","Relatório enfatiza deficiências organizacionais e regulatórias, mas descreve de forma minuciosa os 23 segundos de voo para uso em análise micro de decisão/ação.canada+1"
"13","Aircraft Accident Report 4/1990 – Boeing 737‑400 G‑OBME, near Kegworth, Leicestershire, 8 January 1989web.archive+1","AAIB (Reino Unido)web.archive+1","1990web.archive+1","Boeing 737‑400web.archive+1","Transporte público de passageiros, voo Heathrow–Belfastrvs.uni-bielefeld+1","https://web.archive.org/web/20120601192813/http://www.aaib.gov.uk/publications/formal_reports/4_1990_g_obme.cfmweb.archive+1","Caso de referência em erro de diagnóstico de pane (motor errado foi cortado), com envolvimento de psicologia da aviação e análise profunda de fatores humanos, inclusive percepção de vibrações/cues.rvs.uni-bielefeld+1","Gravadores de voo (FDR/CVR), análises de desempenho dos motores, timeline detalhada de eventos desde a pane em subida até a tentativa de pouso de emergência; inclui apêndices extensos.rvs.uni-bielefeld+1","Excelente para estudar percepção de sinais ambíguos, intenção de mitigar falha percebida com base em modelos mentais incorretos, e ações de configuração/controle frente a informação parcial.rvs.uni-bielefeld+1","HIGH","AAIB cooptou especialista em psicologia de aviação especificamente para este caso, o que reforça sua utilidade para uma metodologia focada em fatores humanos como SERA.rvs.uni-bielefeld+1"
