matrixId,axis,currentNodeId,authorDecisionThatMayTriggerExtension,branchResult,allowedNextNodeIdFromA4R99,extensionRequiredWhen,extensionForbiddenWhen,inA4R187,notes
TEXT-O-001,O,O_ROOT,START,CONTINUES,O_RULES,O_ROOT registrado em A4R187 — sempre continua para O_RULES,O_ROOT nao pode resultar em leaf; qualquer extensao que nao seja O_RULES e proibida,SIM,O_ROOT e node de entrada do eixo O; nao tem decisao propria; a traversal sempre continua para O_RULES
TEXT-O-002,O,O_RULES,SIM,CONTINUES,O_MANAGED_RISK,authorDecision=SIM em O_RULES exige extensao para O_MANAGED_RISK se nao existir linha de O_MANAGED_RISK na A4R187,nodeId diferente de O_MANAGED_RISK; usar fonte nao canonica,SIM,O_RULES:SIM indica objetivo consistente com regras — precisa verificar se era gerenciamento conservador (O_MANAGED_RISK)
TEXT-O-003,O,O_RULES,NÃO,CONTINUES,O_ROUTINE,authorDecision=NAO em O_RULES exige extensao para O_ROUTINE se nao existir linha de O_ROUTINE na A4R187,nodeId diferente de O_ROUTINE; usar fonte nao canonica,SIM,O_RULES:NAO indica objetivo nao consistente com regras — precisa verificar se e violacao de rotina (O_ROUTINE)
TEXT-O-004,O,O_MANAGED_RISK,SIM,LEAF,N/A — LEAF:O-A,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,O_MANAGED_RISK:SIM resulta em leaf code O-A; nao requer extensao
TEXT-O-005,O,O_MANAGED_RISK,NÃO,LEAF,N/A — LEAF:O-D,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,O_MANAGED_RISK:NAO resulta em leaf code O-D; nao requer extensao
TEXT-O-006,O,O_ROUTINE,SIM,LEAF,N/A — LEAF:O-B,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,O_ROUTINE:SIM resulta em leaf code O-B; nao requer extensao
TEXT-O-007,O,O_ROUTINE,NÃO,LEAF,N/A — LEAF:O-C,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,O_ROUTINE:NAO resulta em leaf code O-C; nao requer extensao
TEXT-P-001,P,P_ROOT,START,CONTINUES,P_ASSESSMENT,P_ROOT registrado em A4R187 — sempre continua para P_ASSESSMENT,P_ROOT nao pode resultar em leaf; qualquer extensao que nao seja P_ASSESSMENT e proibida,SIM,P_ROOT e node de entrada do eixo P; nao tem decisao propria; a traversal sempre continua para P_ASSESSMENT
TEXT-P-002,P,P_ASSESSMENT,SIM,LEAF,N/A — LEAF:P-A,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,SIM,P_ASSESSMENT:SIM indica avaliacao correta — leaf P-A; nenhuma falha perceptiva ativa
TEXT-P-003,P,P_ASSESSMENT,NÃO,CONTINUES,P_CAPABILITY,authorDecision=NAO em P_ASSESSMENT exige extensao para P_CAPABILITY se nao existir linha de P_CAPABILITY na A4R187,nodeId diferente de P_CAPABILITY; usar fonte nao canonica,SIM,P_ASSESSMENT:NAO indica avaliacao inadequada — precisa verificar se operador tinha capacidade (P_CAPABILITY)
TEXT-P-004,P,P_CAPABILITY,NÃO_SENSORIAL,LEAF,N/A — LEAF:P-B,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,SIM,P_CAPABILITY:NAO_SENSORIAL indica limitacao sensorial — leaf P-B
TEXT-P-005,P,P_CAPABILITY,NÃO_CONHECIMENTO,LEAF,N/A — LEAF:P-C,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,SIM,P_CAPABILITY:NAO_CONHECIMENTO indica limitacao de conhecimento — leaf P-C
TEXT-P-006,P,P_CAPABILITY,SIM,CONTINUES,P_TIME_PRESSURE,authorDecision=SIM em P_CAPABILITY exige extensao para P_TIME_PRESSURE — P_TIME_PRESSURE NAO esta na A4R187,nodeId diferente de P_TIME_PRESSURE; usar fonte nao canonica,SIM,"P_CAPABILITY:SIM indica que operador tinha capacidade sensorial e de conhecimento; causa da falha perceptiva deve ser investigada em pressao de tempo, ambiguidade ou ausencia de informacao"
TEXT-P-007,P,P_TIME_PRESSURE,SIM_ATENCAO,LEAF,N/A — LEAF:P-D,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,P_TIME_PRESSURE:SIM_ATENCAO indica pressao excessiva com falha de atencao — leaf P-D
TEXT-P-008,P,P_TIME_PRESSURE,SIM_GERENCIAMENTO,LEAF,N/A — LEAF:P-E,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,P_TIME_PRESSURE:SIM_GERENCIAMENTO indica pressao excessiva com falha de gerenciamento — leaf P-E
TEXT-P-009,P,P_TIME_PRESSURE,NÃO,CONTINUES,P_INFORMATION_AMBIGUOUS,authorDecision=NAO em P_TIME_PRESSURE exige extensao para P_INFORMATION_AMBIGUOUS,nodeId diferente de P_INFORMATION_AMBIGUOUS; usar fonte nao canonica,NAO,P_TIME_PRESSURE:NAO indica pressao de tempo nao era o fator — a causa esta em informacao ambigua ou ausente
TEXT-P-010,P,P_INFORMATION_AMBIGUOUS,SIM,LEAF,N/A — LEAF:P-F,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,P_INFORMATION_AMBIGUOUS:SIM indica informacao ilusoria ou ambigua — leaf P-F
TEXT-P-011,P,P_INFORMATION_AMBIGUOUS,NÃO,CONTINUES,P_INFORMATION_AVAILABLE,authorDecision=NAO em P_INFORMATION_AMBIGUOUS exige extensao para P_INFORMATION_AVAILABLE,nodeId diferente de P_INFORMATION_AVAILABLE; usar fonte nao canonica,NAO,P_INFORMATION_AMBIGUOUS:NAO indica informacao nao era ambigua — verificar se estava disponivel e correta
TEXT-P-012,P,P_INFORMATION_AVAILABLE,SIM,LEAF,N/A — LEAF:P-G,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,P_INFORMATION_AVAILABLE:SIM indica informacao estava disponivel e correta — leaf P-G
TEXT-P-013,P,P_INFORMATION_AVAILABLE,NÃO,LEAF,N/A — LEAF:P-H,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,P_INFORMATION_AVAILABLE:NAO indica informacao nao estava disponivel ou estava incorreta — leaf P-H
TEXT-A-001,A,A_ROOT,START,CONTINUES,A_IMPLEMENTED,A_ROOT registrado em A4R187 — sempre continua para A_IMPLEMENTED,A_ROOT nao pode resultar em leaf; qualquer extensao que nao seja A_IMPLEMENTED e proibida,SIM,A_ROOT e node de entrada do eixo A; nao tem decisao propria; a traversal sempre continua para A_IMPLEMENTED
TEXT-A-002,A,A_IMPLEMENTED,NÃO_DESLIZE_LAPSO_ERRO,LEAF,N/A — LEAF:A-C,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,SIM,A_IMPLEMENTED:NAO_DESLIZE_LAPSO_ERRO indica acao nao implementada por deslize/lapso/erro de execucao — leaf A-C
TEXT-A-003,A,A_IMPLEMENTED,NÃO_FEEDBACK,LEAF,N/A — LEAF:A-B,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,SIM,A_IMPLEMENTED:NAO_FEEDBACK indica acao nao implementada por falta de feedback — leaf A-B
TEXT-A-004,A,A_IMPLEMENTED,SIM,CONTINUES,A_CORRECT,authorDecision=SIM em A_IMPLEMENTED exige extensao para A_CORRECT — A_CORRECT NAO esta na A4R187,nodeId diferente de A_CORRECT; usar fonte nao canonica,SIM,A_IMPLEMENTED:SIM indica acao foi implementada como pretendida; causa da falha de acao deve ser investigada em corretude (A_CORRECT)
TEXT-A-005,A,A_CORRECT,SIM,LEAF,N/A — LEAF:A-A,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_CORRECT:SIM indica acao foi correta — leaf A-A (acao adequada; classificacao pode recair em P ou O)
TEXT-A-006,A,A_CORRECT,NÃO,CONTINUES,A_CAPABILITY,authorDecision=NAO em A_CORRECT exige extensao para A_CAPABILITY,nodeId diferente de A_CAPABILITY; usar fonte nao canonica,NAO,A_CORRECT:NAO indica acao nao era adequada — verificar se operador tinha capacidade (A_CAPABILITY)
TEXT-A-007,A,A_CAPABILITY,NÃO_INABILIDADE,LEAF,N/A — LEAF:A-D,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_CAPABILITY:NAO_INABILIDADE indica falta de habilidade fisica/psicomotora — leaf A-D
TEXT-A-008,A,A_CAPABILITY,NÃO_CONHECIMENTO,LEAF,N/A — LEAF:A-E,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_CAPABILITY:NAO_CONHECIMENTO indica falta de conhecimento/treinamento para acao correta — leaf A-E
TEXT-A-009,A,A_CAPABILITY,SIM,CONTINUES,A_TIME_PRESSURE,authorDecision=SIM em A_CAPABILITY exige extensao para A_TIME_PRESSURE,nodeId diferente de A_TIME_PRESSURE; usar fonte nao canonica,NAO,A_CAPABILITY:SIM indica que operador tinha capacidade — causa da acao incorreta deve ser investigada em pressao de tempo (A_TIME_PRESSURE)
TEXT-A-010,A,A_TIME_PRESSURE,NÃO_SELECAO,LEAF,N/A — LEAF:A-F,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_TIME_PRESSURE:NAO_SELECAO indica pressao de tempo nao excessiva com falha de selecao de acao — leaf A-F
TEXT-A-011,A,A_TIME_PRESSURE,NÃO_FEEDBACK,LEAF,N/A — LEAF:A-G,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_TIME_PRESSURE:NAO_FEEDBACK indica pressao de tempo nao excessiva com falta de feedback sobre eficacia da acao — leaf A-G
TEXT-A-012,A,A_TIME_PRESSURE,SIM_GERENCIAMENTO,LEAF,N/A — LEAF:A-H,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_TIME_PRESSURE:SIM_GERENCIAMENTO indica pressao excessiva com acao de gerenciamento inadequada — leaf A-H
TEXT-A-013,A,A_TIME_PRESSURE,SIM_SELECAO,LEAF,N/A — LEAF:A-I,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_TIME_PRESSURE:SIM_SELECAO indica pressao excessiva com selecao incorreta de acao — leaf A-I
TEXT-A-014,A,A_TIME_PRESSURE,SIM_FEEDBACK,LEAF,N/A — LEAF:A-J,N/A — decisao encerra eixo,Nunca criar extensao apos LEAF,NAO,A_TIME_PRESSURE:SIM_FEEDBACK indica pressao excessiva com acao correta mas feedback inadequado — leaf A-J
