artifactPath,artifactType,quarantineStatus,preservedUse,blockedUse,reason,nextRequiredAction
docs/sera-vnext/author-review-pack-a4r184/SERA_AUTHOR_REVIEW_PACK_A4R184_v0.2.0.md,review-pack-main,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Organização documental dos 5 eventos; narrativa factual; UNKNOWN preservado; pontos de fuga A4R182","Decisão de eixo P/O/A; uso das secoes Perguntas por eixo como base de travessia SERA","Perguntas por eixo (seções 5.6/6.6/7.6/8.6/9.6) são case-specific sem vínculo a node IDs canônicos da árvore SERA A4R99","REAL_TREE_GATE=PASS antes de qualquer decisão de eixo; aplicar árvore canônica A4R99 em A4R185"
docs/sera-vnext/author-review-pack-a4r184/SERA_AUTHOR_REVIEW_MATRIX_A4R184_v0.2.0.csv,review-matrix,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"currentHypP/O/A=UNKNOWN preservados; actorModel=CREW_INTEGRATED_ACTOR_MODEL; notFinalClassification=true; poaClosureAllowed=false","Decisão de eixo P/O/A; uso do estado UNKNOWN para derivar candidato HYP_*; criação de código selecionado ou código liberado","Matriz não registra travessia de nodes canônicos da árvore SERA; UNKNOWN não pode avançar sem travessia real","REAL_TREE_GATE=PASS antes de converter UNKNOWN; reconstruir com node IDs A4R99"
docs/sera-vnext/author-review-pack-a4r184/SERA_AUTHOR_REVIEW_AXIS_OPTIONS_A4R184_v0.2.0.csv,axis-options,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"candidateOption=UNKNOWN preservado; candidateOptionStatus=CONSERVATIVE_UNKNOWN_RECOMMENDED como estado seguro","Responder candidateOption como decisão de eixo; usar axis options como substituto de questionPath canônico","Axis options não derivam de travessia canônica de nodes da árvore SERA A4R99; ausência de referência a nodeId","REAL_TREE_GATE=PASS antes de propor candidateOption diferente de UNKNOWN; aplicar questionPath canônico"
docs/sera-vnext/author-review-pack-a4r184/SERA_AUTHOR_REVIEW_RISK_REGISTER_A4R184_v0.2.0.md,risk-register,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Riscos metodológicos documentados são válidos como orientação de risco para fases futuras; leitura informacional preservada","Uso como substituto de questionPath canônico; interpretação de riscos como autorização de decisão de eixo P/O/A","Registro documenta riscos mas não substitui a necessidade de travessia da árvore canônica SERA","REAL_TREE_GATE=PASS antes de decisão de eixo; risk register é insumo de orientação apenas"
docs/sera-vnext/author-review-pack-a4r184/SERA_A4R185_AUTHOR_DECISION_INTAKE_PLAN_v0.2.0.md,intake-plan,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Estrutura de intake preservada como referência futura; vocabulário padronizado é útil como base","Executar intake de A4R185 respondendo perguntas de A4R184; usar plano como autorização de decisão de eixo","Plano referencia perguntas de A4R184 que não são derivadas de nodes canônicos da árvore SERA","REAL_TREE_GATE=PASS antes de executar A4R185; reconstruir intake plan referenciando nodes canônicos A4R99"
docs/sera-vnext/author-review-pack-a4r184/SERA_AUTHOR_REVIEW_LOG_A4R184_v0.2.0.md,phase-log,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Log de fase preservado como registro histórico; validações de formato e UNKNOWN registradas são válidas","Interpretar PASS nas validações de formato como autorização de decisão de eixo; usar log como prova metodológica","Log registra validações de coerência de formato, não travessia canônica da árvore SERA","REAL_TREE_GATE=PASS antes de qualquer decisão; log é registro de auditoria apenas"
docs/sera-vnext/author-review-pack-a4r184/review-packets/A4R184-REVIEW-0001-ASIANA-214.md,review-packet,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Narrativa factual e evidências de A4R180/A4R180B preservadas; UNKNOWN nos 3 eixos preservado; pontos de fuga A4R182 válidos","Responder perguntas P-1/P-2/O-1/A-1 como decisão de eixo; converter UNKNOWN para HYP_P/O/A-*","Perguntas por eixo (seção 7) são case-specific sem vínculo a node IDs canônicos da árvore SERA A4R99","REAL_TREE_GATE=PASS antes de qualquer decisão; mapear fluxo real da árvore canônica para Asiana 214"
docs/sera-vnext/author-review-pack-a4r184/review-packets/A4R184-REVIEW-0002-COMAIR-5191.md,review-packet,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Narrativa factual e evidências preservadas; UNKNOWN nos 3 eixos preservado; pontos de fuga A4R182 válidos","Responder perguntas P-1/O-1/A-1 como decisão de eixo; converter UNKNOWN para HYP_P/O/A-*","Perguntas por eixo (seção 7) são case-specific sem vínculo a node IDs canônicos da árvore SERA A4R99","REAL_TREE_GATE=PASS antes de qualquer decisão; mapear fluxo real da árvore canônica para Comair 5191"
docs/sera-vnext/author-review-pack-a4r184/review-packets/A4R184-REVIEW-0003-AMERICAN-1420.md,review-packet,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Narrativa factual e evidências preservadas; UNKNOWN nos 3 eixos preservado; pontos de fuga A4R182 válidos","Responder perguntas P-1/O-1/A-1 como decisão de eixo; converter UNKNOWN para HYP_P/O/A-*","Perguntas por eixo (seção 7) são case-specific sem vínculo a node IDs canônicos da árvore SERA A4R99","REAL_TREE_GATE=PASS antes de qualquer decisão; mapear fluxo real da árvore canônica para American 1420"
docs/sera-vnext/author-review-pack-a4r184/review-packets/A4R184-REVIEW-0006-UPS-1354.md,review-packet,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Narrativa factual e evidências preservadas; UNKNOWN nos 3 eixos preservado; pontos de fuga A4R182 válidos; análise de boundary P/A como contexto","Responder perguntas P-1/P-2/P-3/O-1/A-1 como decisão de eixo; converter UNKNOWN para HYP_P/O/A-*","Perguntas por eixo (seção 7) são case-specific sem vínculo a node IDs canônicos da árvore SERA A4R99","REAL_TREE_GATE=PASS antes de qualquer decisão; mapear fluxo real da árvore canônica para UPS 1354"
docs/sera-vnext/author-review-pack-a4r184/review-packets/A4R184-REVIEW-0017-UNITED-173.md,review-packet,INVALID_FOR_AXIS_DECISION_UNTIL_REAL_SERA_TREE_APPLIED,"Narrativa factual e evidências preservadas; UNKNOWN nos 3 eixos preservado; pontos de fuga A4R182 válidos; recomendação de verificação TXT é válida","Responder perguntas V-1/P-1/O-1/A-1 como decisão de eixo; converter UNKNOWN para HYP_P/O/A-*","Perguntas por eixo (seção 7) são case-specific sem vínculo a node IDs canônicos da árvore SERA A4R99","REAL_TREE_GATE=PASS antes de qualquer decisão; mapear fluxo real da árvore canônica para United 173"
