task_type,recommended_model,acceptable_lower_cost_model,do_not_use,reason,notes
docs_only_inventory,codex_gpt_5_3_high,codex_gpt_5_3_medium,sonnet,operational_doc_work_with_repo_context,suitable_for_phase_logs_and_trackers
source_recovery_documentation,codex_gpt_5_3_high,codex_gpt_5_3_medium,sonnet,structured_extraction_and_traceability_work,prefer_real_first_documentation_path
governance_board,gpt_5_5_thinking,codex_gpt_5_3_high,sonnet,complex_cross_phase_decision_synthesis,methodology_decision_quality_priority
controlled_materialization_draft,gpt_5_5_thinking,codex_gpt_5_3_high,sonnet,boundary_sensitive_synthetic_scope_requires_strong_reasoning,opus_optional_for_independent_countercheck
independent_methodological_audit,opus,gpt_5_5_thinking,sonnet,deep_independent_challenge_and_risk_review,use_when_formal_independent_audit_needed
runtime_implementation,codex_gpt_5_3_high,codex_gpt_5_3_medium,sonnet,code_change_and_validation_work,not_in_a4r195_b_scope
product_ui_api,codex_gpt_5_3_high,codex_gpt_5_3_medium,sonnet,implementation_and_tests_on_product_paths,blocked_in_a4r195_b
fixture_baseline_promotion,gpt_5_5_thinking,codex_gpt_5_3_high,sonnet,high_governance_risk_requires_explicit_decision,promotion_not_allowed_in_a4r195_b
high_risk_non_applicable_task,not_applicable,not_applicable,sonnet,out_of_scope_for_this_repository_phase,medical_legal_external_domain_not_applicable_here
quick_commit_zip,codex_gpt_5_3_high,codex_gpt_5_3_medium,sonnet,deterministic_git_packaging_steps,use_explicit_staging_and_scope_gates
