event_id,event_name,risk_type,risk_level,why_it_matters,mitigation,blocks_author_review,status
C-020,Comair Flight 5191,outcome_bias,LOW,"The severe overrun outcome could pull attention downstream, but the runway-entry candidate point is well anchored before acceleration.","Keep review anchored at wrong-runway entry and position-verification moment.",NO,MANAGED
C-020,Comair Flight 5191,agent_migration,MEDIUM,"ATC and airport-construction context can displace cockpit verification duties if left uncontrolled.","Explicitly retain captain taxi lane and first officer monitoring lane as primary actor frame.",NO,MANAGED
C-020,Comair Flight 5191,source-limitation,LOW-MEDIUM,"First officer recall is unavailable, so the final missed-cue sequence is partly reconstructed.","State the reconstruction limit and avoid overclaiming the exact last missed cue.",NO,MANAGED
C-002,Asiana Airlines Flight 214,outcome_bias,MEDIUM,"Late low-energy awareness and impact severity can tempt review toward the final seconds rather than the earlier automation-state boundary.","Keep candidate review at the FLCH/A-P disconnect/idle thrust/A-T HOLD transition and treat later awareness as downstream.",NO,MANAGED
C-002,Asiana Airlines Flight 214,agent_migration,MEDIUM,"ATC speed restriction and autoflight logic can displace cockpit monitoring if not tightly bounded.","Keep direct actor framing inside the cockpit and treat ATC/system as context only.",NO,MANAGED
C-002,Asiana Airlines Flight 214,technical_boundary,MEDIUM-HIGH,"Automation-state interpretation is central and can overdominate the human monitoring lane.","Use explicit author note that technical logic matters but does not replace crew monitoring and control review.",NO,WATCH
C-003,UPS Airlines Flight 1354,outcome_bias,LOW-MEDIUM,"Tree strike and CFIT outcome may pull focus to alerts and final seconds instead of the earlier descent-continuation boundary.","Anchor review before EGPWS and emphasize the MDA-continuation segment.",NO,MANAGED
C-003,UPS Airlines Flight 1354,agent_migration,MEDIUM,"Dispatch and ATC context can pull the review away from the cockpit descent-management lane.","Retain captain PF and first officer PM duties as the primary actor frame.",NO,MANAGED
C-003,UPS Airlines Flight 1354,technical_boundary,MEDIUM,"FMC setup and procedure framing can overshadow the direct continuation decision through minimums.","Separate setup context from the later V/S and MDA continuation action lane.",NO,MANAGED

