itemId,eventId,priorRegistryStatus,priorLocalTxtPath,a4r153Finding,a4r154CorrectedStatus,correctedLocalTxtAuthority,correctedSourceReadiness,correctedDeepReviewEligibility,correctedNegativeControlEligibility,requiredBeforePoa,notes
A4R154-001,BS211-Q400,LOCAL_TXT_PRESENT,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,CROSS_EVENT_MISATTRIBUTION,NO_VALID_LOCAL_SOURCE,UNSET_PENDING_OFFICIAL_RECOVERY,SOURCE_RECOVERY_PENDING,NO,NO,official source recovery and remap,Remove alias collision with Colgan path.
A4R154-002,COLGAN-3407,VALID_LOCAL_AND_EXTERNAL,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,BS211 collision impact,PRESERVE_VALID_SOURCE,NTSB_OFFICIAL,SOURCE_CONFIRMED,YES,NO,none before POA status gate,Preserve Colgan integrity and isolate BS211 alias.
A4R154-003,G-WNSB-SUPER-PUMA-SUMBURGH,TXT_FULL_TEXT_CLAIMED,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,FALSE_FULL_TEXT_COVERAGE,SOURCE_PENDING_OR_HTML_STATUS_ONLY,AAIB_OFFICIAL_TARGET_CONFIRMED,SOURCE_RECOVERY_PENDING,NO,NO,full AAIB AAR extraction and validation,Downgrade until full report text integrity is proven.
A4R154-004,DELTA-191-CLUSTER,NEGATIVE_CONTROL_USABLE,TXT-040/TXT-062/NEW50-11,DELTA_OCR_FAILURE_AND_LAYER_DIVERGENCE,OCR_REQUIRED,NTSB_OFFICIAL_PDF_CONFIRMED,SOURCE_RECOVERY_PENDING,NO,NO,OCR recovery and layer reconciliation,No deep review or negative control use until OCR hardening.
A4R154-005,QANTAS-QF32,OPUS_NEGATIVE_CONTROL_PACKET,EXT-A4R149-011,NO_EXTRACTED_TXT,SOURCE_RECOVERY_PENDING,ATSB_OFFICIAL_TARGET_ALIAS_CHECK_REQUIRED,SOURCE_RECOVERY_PENDING,NO,NO,TXT extraction and source-version confirmation,Remain blocked as negative control.
A4R154-006,QANTAS-QF72,OPUS_NEGATIVE_CONTROL_PACKET,EXT-A4R149-014,NO_EXTRACTED_TXT_AND_FINAL_REPORT_CONFIRMATION_PENDING,SOURCE_RECOVERY_PENDING,ATSB_OFFICIAL_TARGET_CONFIRMED,SOURCE_RECOVERY_PENDING,NO,NO,final report confirmation plus extraction,Remain blocked as negative control.
A4R154-007,AIR-FRANCE-AF66,OPUS_NEGATIVE_CONTROL_PACKET,EXT-A4R149-015,NO_EXTRACTED_TXT,SOURCE_RECOVERY_PENDING,BEA_OFFICIAL_TARGET_CONFIRMED,SOURCE_RECOVERY_PENDING,NO,NO,TXT extraction from BEA report,Remain blocked as negative control.
A4R154-008,pdf24_merged-5.txt,TXT_FULL_TEXT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-5.txt,CONTAMINATION_NON_EVENT_REFERENCE,OUT_OF_SCOPE_REFERENCE_MATERIAL,NOT_APPLICABLE,QUARANTINED,NO,NO,none,Reference material only.
A4R154-009,pdf24_merged-6.txt,TXT_FULL_TEXT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-6.txt,CONTAMINATION_NON_EVENT_DISSERTATION,OUT_OF_SCOPE_REFERENCE_MATERIAL,NOT_APPLICABLE,QUARANTINED,NO,NO,none,Reference material only.
A4R154-010,pdf24_merged-7.txt,TXT_FULL_TEXT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-7.txt,CONTAMINATION_DOD_HFACS_GUIDE,OUT_OF_SCOPE_REFERENCE_MATERIAL,NOT_APPLICABLE,QUARANTINED,NO,NO,none,Taxonomy reference only.
A4R154-011,pdf24_merged-8.txt,TXT_FULL_TEXT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-8.txt,CONTAMINATION_ENGINEERING_PAPER,OUT_OF_SCOPE_REFERENCE_MATERIAL,NOT_APPLICABLE,QUARANTINED,NO,NO,none,Reference material only.
A4R154-012,pdf24_merged-2.txt,TXT_FULL_TEXT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-2.txt,CONTAMINATION_JOURNALISM,JOURNALISM_NOT_REPORT,NOT_APPLICABLE,QUARANTINED,NO,NO,official source recovery if needed,Not official investigation evidence.
A4R154-013,pdf24_merged.txt,TXT_FULL_TEXT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged.txt,CONTAMINATION_JOURNALISM,JOURNALISM_NOT_REPORT,NOT_APPLICABLE,QUARANTINED,NO,NO,official source recovery if needed,Not official investigation evidence.
A4R154-014,pdf24_merged-3.txt,TXT_FULL_TEXT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-3.txt,CONTAMINATION_MULTI_EVENT_BULLETIN,BULLETIN_INDEX_MULTI_EVENT,NOT_APPLICABLE,QUARANTINED,NO,NO,none,Indexing aid only.
A4R154-015,ASIANA-214,STATUS_CONFLICT,dual local paths plus registry/manifest conflict,LAYER_INCONSISTENCY,STATUS_CONFLICT_REQUIRES_SINGLE_AUTHORITY_DECISION,PENDING_SINGLE_AUTHORITY_DECISION,SOURCE_READY_CONFLICT,NO,NO,single authority decision before POA-related progression,Conflict across A4R150/A4R151/A4R152 remains unresolved.
A4R154-016,US-AIRWAYS-1549,OPUS_NEGATIVE_CONTROL_PACKET,TXT-025 local sources,PRESERVE_USABLE_NEGATIVE_CONTROL,KEEP_NEGATIVE_CONTROL,NTSB_OFFICIAL,SOURCE_CONFIRMED,YES,YES,none before POA status gate,Keep as validated technical-onset negative control.
A4R154-017,EC225-G-REDW-G-CHCN,OPUS_NEGATIVE_CONTROL_PACKET,EXT-A4R149-013 local source,PRESERVE_USABLE_NEGATIVE_CONTROL,KEEP_NEGATIVE_CONTROL,AAIB_OFFICIAL,SOURCE_CONFIRMED,YES,YES,none before POA status gate,Keep as validated offshore negative control.
A4R154-018,COUGAR-A09A0016,OPUS_NEGATIVE_CONTROL_PACKET,EXT-A4R149-012 local source,USE_WITH_ESCAPE_POINT_CAUTION,KEEP_WITH_ESCAPE_POINT_CAUTION,TSB_OFFICIAL,SOURCE_CONFIRMED,YES,YES,maintain caution annotation,Keep with technical-onset caution.
A4R154-019,TUROY-EC225,OPUS_SECONDARY_PACKET,TXT-006 local sources,FUTURE_CONTROL_AFTER_OCR,FUTURE_NEGATIVE_CONTROL_AFTER_OCR,NSIA_OFFICIAL_TARGET_CONFIRMED,SOURCE_RECOVERY_PENDING,NO,NO,OCR recovery before control promotion,Not yet eligible as active negative control.
