case_id,event_name,field,prior_status,new_status,evidence_refs,sufficiency,notes
REAL-EVENT-0002,Peasmarsh legacy,agentId,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-EXTRACTION-002:L38|REAL-EVENT-ADJUDICATION-002:L40,PARTIAL,flight_crew_collective_pf_pm_pending
REAL-EVENT-0002,Peasmarsh legacy,agentKind,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-ADJUDICATION-002:L39-L40,PARTIAL,direct_actor_not_decomposed
REAL-EVENT-0002,Peasmarsh legacy,PF_PM_boundary,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-EXTRACTION-002:L49|A4R126:L22,INSUFFICIENT,pf_pm_split_pending
REAL-EVENT-0002,Peasmarsh legacy,unsafeActOrOmission,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-EXTRACTION-002:L35|REAL-EVENT-ADJUDICATION-002:L35-L38,PARTIAL,act_condition_combination_ambiguous
REAL-EVENT-0002,Peasmarsh legacy,operationalMoment,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-ADJUDICATION-002:L29|REAL_EVENT_DEEP_EXTRACTION_0001_0002:L407-L412,PARTIAL,transition_to_discontinued_approach
REAL-EVENT-0002,Peasmarsh legacy,sequenceRef,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-EXTRACTION-002:L23-L29|REAL_EVENT_REVIEW_DECISION_0001_0002:L261-L264,PARTIAL,callout_timeline_by_actor_missing
REAL-EVENT-0002,Peasmarsh legacy,pointTopology,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL_EVENT_DEEP_EXTRACTION_0001_0002:L405-L412|A4R126:L22,PARTIAL,escape_point_when_statement_unresolved
REAL-EVENT-0002,Peasmarsh legacy,boundaryEvidenceRefs,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-ADJUDICATION-002:L67-L73|A4R126:L22,PARTIAL,warning_barrier_and_route_refs_present
REAL-EVENT-0002,Peasmarsh legacy,agentMigrationRisk,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,docs/SERA_SAFE_OPERATION_ESCAPE_POINT_v0.1.md:L31-L49|A4R126:L22,HIGH,actor_swap_risk_still_active
REAL-EVENT-0002,Peasmarsh legacy,consequenceAsCauseRisk,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-EXTRACTION-002:L52-L56|REAL_EVENT_DEEP_EXTRACTION_0001_0002:L388-L391,MEDIUM,outcome_bias_guard_maintained
REAL-EVENT-0002,Peasmarsh legacy,technicalConditionDominanceRisk,SOURCE_EXTRACTION_REQUIRED,SOURCE_EXTRACTION_REQUIRED,REAL-EVENT-ADJUDICATION-002:L36-L37|REAL_EVENT_REVIEW_DECISION_0001_0002:L188-L195,LOW,technical_dominance_not_primary
REAL-EVENT-0002,Peasmarsh legacy,futureReentryReadiness,SOURCE_EXTRACTION_REQUIRED,PEASMARSH_REMAINS_SOURCE_EXTRACTION_REQUIRED,A4R193_K_SOURCE_RECOVERY_MATRIX:L3|A4R193_N_SOURCE_RECOVERY_DOC,NO,reentry_review_not_ready
