candidate_id,event_name,source_status,source_files_found,escape_point_candidate_status,agent_act_moment_sufficiency,technical_dominant_risk,post_event_risk,agent_migration_risk,recommended_action,notes
A4R193D-CAND-001,USAir 427,SOURCE_PARTIAL_NEEDS_CAUTION,A4R180-EXTRACTION-0015;A4R181-ADJ-0015,HOLD_TECHNICAL_DOMINANCE_BOUNDARY,INSUFFICIENT,true,true,true,HOLD_TECHNICAL_DOMINANT,Boundary tecnico versus operador sem ancoragem humana defensavel
A4R193D-CAND-002,American 965 Cali,NARRATIVE_SUFFICIENT_WITH_FRAMING_PENDING,A4R180-EXTRACTION-0010;A4R181-ADJ-0010,FRAMING_DECISION_REQUIRED,PARTIAL,false,true,true,SOURCE_ENRICHMENT_REQUIRED,Reclassificacao multi-actor pendente de hardening de framing
A4R193D-CAND-003,Delta 191,OCR_IMPROVED_USABLE_WITH_CAUTION,A4R118-INVENTORY;A4R156-SOURCE-RECOVERY,NO_CURRENT_REENTRY_PACKET,INSUFFICIENT,false,true,true,SOURCE_ENRICHMENT_REQUIRED,Nao possui pacote de reentry A4R193 e exige consolidacao de fonte
A4R193D-CAND-004,American 1420 LIT,NARRATIVE_SUFFICIENT,A4R180-EXTRACTION-0003;A4R181-ADJ-0003,READY_FOR_AUTHOR_DECISION,SUFFICIENT,false,true,true,READY_FOR_A4R193_E_REENTRY,Candidato forte para lote real adicional sob lock candidate only
A4R193D-CAND-005,UPS 1354 BHM,NARRATIVE_SUFFICIENT,A4R180-EXTRACTION-0006;A4R181-ADJ-0006,READY_FOR_AUTHOR_DECISION,SUFFICIENT,false,true,true,READY_FOR_A4R193_E_REENTRY,Candidato com gate operacional definido e cobertura complementar
A4R193D-CAND-006,Colgan 3407 BUF,NARRATIVE_SUFFICIENT,A4R180-EXTRACTION-0004;A4R181-ADJ-0004,FRAMING_DECISION_REQUIRED,PARTIAL,false,true,true,HOLD_AGENT_MIGRATION_RISK,Exige decomposicao PF PM antes de reentry seguro
A4R193D-CAND-007,Thebaud S-92A,SOURCE_PARTIAL_LEGACY_UNRESOLVED,A4R78-CONSOLIDATED-TRACKER;A4R126-REAUDIT,AUTHOR_REVIEW_READY_LEGACY,PARTIAL,false,true,true,SOURCE_ENRICHMENT_REQUIRED,Precisa pacote reentry atual por contrato agent act moment
A4R193D-CAND-008,Peasmarsh,SOURCE_PARTIAL_LEGACY_UNRESOLVED,A4R78-CONSOLIDATED-TRACKER;A4R126-REAUDIT,DIRECT_ACTOR_UNCLEAR,INSUFFICIENT,false,true,true,SOURCE_ENRICHMENT_REQUIRED,Cadeia warning go-around ainda ambigua
A4R193D-CAND-009,Vigo,SOURCE_PARTIAL_LEGACY_UNRESOLVED,A4R78-CONSOLIDATED-TRACKER;A4R126-REAUDIT,DIRECT_ACTOR_UNCLEAR,INSUFFICIENT,false,true,true,SOURCE_ENRICHMENT_REQUIRED,Decomposicao de ator insuficiente para reentry atual
A4R193D-CAND-010,5N-BQJ,SOURCE_ENRICHED_BUT_TECHNICAL_BOUNDARY,A4R68-CONSOLIDATION;A4R126-REAUDIT,TECHNICAL_FAILURE_DOMINANT,INSUFFICIENT,true,true,true,HOLD_TECHNICAL_DOMINANT,Manter como boundary adversarial sem forcar codificacao humana
A4R193D-CAND-011,N109W,RELEASE_PILOT_WITHDRAWN,A4R85-TRACKER;A4R92-WITHDRAWAL,NO_CURRENT_REENTRY_PACKET,INSUFFICIENT,false,true,true,NOT_USE_NOW,Caso de piloto de release antigo sem pacote reentry atual
A4R193D-CAND-012,N11NM,RELEASE_PILOT_WITHDRAWN,A4R85-TRACKER;A4R92-WITHDRAWAL,NO_CURRENT_REENTRY_PACKET,INSUFFICIENT,false,true,true,NOT_USE_NOW,Caso de piloto de release antigo sem pacote reentry atual
