guardrailId,guardrailName,description,blocksIf,appliesTo,severity,requiredAction
1,POST_ESCAPE_EVIDENCE_LEAKAGE,Blocks axis inference built from evidence after the escape point,Any axis argument depends on post-escape facts for onset inference,ALL_AXES,CRITICAL,Mark axis BLOCKED_OR_UNRESOLVED and restate evidence window
2,PROBABLE_CAUSE_AS_ANSWER_KEY,Blocks direct conversion of official probable cause into SERA axis answer,Axis candidate is justified only by probable-cause prose,ALL_AXES,CRITICAL,Remove causal-key leakage and require factual evidence at or before gate
3,CONSEQUENCE_AS_ACTION,Blocks consequence or impact from being treated as human action at onset,Action candidate is impact/outcome instead of human act,AXIS_A,HIGH,Reframe action evidence to at/before gate or keep unresolved
4,WARNING_AS_AUTOMATIC_GATE,Blocks automatic use of warning onset as gate or axis answer,Warning marker is treated as first unsafe departure without prior-threshold check,GATE_AND_ALL_AXES,HIGH,Require gate-consistent threshold evidence before warning
5,NEGATIVE_CONTROL_FORCE_HF,Blocks forced human-origin P/O/A in technical/environmental negative control,Human-origin axis is forced despite technical/environmental onset,ALL_AXES_NEGATIVE_CONTROL,CRITICAL,Allow NO_HUMAN_P_O_A_AT_ESCAPE_POINT outcome
6,ORGANIZATIONAL_CONTEXT_AS_LINE_OBJECTIVE,Blocks substitution of organizational context for line-level objective at gate,Objective is inferred from organizational criticism without line evidence,AXIS_O,HIGH,Constrain objective to line-level evidence at escape point
7,MORAL_LANGUAGE_OR_BLAME,Blocks moral/culpability language as axis evidence,Axis rationale uses blame/moral judgement vocabulary,ALL_AXES,MEDIUM,Rewrite with operational factual language only
8,AXIS_OVERCLASSIFICATION,Blocks forced classification when evidence is insufficient,Axis receives class despite missing minimum evidence fields,ALL_AXES,HIGH,Keep axis unresolved or blocked
9,INSUFFICIENT_EVIDENCE_SHOULD_REMAIN_UNRESOLVED,Forces unresolved outcome when minimal evidence threshold fails,Insufficient direct evidence at or before gate for that axis,ALL_AXES,HIGH,Record unresolved with explicit unknowns and blocker
10,RELEASE_CODE_PROHIBITED,Prevents release/downstream side effects during pilot design,Any output attempts releasedCode or downstream opening,PROGRAM_SCOPE,CRITICAL,Stop workflow and enforce NO_RELEASED_CODE/NO_DOWNSTREAM
