asset,actor,threat,existing_control,gap,severity,recommended_action
sera_vnext_analyses (candidate analyses + narratives),Authenticated non-admin tenant user,Read/modify another user's analyses within tenant,requireAdmin at API + RLS sera_vnext_beta_can_use (tenant+admin) + service-role queries filtered by tenant_id,None at this HEAD,LOW,Maintain admin gate; add automated test asserting non-admin 403
sera_vnext_analyses,Authenticated admin of tenant B,Read tenant A analyses (cross-tenant IDOR),Every read/update .eq(tenant_id) + RLS tenant match,Service-role client bypasses RLS so isolation depends on explicit filters,MEDIUM,Keep filters; add a lint/test that fails if any sera_vnext query omits tenant_id
Final classification output,Compromised app code or malicious admin,Write a final/released code or CLASSIFIED status,DB CHECK constraints (non_final_output_lock, no_final_status) + app assertNonFinalOutput + engine hardcoded nulls,None - constraints apply even under service role,LOW,Keep constraints; add constraint-violation regression test
Evidence (analyses/events),Tenant admin,Delete evidence via archive or exclusion,No DELETE grant (soft delete only) + exclusions are a separate ledger that never deletes source,None,LOW,None required; document the soft-delete guarantee
risk_profile_exclusions,Authenticated non-admin tenant user (direct API),Exclude/restore risk-profile sources,requireAdmin at API + source-universe membership check,DB RLS checks tenant only (no admin role); source_id has no FK,LOW,Add admin role to exclusion RLS; keep API as sole writer
risk_profile_exclusions,Tenant admin of B,Exclude a source belonging to tenant A,RLS tenant match + API checks source is in caller's own universe (404 otherwise),None,LOW,None; retain universe check
Risk profile / org intelligence data,Any authenticated tenant user,Read aggregated org risk data,requireBearerUser + tenant-scoped queries,No admin gate (any tenant user can read org profile); acceptable by design,INFORMATIONAL,Confirm intended visibility (org-wide read) is desired
Internal error details,External client,Information disclosure via error messages,Product-beta handlers return generic 500 + request_id,Risk-profile/org-intelligence/exclusions return String(e)/error.message to client (F-14),MEDIUM,Return generic 500 + request_id; log details server-side only
Magic-link / session,Attacker,Session hijack / replay in pilot,Supabase auth bearer tokens; magic-link sessions used in tests,Magic-link stability/replay not audited here; tests depend on it,MEDIUM,Verify magic-link expiry/single-use before external pilot
Feature flags,Operator misconfig,UI enabled but API disabled (or vice versa) exposing broken/forbidden surface,Server flag SERA_VNEXT_PRODUCT_BETA_ENABLED + separate UI flag NEXT_PUBLIC_..._UI_ENABLED; API off => 404,Two independent flags can be set inconsistently; NEXT_PUBLIC_ is build-time embedded (stale build),MEDIUM,Document required flag pairs; verify both before pilot; add a server-rendered guard
JWT claims (tenant_id/role),Token forgery,Spoof tenant_id/role to bypass isolation,Supabase-signed JWT; RLS reads request.jwt.claims; service key server-only,Depends on correct claim provisioning (app_metadata.tenant_id/role),MEDIUM,Verify claim provisioning + that service role key is never shipped to client
Narrative / PII in audit trail,Insider / log reader,Leak narrative via audit events,DB constraint sera_vnext_events_no_narrative_payload + sanitized payloads,Risk-profile audit metadata stores source_id/source_type (ids only),LOW,None; ids only, no narrative
Service role key,Client bundle,Service role key exposed to browser,getSupabaseAdmin used only in server modules (route handlers / lib/server),Not exhaustively verified across all imports,MEDIUM,Grep build output to confirm no NEXT_PUBLIC service key; CI guard
Mass assignment on analysis update,Tenant admin,Repoint tenant_id or inject fields via update patch,updateAnalysis patch is built internally (status transitions), not from raw client body,Patch type is Partial<Record> - ensure callers never pass client body directly,LOW,Add explicit allowlist of updatable columns
Input size / DoS,Authenticated user,Oversized narrative/JSON,Narrative length constraints (40..12000) at DB and validators,No explicit global rate limiting observed in audited scope,MEDIUM,Add rate limiting on create/analyze endpoints for pilot
Legacy /api/analyze classifier,Authenticated user with credits,Produce stored P/O/A classifications presented as conclusions,Credit gate (402 when <1); but this path is not candidate-only locked like vNext,Live user classifier is outside the vNext candidate-only locks (F-07),HIGH,Decide canonical engine; align non-final posture/copy for the legacy path
