action,authorization_required,current_authorization_status,authorized_now,allowed_without_new_authorization,notes
Start_A4R194_J,YES,NOT_AUTHORIZED,false,false,requires_new_explicit_human_confirmation
Create_controlled_materialization_draft,YES,NOT_AUTHORIZED,false,false,guardrail_exists_but_no_execution_authorization
Create_second_synthetic,YES,NOT_AUTHORIZED,false,false,blocked_until_gap001_decision
Create_fixture,YES,NOT_AUTHORIZED,false,false,fixture_gate_closed
Promote_baseline,YES,NOT_AUTHORIZED,false,false,baseline_gate_closed
Open_product_UI,YES,NOT_AUTHORIZED,false,false,product_gate_closed
Open_product_API,YES,NOT_AUTHORIZED,false,false,product_gate_closed
Emit_selectedCode,YES,NOT_AUTHORIZED,false,false,output_lock_closed
Emit_releasedCode,YES,NOT_AUTHORIZED,false,false,output_lock_closed
Emit_finalConclusion,YES,NOT_AUTHORIZED,false,false,output_lock_closed
Add_HFACS_Risk_ERC_recommendations,YES,NOT_AUTHORIZED,false,false,downstream_lock_closed
Use_Daumas_case_as_reentry,YES,NOT_AUTHORIZED,false,false,reference_only_until_contract_reentry
Promote_HOLD_event_to_READY,YES,NOT_AUTHORIZED,false,false,requires_source_and_boundary_closure
Perform_source_recovery,NO,ALLOWED,true,true,allowed_real_first_governance_path
