finding_id,severity,event_name,affected_gap,issue_summary,evidence,methodological_risk,recommended_action,blocks_future_reentry,status
F-A4R197E-001,HIGH,Colgan 3407,GAP-001|GAP-010,PF/PM boundary not closeable from source alone; depends on GAP-010 human boundary decision,A4R180-EXTRACTION-0004 multiActorHandled=true but boundary unresolved,agent migration / unsupported actor switch at escape point,defer to GAP-010 human decision; no PF/PM classification,YES,OPEN
F-A4R197E-002,MEDIUM,Thebaud,GAP-001|GAP-003,PF/PM not separated and callout sequence not decomposed in source,REAL-EVENT-EXTRACTION-001 uncertaintyNotes,coarse anchor / invented sequenceRef if forced,obtain actor-bound timeline before deeper review,YES,OPEN
F-A4R197E-003,MEDIUM,Peasmarsh,GAP-003|GAP-008,EGPWS warning chain risks contaminating escape anchor; sequence not decomposed,REAL-EVENT-EXTRACTION-002 evidenceFragments and uncertaintyNotes,warning-as-anchor contamination,separate warning callout timeline from escape anchor,YES,OPEN
F-A4R197E-004,HIGH,Vigo,GAP-001|GAP-003,Source is notification-level only with no primary pagination; roles not segregated,REAL-EVENT-EXTRACTION-003 extractionConfidence MEDIUM,sequence invention and crew-collective fallback,obtain primary CIAIAC report; keep insufficient until then,YES,OPEN
F-A4R197E-005,HIGH,Delta 191,GAP-005,Severe environmental onset (microburst) could be forced into human fault,a4r111-recovered-pool-txt NTSB-AAR-86-05,forced human reentry under technical/environmental onset,retain as negative control only; no human framing,YES,OPEN
F-A4R197E-006,HIGH,USAir 427,GAP-005|GAP-008,Rudder technical dominance creates human overclassification risk,A4R180-EXTRACTION-0015 EXTRACTION_HOLD overclassification_risk_technical_rudder_dominance,boundary collapse / overforced human causality,keep boundary control; separate factual evidence from conclusion,YES,OPEN
F-A4R197E-007,MEDIUM,N109W,GAP-008,Superseded UNRESOLVED historical draft must not act as active evidence,A4R81 release eligibility dry-run BLOCKED_UNRESOLVED,invalid activation from superseded source,keep HOLD_FOR_HUMAN_DECISION; reconcile supersession only,YES,OPEN
F-A4R197E-008,MEDIUM,N11NM,GAP-008,Superseded UNRESOLVED historical draft must not act as active evidence,A4R81 release eligibility dry-run BLOCKED_UNRESOLVED,invalid activation from superseded source,keep HOLD_FOR_HUMAN_DECISION; reconcile supersession only,YES,OPEN
F-A4R197E-009,HIGH,5N-BQJ,GAP-005,Recurrent DAFCS/TRIM FAIL technical dominance risks direct-actor over-attribution,REAL-EVENT-EXTRACTION-004 uncertaintyNotes,direct actor over-attribution with weak source closure,document technical dominance; no forced direct human actor,YES,OPEN
F-A4R197E-010,LOW,ALL,GAP-001|GAP-003|GAP-005|GAP-008|GAP-010,No verdict in this phase implies classification or promotion,SOURCE_CLOSURE_GATE applied per item,scope creep toward classification/promotion,maintain gate; all promotion_allowed=false,YES,OPEN
F-A4R197E-011,LOW,ALL,N/A,Frontend tsc --noEmit fails on preexisting out-of-scope TypeScript errors,A4R198-A/A4R199-A documented same preexisting failure,tech-debt not blocking source recovery docs,record as LOW/TECH-DEBT; do not fix global typecheck without authorization,NO,TECH-DEBT
