case_id,escape_point_useful,poa_useful,preconditions_useful,uncertainty_clear,warnings_clear,reviewer_decision,issues
clean-anchor,true,true,true,true,true,ACCEPT_AS_WORKING_HYPOTHESIS,
automation-boundary,true,true,true,true,true,RETURN_FOR_REANALYSIS,
procedural-fmc-mda-boundary,true,true,true,true,true,ACCEPT_AS_WORKING_HYPOTHESIS,
technical-dominant,true,true,true,true,true,ACCEPT_AS_WORKING_HYPOTHESIS,
consequence-as-cause,true,true,true,true,true,ACCEPT_AS_WORKING_HYPOTHESIS,
evidence-insufficient,true,true,true,true,true,REQUIRES_MORE_EVIDENCE,
no-failure,true,true,true,true,true,ACCEPT_AS_WORKING_HYPOTHESIS,
pf-pm-ambiguity,true,true,true,true,true,RETURN_FOR_REANALYSIS,
precondition-confusion,true,true,true,true,true,RETURN_FOR_REANALYSIS,
progressive-escape-zone,true,true,true,true,true,RETURN_FOR_REANALYSIS,
