audit_item,status,severity,evidence_file,risk_if_failed,next_action,notes
design_only_status,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,high,keep_design_only_status,status is SYNTHETIC_DRAFT_DESIGN_ONLY
not_real_event,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,high,keep_not_real_event_marker,notARealEvent true
no_fixture,PASS,INFO,SYNTHETIC_PILOT_GAP001_NON_MATERIALIZATION_DECLARATION_A4R194_E_v0.2.0.md,high,keep_fixture_block,fixtureAllowed false
no_baseline,PASS,INFO,SYNTHETIC_PILOT_GAP001_NON_MATERIALIZATION_DECLARATION_A4R194_E_v0.2.0.md,high,keep_baseline_block,baselineAllowed false
product_blocked,PASS,INFO,SYNTHETIC_PILOT_GAP001_DRAFT_CLARIFICATION_A4R194_G_v0.2.0.md,high,keep_product_block,no product/UI/API opening
not_for_classification,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,high,keep_classification_block,classificationAllowed false
selectedCode_null,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,high,keep_selected_code_null,explicit prohibitive null
releasedCode_null,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,high,keep_released_code_null,explicit prohibitive null
no_finalConclusion,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,high,keep_final_conclusion_null,finalConclusion null
pf_primary_boundary_decision,PASS,INFO,SYNTHETIC_PILOT_GAP001_DRAFT_CLARIFICATION_A4R194_G_v0.2.0.md,high,preserve_boundary_decision,PF_PRIMARY_WITH_PM_CONSEQUENCE_BOUNDARY declared
pm_consequence_boundary,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E_v0.2.0.md,high,preserve_pm_consequence_zone,PM kept in consequence/barrier zone
pm_primary_separate_draft,PASS,INFO,SYNTHETIC_PILOT_GAP001_DRAFT_CLARIFICATION_A4R194_G_v0.2.0.md,high,require_new_draft_for_pm_primary,PM_PRIMARY_MONITORING_FAILURE needs separate draft
temporal_clarification,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,medium,preserve_temporal_clarification,PM not earlier than PF anchor
no_crew_collective_fallback,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E_v0.2.0.md,high,block_crew_collective_fallback,crewCollectiveContextOnly true
no_consequence_as_cause,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E_v0.2.0.md,high,preserve_consequence_boundary,consequence cannot be used as cause
no_warning_as_anchor,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E_v0.2.0.md,high,keep_warning_trap_framing,warning/callout stays in consequence zone
synthetic_placeholders_marked,PASS,INFO,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,high,keep_synthetic_label,boundaryEvidenceRefs are synthetic placeholders
audit_trail_complete,PASS,INFO,SERA_A4R194_G_LOG_v0.2.0.md,medium,preserve_audit_trail,E/F/G chain recorded and traceable
human_authorization_required,PASS,INFO,SERA_A4R194_I_READINESS_PLAN_v0.2.0.md,high,enforce_human_authorization_gate,materialization requires explicit human authorization
sequence_ref_granularity,PASS,LOW,SYNTHETIC_PILOT_GAP001_CASE_DRAFT_DESIGN_A4R194_E.json,low,defer_granular_ordering,coarse placeholders pending future granular ordering
rr001_lexical_residual,PASS,LOW,SYNTHETIC_PILOT_GAP001_FINAL_DRAFT_AUDIT_A4R194_H_v0.2.0.md,low,keep_anti_fallback_language,RR-001 remains OPEN for future semantic strengthening
