event_id,event_name,status,category,source_quality,agent_kind,topology,current_use,next_action,notes
REAL-EVENT-COPTERLINE-S76-EST-2005-PILOT-001,Copterline_S76_Estonia_2005,READY_CANDIDATE_ONLY,ready_real_event,HIGH,maintenance_or_org,discrete,candidate_only_reference,maintain_candidate_only,consequence_not_basis
REAL-EVENT-ASIANA214-SFO2013-REENTRY-001,Asiana_214_SFO_2013,READY_CANDIDATE_ONLY,ready_real_event,HIGH,crew_collective,progressive,candidate_only_reference,maintain_candidate_only,PF_PM_split_remains_open
REAL-EVENT-COMAIR-5191-LEX-2006-REENTRY-001,Comair_5191_LEX_2006,READY_CANDIDATE_ONLY,ready_real_event,HIGH,crew_collective,progressive,candidate_only_reference,maintain_candidate_only,nonexistent_code_remains_nonactive_metadata
REAL-EVENT-UNITED-173-PDX-1978-REENTRY-001,United_173_PDX_1978,READY_CANDIDATE_ONLY,ready_real_event,HIGH,crew_collective,progressive,candidate_only_reference,maintain_candidate_only,fuel_critical_window
REAL-EVENT-AMERICAN-1420-LIT-1999-REENTRY-001,American_1420_LIT_1999,READY_CANDIDATE_ONLY,ready_real_event,HIGH,crew_collective,progressive,candidate_only_reference,maintain_candidate_only,batch3_validated
REAL-EVENT-UPS-1354-BHM-2013-REENTRY-001,UPS_1354_BHM_2013,READY_CANDIDATE_ONLY,ready_real_event,HIGH,crew_collective,progressive,candidate_only_reference,maintain_candidate_only,batch3_validated
REAL-EVENT-AMERICAN-965-CALI-1995-REENTRY-001,American_965_Cali_1995,READY_CANDIDATE_ONLY,ready_real_event,MEDIUM_HIGH,crew_collective,progressive,candidate_only_reference,recheck_before_any_closure,weakest_ready_case
A4R193D-CAND-003,Delta_191_DFW_1985,HOLD_SOURCE_ENRICHMENT,hold_real_event,RECOVERED_TEXT_PENDING_REENTRY,environment_dominant,technical_weather,candidate_hold,source_recovery_then_reentry,environment_condition_dominant_risk
A4R193D-CAND-006,Colgan_3407_BUF_2009,HOLD_AGENT_MIGRATION_RISK,hold_real_event,HIGH,crew_collective,progressive,candidate_hold,agent_act_moment_review,agent_migration_risk
REAL-EVENT-USAIR-427-PIT-1994-REENTRY-001,USAir_427_PIT_1994,HOLD_TECHNICAL,hold_real_event,HIGH,technical_dominant,technical,candidate_hold,technical_boundary_review,technical_dominant_quarantine
REAL-EVENT-0006,5N_BQJ,HOLD_TECHNICAL,hold_real_event,LOW_MEDIUM,technical_dominant,technical,candidate_hold,source_and_technical_review,technical_dominant_quarantine
REAL-EVENT-0001,Thebaud,HOLD_SOURCE_ENRICHMENT,hold_real_event,LOW_MEDIUM,unclear,unclear,candidate_hold,source_extraction_required,agent_act_moment_insufficient
REAL-EVENT-0002,Peasmarsh,HOLD_SOURCE_ENRICHMENT,hold_real_event,LOW_MEDIUM,unclear,unclear,candidate_hold,source_extraction_required,source_insufficient
REAL-EVENT-0004,Vigo,HOLD_SOURCE_ENRICHMENT,hold_real_event,LOW_MEDIUM,unclear,unclear,candidate_hold,source_extraction_required,source_insufficient
N109W,N109W,HOLD_SUPERSEDED,hold_real_event,LOW,unclear,unclear,historical_hold,no_action_unless_reopened,superseded_historical
N11NM,N11NM,HOLD_SUPERSEDED,hold_real_event,LOW,unclear,unclear,historical_hold,no_action_unless_reopened,superseded_historical
A4R193D-CAND-LEGACY-AMERICAN-965,American_965_legacy_enrichment_slot,HOLD_SOURCE_ENRICHMENT,hold_real_event,MEDIUM,crew_collective,progressive,historical_hold,archive_against_batch4_row,superseded_by_ready_American_965_row
DAUMAS-CASE-1,Daumas_case_1,METHODOLOGY_REFERENCE_ONLY,daumas_prior_work,MEDIUM,context_only,method_context,methodology_context_only,no_reentry_without_contract,not_empirical_expected_value
DAUMAS-CASE-2,Daumas_case_2,METHODOLOGY_REFERENCE_ONLY,daumas_prior_work,MEDIUM,context_only,method_context,methodology_context_only,contract_reentry_required_before_use,not_automatic_reference
DAUMAS-CASE-3,Daumas_case_3,HOLD_UNCLEAR_SOURCE,daumas_prior_work,LOW_MEDIUM,unclear,unclear,hold,dedicated_review_required,source_clarity_insufficient
DAUMAS-CASE-4,Daumas_case_4,METHODOLOGY_REFERENCE_ONLY,daumas_prior_work,MEDIUM,context_only,parallel_method_lane,methodology_context_only,no_reentry_without_contract,historical_example_only
