finding_id,title,severity,domain,affected_files,route,evidence,expected,actual,impact,reproducibility,recommended_action,blocking_status
F-001,Event hard-delete endpoint has no role check,HIGH,security,frontend/src/app/api/events/[eventId]/route.ts,/api/events/[eventId],"DELETE uses requireBearerUser not requireAdmin (line 53)",Only admin/owner may permanently delete,Any authenticated tenant user (viewer/analyst) can hard-delete,Irreversible data loss by low-privilege user,Always,Gate DELETE behind requireAdmin + reason + confirmation,BLOCKS_HARD_DELETE
F-002,Event hard-delete writes no audit log,HIGH,audit,frontend/src/app/api/events/[eventId]/route.ts,/api/events/[eventId],"No writeAuditLog call in DELETE handler",Deletion must be auditable,No audit_log row recorded on deletion,No forensic trail for irreversible action,Always,Emit event.deletion_requested + event.hard_deleted audit rows,BLOCKS_HARD_DELETE
F-003,Event hard-delete is immediate with no soft-delete/recovery,HIGH,data-model,frontend/src/app/api/events/[eventId]/route.ts; supabase/migrations/20260507105001_initial_schema.sql,/api/events/[eventId],"events table has no deleted_at; DELETE does cascade immediately",Soft-delete + recovery window,Immediate irreversible cascade,No undo; accidental loss unrecoverable,Always,Add events.deleted_at; soft-delete first; async hard delete after window,BLOCKS_HARD_DELETE
F-004,Event hard-delete leaves orphan risk_profile_exclusions,MEDIUM,data-model,frontend/src/app/api/events/[eventId]/route.ts; supabase/migrations/20260608190000_risk_profile_exclusions.sql,/api/events/[eventId],"risk_profile_exclusions.source_id has no FK; only tenant cascade",Exclusion rows cleaned/anonymized on delete,Dangling exclusion rows remain pointing at deleted source_id,Orphan rows; harmless to display but data hygiene/audit gap,Always,Delete or tombstone matching exclusion rows in deletion transaction,NON_BLOCKING
F-005,No UI control to delete an event,HIGH,frontend,frontend/src/app/(dashboard)/events/page.tsx; frontend/src/app/(dashboard)/events/[id]/page.tsx,/events; /events/[id],"grep finds no caller of DELETE /api/events/:id; only exclusion DELETE exists",Permanent-delete action available to authorized users,Endpoint exists but is unreachable from UI,Feature effectively NOT IMPLEMENTED for users,Always,Implement guarded delete UX (see UX contract) once backend is safe,BLOCKS_FEATURE
F-006,Executive report uses 100% demo data,HIGH,frontend,frontend/src/app/(dashboard)/reports/executive/page.tsx; frontend/src/lib/demo/hfa-demo-data.ts,/reports/executive,"Imports demoAnalyses/demoCorrectiveActions/... and renders counts from them",Real tenant data,Fictitious numbers shown as executive report,Misleading executive metrics; parity break vs dashboard,Always,Wire to /api/risk-profile or mark clearly as sample-only,NON_BLOCKING
F-007,Per-event report silently falls back to demo data,MEDIUM,frontend,frontend/src/app/(dashboard)/reports/event/[id]/page.tsx,/reports/event/[id],"setDataMode('demo') on error or missing analysis (lines 88/98)",Error/empty state,Shows fictitious analysis as if a report,Demo content can be mistaken for real,Conditional,Replace demo fallback with explicit empty/error state,NON_BLOCKING
F-008,Events list and Dashboard count different universes,MEDIUM,parity,frontend/src/app/(dashboard)/events/page.tsx; frontend/src/lib/risk-profile/server.ts,/events vs /dashboard,"/events returns legacy events only; risk-profile unifies legacy+vNext",Consistent totals across screens,Dashboard 'Universo canônico' can exceed Events list count,User confusion about true event count,When vNext rows exist,Surface vNext analyses in events view or label scopes explicitly,NON_BLOCKING
F-009,Admin stats total_analyses excludes vNext,LOW,parity,frontend/src/app/api/admin/stats/route.ts,/admin,"Counts from legacy analyses table only",Global analyses count,vNext analyses not counted,Under-reports platform usage,Always,Include sera_vnext_analyses in admin metrics,NON_BLOCKING
F-010,/admin middleware never blocks non-admins,LOW,security,frontend/src/middleware.ts,/admin/*,"middleware returns NextResponse.next() in all branches incl. role!=='admin'",Block/redirect non-admins at edge,No-op edge guard; relies on client redirect + requireAdmin,Defense-in-depth gap (not an exploit: APIs are requireAdmin-gated),Always,Either enforce redirect in middleware or remove dead logic,NON_BLOCKING
