decision_id,decision_topic,decision,status,rationale,unlocks,blocks,requires_human_authorization,next_review_phase,notes
DEC-001,product_ui_api,product_ui_api_remains_blocked,ACTIVE,RR001_open_and_candidate_only_state,none,product_ui_api_execution,YES,A4R195_C,no_runtime_or_product_work
DEC-002,fixture_baseline,fixture_and_baseline_remain_blocked,ACTIVE,methodology_not_promotable_without_human_gate,none,fixture_creation_and_baseline_promotion,YES,A4R195_C,no_promotion_in_B
DEC-003,a4r194_j_start,a4r194_j_is_not_automatic,ACTIVE,a4r194_i_is_guardrail_only,none,automatic_start_of_a4r194_j,YES,A4R195_C,explicit_decision_required
DEC-004,a4r194_j_authorization,a4r194_j_allowed_only_with_explicit_human_authorization,ACTIVE,scope_contract_and_readiness_require_owner_confirmation,conditional_future_materialization_draft,unauthorized_materialization,YES,A4R195_C,still_not_started
DEC-005,source_recovery,source_recovery_remains_allowed,ACTIVE,hold_pool_requires_source_closure,source_recovery_planning,forced_reentry_without_evidence,NO,A4R195_C,real_first_path_preserved
DEC-006,second_synthetic,second_synthetic_blocked_until_gap001_decision,ACTIVE,avoid_synthetic_sprawl_before_gap001_governance,none,second_synthetic_execution,YES,A4R195_C,depends_on_human_decision
DEC-007,daumas_lane,daumas_remains_methodology_reference_only,ACTIVE,daumas_is_not_automatic_empirical_expected_value,method_context_use_only,automatic_daumas_reentry,YES,A4R195_C,reentry_requires_contract
DEC-008,ready_events,real_event_ready_pool_remains_candidate_only,ACTIVE,ready_rows_are_not_product_or_baseline_evidence,controlled_method_reference,operational_promotion,YES,A4R195_C,seven_ready_rows
DEC-009,hold_events,hold_events_remain_not_overclassified,ACTIVE,technical_or_source_limits_persist,source_recovery_and_boundary_review,forced_ready_promotion,YES,A4R195_C,delta_colgan_usair_5n_and_legacy_holds
DEC-010,output_codes,selected_released_final_outputs_blocked,ACTIVE,candidate_and_synthetic_tracks_cannot_emit_operational_outputs,none,selected_released_final_outputs,YES,A4R195_C,locks_must_remain_closed
DEC-011,downstream_taxonomy,hfacs_risk_arms_recommendation_outputs_blocked,ACTIVE,comparative_and_risk_layers_not_poa_determinants,none,downstream_taxonomy_outputs,YES,A4R195_C,context_only_if_needed
DEC-012,rr001,rr001_remains_open,ACTIVE,residual_lexical_agent_ambiguity_persists,none,premature_product_release,NO,A4R195_C,track_until_explicit_closure
DEC-013,rr003,rr003_remains_partially_mitigated,ACTIVE,intake_and_governance_improved_but_not_closed,none,premature_product_release,NO,A4R195_C,still_requires_controls
DEC-014,baseline_package,baseline_methodology_package_may_be_planned_not_promoted,ACTIVE,planning_can_start_without_promotion,design_only_planning,baseline_promotion,YES,A4R195_C,independent_gate_needed
DEC-015,next_route,a4r195_c_should_be_decision_or_source_recovery_plan_not_product,ACTIVE,governance_before_execution,decision_intake_or_source_plan,product_implementation_path,YES,A4R195_C,do_not_start_product
