gap_id,gap_name,status,real_event_basis,synthetic_status,current_artifact,next_allowed_action,blocked_actions,notes
GAP-001,PF_PM_separation,DESIGN_ADVANCED_TO_A4R194_I_AUTHORIZATION_GUARDRAIL,Asiana_214_Comair_5191_and_related_boundary_cases,DRAFT_DESIGN_ONLY_PLUS_AUTHORIZATION_GUARDRAIL_NO_FIXTURE_NO_BASELINE,A4R194_E_H_I_J_scope,A4R195_B_decision_then_possible_A4R194_J_only_if_authorized,fixture_baseline_product_release_materialization_without_authorization,PF_primary_boundary_PM_primary_requires_separate_draft
GAP-002,Agent_migration,GAP_DESIGN_ONLY_A4R193_P_Q,Colgan_3407_and_progressive_agent_cases,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
GAP-003,Actor_specific_sequenceRef,GAP_DESIGN_ONLY_A4R193_P_Q,crew_collective_sequence_cases,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
GAP-004,Consequence_as_cause,GAP_DESIGN_ONLY_A4R193_P_Q,multiple_ready_and_hold_cases,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
GAP-005,Technical_environment_negative_control,GAP_DESIGN_ONLY_A4R193_P_Q,Delta_191_USAir_427_5N_BQJ,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,technical_condition_negative_control
GAP-006,Warning_callout_go_around_mechanism,GAP_DESIGN_ONLY_A4R193_P_Q,American_1420_and_approach_boundary_cases,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
GAP-007,Crew_collective_vs_individual_actor,GAP_DESIGN_ONLY_A4R193_P_Q,crew_collective_ready_rows,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
GAP-008,Progressive_zone_anchor_precision,GAP_DESIGN_ONLY_A4R193_P_Q,United_173_American_965_and_progressive_cases,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
GAP-009,Automation_FMS_ambiguity,GAP_DESIGN_ONLY_A4R193_P_Q,American_965_and_automation_boundary_cases,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
GAP-010,Colgan_style_boundary_decision,GAP_DESIGN_ONLY_A4R193_P_Q,Colgan_3407_agent_migration_boundary,NO_SYNTHETIC_CASE,A4R193_P_Q,A4R195_B_decision_register,fixture_baseline_product_release,design_only
