axis,code,currentP1Coverage,inventoryPotential,batchSelectedPotential,gapAfterBatchSelection,syntheticCandidateLater,priorityAfterA4R179,notes
P,P-A,covered_by_P1B_Captain_PM,MEDIUM_POTENTIAL,MEDIUM_POTENTIAL,NEEDS_REAL_REPLICATION,YES_IF_REAL_GAP_PERSISTS,P2,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
P,P-B,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
P,P-C,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
P,P-D,covered_by_P1B_FO_PF,MEDIUM_POTENTIAL,MEDIUM_POTENTIAL,NEEDS_REAL_REPLICATION,YES_IF_REAL_GAP_PERSISTS,P2,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
P,P-E,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
P,P-F,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
P,P-G,covered_by_P1A_DAUMAS,MEDIUM_POTENTIAL,MEDIUM_POTENTIAL,NEEDS_REAL_REPLICATION,YES_IF_REAL_GAP_PERSISTS,P2,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
P,P-H,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
O,O-A,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
O,O-B,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
O,O-C,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
O,O-D,covered_by_P1A_and_P1B,MEDIUM_POTENTIAL,MEDIUM_POTENTIAL,NEEDS_REAL_REPLICATION,YES_IF_REAL_GAP_PERSISTS,P2,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
O,O-E,not_active_in_P1,NOT_ACTIVE,NOT_ACTIVE,NOT_ACTIVE,NOT_ACTIVE,HOLD,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-A,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-B,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-C,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-D,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-E,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-F,covered_by_P1A_DAUMAS,MEDIUM_POTENTIAL,MEDIUM_POTENTIAL,NEEDS_REAL_REPLICATION,YES_IF_REAL_GAP_PERSISTS,P2,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-G,covered_by_P1B_Captain_PM,MEDIUM_POTENTIAL,MEDIUM_POTENTIAL,NEEDS_REAL_REPLICATION,YES_IF_REAL_GAP_PERSISTS,P2,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-H,covered_by_P1B_FO_PF,MEDIUM_POTENTIAL,MEDIUM_POTENTIAL,NEEDS_REAL_REPLICATION,YES_IF_REAL_GAP_PERSISTS,P2,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
A,A-I,not_covered_in_P1,HIGH_POTENTIAL,HIGH_POTENTIAL,REDUCED_BUT_OPEN,NO_REAL_EVENT_FIRST,P1,batch potential hypothesis from A4R179 selection matrix; HIGH_POTENTIAL is not adjudicated coverage and does not close methodological gap; sem classificacao SERA final
