"extraction_rank","candidate_id","event_name","extraction_reason","required_source","required_detail_fields","expected_gap_value","why_not_summary_only","minimum_success_criteria","priority","status"
"1","C-002","Asiana 214","Correct non-primary source marker and exploit existing high-detail source base","NTSB AAR-14/01 official locator","mode sequence; energy profile; PF/PM calls; FDR/CVR timeline; procedure context","automation mode awareness and monitoring","Summary hides mode-state transitions and callout timing","Official locator plus actor-bound timeline around energy divergence","HIGH","QUEUED_NOT_EXTRACTED"
"2","C-003","UPS 1354","High-value nonprecision CFIT with fatigue and monitoring detail","NTSB AAR-14/02 official locator","altitude/distance profile; stabilized approach criteria; CVR callouts; GPWS timing","unstable approach continuation","Summary cannot establish pre-impact escape candidate","Timeline identifies first unsafe vertical profile without using impact as anchor","HIGH","QUEUED_NOT_EXTRACTED"
"3","C-007","G-WNSB Sumburgh","Offshore rotorcraft case with official AAIB source and HF focus","AAIB AAR 1/2016 official PDF","energy state; mode usage; monitoring division; approach gates; CVR/FDR equivalents","offshore rotorcraft monitoring","Summary risks collapsing low-energy state into later loss of control","Actor-bound timeline separates energy degradation from consequence","HIGH","QUEUED_NOT_EXTRACTED"
"4","C-020","Comair 5191","Wrong-runway ground SA case already represented but needing clean source sequence","NTSB AAR-07/05 / DCA06MA064","taxi clearance; runway/taxiway cues; heading check; nonpertinent conversation; takeoff roll","surface situational awareness","Summary cannot show which cues were available before lineup","Official locator and sequence from taxi clearance to runway alignment","HIGH","QUEUED_NOT_EXTRACTED"
"5","C-006","Turkish 1951","Perplexity source marker was unacceptable but case is methodologically useful","Dutch Safety Board official report","autothrottle/radio-altimeter state; speed decay; crew monitoring; callouts; recovery timing","automation-energy boundary","YouTube or narrative summaries do not prove source-depth","Official report locator and timeline around speed/automation divergence","HIGH","SOURCE_LOCATOR_REQUIRED"
"6","C-009","Spanair JK5022","Configuration warning/checklist case with weak submitted source","CIAIAC A-032/2008 official report","checklist sequence; flap/slat configuration; TOWS status; CVR callouts; maintenance context","configuration/procedure monitoring","Public summaries overfit to outcome and TOWS conclusion","Official report locator and factual sequence before takeoff roll","HIGH","SOURCE_LOCATOR_REQUIRED"
"7","C-010","Pel-Air VH-NGA","Complex fuel/weather decision chain needs official ATSB source","ATSB AO-2009-072 official report","dispatch/weather info flow; fuel planning; approach attempts; crew decisions; timeline","fuel/weather objective chain","Aviation media summaries cannot support SERA source slice","Official ATSB locator and timeline separating facts from external conclusions","HIGH","SOURCE_LOCATOR_REQUIRED"
"8","C-004","First Air 6560","Strong CRM/divergent mental model case but needs precise sequence","TSB A11H0002 official report","localizer profile; PF/PM disagreement; callouts; GPWS; FDR/CVR timeline","CRM divergent situation model","Summary cannot determine actor-bound escape candidate","TSB source with PF/PM timeline and warning/callout sequence","MEDIUM_HIGH","QUEUED_NOT_EXTRACTED"
"9","C-022","Air France 358","Perplexity link mismatch requires correction before use","TSB A05H0002 official report","weather sequence; touchdown point; reverser/braking timing; CVR callouts; runway state","landing continuation/weather","Wrong link contaminates source identity","Correct TSB locator and timeline around landing decision and touchdown","MEDIUM_HIGH","SOURCE_LINK_CORRECTION_REQUIRED"
"10","C-021","TransAsia GE235","Potentially rich but source locator in Perplexity was generic/repeated","Taiwan ASC/TTSB official report","engine/autofeather sequence; crew responses; callouts; aircraft state; FDR/CVR","technical-human response boundary","Summary risks forced human reentry after technical trigger","Official report locator and response timeline without using final outcome as cause","MEDIUM","SOURCE_LOCATOR_REQUIRED"
"11","C-024","Korean Air Cargo 8509","Possible useful attitude/CRM boundary but source requires validation","AAIB/official translation locator","instrument comparator evidence; attitude indication; crew communications; night departure sequence","attitude indicator/CRM boundary","Unvalidated translations or dockets are not enough","Authority source confirmed and timeline extracted from factual sections","MEDIUM","HOLD_SOURCE_VALIDATION"
"12","C-028","Aeroperu 603","Could be useful but submitted source was secondary","DGAC Peru or official report locator","static port masking; instrument warnings; crew interpretation; ATC communications; timeline","instrument ambiguity boundary","Skybrary is only a secondary gateway","Primary source recovered or candidate replaced","LOW_MEDIUM","REJECT_UNLESS_PRIMARY_SOURCE_RECOVERED"
"13","C-029","Emirates A380 / Emirates candidate","Identity and source are uncertain","UAE GCAA/AAIS or TSIB official locator","event identity; aircraft type; sequence; crew actions; authority report","unknown","Simple Flying summary cannot establish event suitability","Official authority source and event identity confirmed","LOW","REJECT_OR_REPLACE"
