test,category,root_cause,affected_files,expected_behavior,actual_behavior,fix_required,methodology_impact,product_impact,blocking
"tests/sera-vnext/company-dashboard-readiness-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/controlled-pilot-api-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/controlled-pilot-ui-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/expanded-cohort-runner-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/expanded-cohort-security-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/frontend-auth-tenant-readiness-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/frontend-error-observability-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/frontend-navigation-readiness-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/frontend-responsive-readiness-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/frontend-sera-vnext-e2e-readiness-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
