eventIdOrFile,previousA4R152Completeness,a4r153Overlay,a4r154Completeness,fullTextAvailable,deepReviewEligible,sourceCritiqueOnly,negativeControlEligible,requiredRecovery,phaseBlockedUntil,notes
COMAIR-5191,TXT_FULL_TEXT,UNCHANGED,TXT_FULL_TEXT_VERIFIED,YES,YES,NO,NO,none,N/A,Small-batch candidate remains clean.
COLGAN-3407,TXT_FULL_TEXT,ALIAS_NEIGHBOR_BS211,TXT_FULL_TEXT_VERIFIED,YES,YES,NO,NO,none,N/A,Keep Colgan source and isolate BS211 collision.
EXECUFLIGHT-1526,TXT_FULL_TEXT,UNCHANGED,TXT_FULL_TEXT_VERIFIED,YES,YES,NO,NO,none,N/A,Small-batch candidate remains clean.
HELIOS-522,TXT_FULL_TEXT,UNCHANGED,TXT_FULL_TEXT_VERIFIED,YES,YES,NO,NO,official-link reconfirmation only,N/A,Allowed for gate prep only under no-POA lock.
US-AIRWAYS-1549,TXT_FULL_TEXT,KEEP_NEGATIVE_CONTROL,TXT_FULL_TEXT_VERIFIED,YES,YES,NO,YES,none,N/A,Active negative control retained.
EC225-G-REDW-G-CHCN,TXT_FULL_TEXT,KEEP_NEGATIVE_CONTROL,TXT_FULL_TEXT_VERIFIED,YES,YES,NO,YES,none,N/A,Active negative control retained.
COUGAR-A09A0016,TXT_FULL_TEXT,KEEP_WITH_ESCAPE_POINT_CAUTION,TXT_FULL_TEXT_WITH_CAUTION,YES,YES,NO,YES,caution annotation maintenance,N/A,Usable with explicit caution.
DELTA-191 (TXT-040/TXT-062/NEW50-11),TXT_FULL_TEXT,OCR_REQUIRED,OCR_REQUIRED,PARTIAL,NO,YES,NO,OCR and registry reconciliation,SOURCE_HARDENING,Blocked until OCR recovery.
QANTAS-QF32,METADATA_ONLY,SOURCE_RECOVERY_PENDING,SOURCE_RECOVERY_PENDING,NO,NO,YES,NO,extract TXT from official report,SOURCE_HARDENING,Blocked as negative control.
QANTAS-QF72,METADATA_ONLY,SOURCE_RECOVERY_PENDING,SOURCE_RECOVERY_PENDING,NO,NO,YES,NO,confirm final report and extract TXT,SOURCE_HARDENING,Blocked as negative control.
AIR-FRANCE-AF66,METADATA_ONLY,SOURCE_RECOVERY_PENDING,SOURCE_RECOVERY_PENDING,NO,NO,YES,NO,extract TXT from official report,SOURCE_HARDENING,Blocked as negative control.
TUROY-EC225,TXT_USABLE_WITH_CAUTION,FUTURE_CONTROL_AFTER_OCR,OCR_REQUIRED,PARTIAL,NO,YES,NO,OCR recovery,SOURCE_HARDENING,Future negative control only.
BS211-Q400,TXT_FULL_TEXT,NO_LOCAL_VALID_SOURCE,NO_VALID_LOCAL_SOURCE,NO,NO,YES,NO,official source recovery and remap,SOURCE_HARDENING,Cross-event misattribution must be resolved.
G-WNSB-SUMBURGH,TXT_FULL_TEXT,HTML_STATUS_ONLY_SOURCE_PENDING,HTML_STATUS_ONLY_SOURCE_PENDING,NO,NO,YES,NO,full AAIB AAR extraction,SOURCE_HARDENING,False full-text claim corrected.
ASIANA-214,TXT_FULL_TEXT,STATUS_CONFLICT,STATUS_CONFLICT_REQUIRES_SINGLE_AUTHORITY_DECISION,YES,NO,YES,NO,single authority decision,STATUS_DECISION,Layer conflict unresolved.
pdf24_merged-5.txt,TXT_FULL_TEXT,OUT_OF_SCOPE_REFERENCE_MATERIAL,OUT_OF_SCOPE_REFERENCE_MATERIAL,YES,NO,YES,NO,none,PERMANENT_QUARANTINE,Non-event reference material.
pdf24_merged-6.txt,TXT_FULL_TEXT,OUT_OF_SCOPE_REFERENCE_MATERIAL,OUT_OF_SCOPE_REFERENCE_MATERIAL,YES,NO,YES,NO,none,PERMANENT_QUARANTINE,Non-event dissertation material.
pdf24_merged-7.txt,TXT_FULL_TEXT,OUT_OF_SCOPE_REFERENCE_MATERIAL,OUT_OF_SCOPE_REFERENCE_MATERIAL,YES,NO,YES,NO,none,PERMANENT_QUARANTINE,DoD HFACS guide only.
pdf24_merged-8.txt,TXT_FULL_TEXT,OUT_OF_SCOPE_REFERENCE_MATERIAL,OUT_OF_SCOPE_REFERENCE_MATERIAL,YES,NO,YES,NO,none,PERMANENT_QUARANTINE,Engineering paper only.
pdf24_merged-2.txt,TXT_FULL_TEXT,JOURNALISM_NOT_REPORT,JOURNALISM_NOT_REPORT,YES,NO,YES,NO,official source recovery if event remains in scope,PERMANENT_QUARANTINE,Not official report evidence.
pdf24_merged.txt,TXT_FULL_TEXT,JOURNALISM_NOT_REPORT,JOURNALISM_NOT_REPORT,YES,NO,YES,NO,official source recovery if event remains in scope,PERMANENT_QUARANTINE,Not official report evidence.
pdf24_merged-3.txt,TXT_FULL_TEXT,BULLETIN_INDEX_MULTI_EVENT,BULLETIN_INDEX_MULTI_EVENT,YES,NO,YES,NO,none,PERMANENT_QUARANTINE,Index source only, not single-event report.
N8DX / REAL-EVENT-0016,SOURCE_RECOVERY_PENDING,JOURNALISM_COLLISION_DETECTED,OFFICIAL_TARGET_CONFIRMED_OCR_REQUIRED,PARTIAL,NO,YES,NO,NTSB docket-based extraction strategy,SOURCE_HARDENING,Official source target confirmed, extraction pending.
EASTERN-401,TXT_USABLE_WITH_CAUTION,UNCHANGED,OFFICIAL_PDF_CONFIRMED_OCR_RISK,PARTIAL,NO,YES,NO,OCR recovery,SOURCE_HARDENING,High-value recovery target.
AIR-FRANCE-F-GRHT,METADATA_ONLY,UNCHANGED,OFFICIAL_TARGET_CONFIRMED,NO,NO,YES,NO,extract TXT from BEA report,SOURCE_HARDENING,High-value recovery target.
COUGAR-A11H0001,METADATA_ONLY,UNCHANGED,OFFICIAL_TARGET_HTML_ONLY,NO,NO,YES,NO,structured HTML extraction,SOURCE_HARDENING,High-value recovery target.
CHO-A19A0055,METADATA_ONLY,UNCHANGED,OFFICIAL_TARGET_HTML_ONLY,NO,NO,YES,NO,structured HTML extraction,SOURCE_HARDENING,High-value recovery target.
