adjudicationId,sourceExtractionId,eventKey,batch,adjudicationStatus,narrativeSufficiency,sourceDirectness,duplicateGroup,proposedEscapePointScope,proposedDirectActorModel,actorContributionMode,potentialP,potentialO,potentialA,notFinalClassification,mainRisk,authorDecisionQuestion,allowedAnswers,nextStep
A4R181-ADJ-0001,A4R180-EXTRACTION-0001,Asiana 214 SFO,BATCH_A,READY_FOR_AUTHOR_DECISION,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,ZONE_STABILIZED_APPROACH_GATE,FLIGHT_CREW_INTEGRATED_BLOCK,SINGLE_ESCAPE_POINT_POSSIBLE_MULTI_ACTOR,HYP_P_mode_awareness_gap,HYP_O_continued_unstable_approach,HYP_A_late_or_absent_goaround,true,Confundir impacto contra seawall (outcome) com ponto de fuga; double-count entre P e A,O escopo de ponto de fuga (gate de aproximacao estabilizada como zona) e o modelo de ator (bloco de tripulacao) sao defensaveis para decisao autoral?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao autoral registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0002,A4R180-EXTRACTION-0002,Comair 5191 LEX,BATCH_A,READY_FOR_AUTHOR_DECISION,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,ZONE_RUNWAY_VERIFICATION_LINEUP_TO_POWER,FLIGHT_CREW_INTEGRATED_BLOCK,SINGLE_ESCAPE_POINT_POSSIBLE_MULTI_ACTOR,HYP_P_runway_identity_awareness_gap,HYP_O_continued_takeoff_wrong_runway,HYP_A_no_verification_no_reject,true,Tres momentos candidatos (hold-short/lineup/inicio da corrida) sem priorizacao; contribuicao ATC contextual,A priorizacao do ponto de fuga entre entrada/lineup/inicio de corrida deve ser deixada como zona com SOURCE_PARTIAL para decisao autoral?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao autoral registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0003,A4R180-EXTRACTION-0003,American 1420 LIT,BATCH_A,READY_FOR_AUTHOR_DECISION,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,ZONE_FINAL_APPROACH_GOAROUND_DECISION,FLIGHT_CREW_INTEGRATED_BLOCK,SINGLE_ESCAPE_POINT_POSSIBLE_MULTI_ACTOR,HYP_P_visual_reference_windshear_cues,HYP_O_continued_landing_under_windshear,HYP_A_no_goaround_plus_technical_spoiler_branch,true,Boundary humano (decisao de prosseguir) vs tecnico (assimetria de spoiler) pode contaminar A-axis,O ponto de fuga primario (decisao de pousar sob windshear ativa) deve preceder o desdobramento tecnico de spoiler para o A-axis?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao autoral registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0004,A4R180-EXTRACTION-0004,Colgan 3407 BUF,BATCH_B,FRAMING_DECISION_REQUIRED,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,SINGLE_ESCAPE_POINT_MULTI_ACTOR,CAPTAIN_PF_PLUS_FO_PM,SINGLE_ESCAPE_POINT_MULTI_ACTOR,HYP_P_low_speed_awareness,HYP_O_continued_approach_to_stall_regime,HYP_A_aft_column_plus_flap_retraction,true,Fundir CPT e FO em analise generica de tripulacao; usar percepcao de um ator para classificar acao do outro,Confirmar single escapePointId com actorContributionId distintos para Captain (PF) e FO (PM) antes de qualquer draft?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao de framing multi-actor registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0005,A4R180-EXTRACTION-0005,Helios 522,BATCH_B,FRAMING_DECISION_REQUIRED,NARRATIVE_THIN_NEEDS_ENRICHMENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,BOUNDARY_CAPABILITY_INCAPACITATION,CREW_CAPABILITY_DECISION_SCOPE,SINGLE_ACTOR_WITH_CAPABILITY_BOUNDARY,HYP_P_pressurization_config_awareness,HYP_O_continued_climb_unpressurized,HYP_A_capability_boundary_hypoxia,true,Tratar incapacitacao por hipoxia como acao humana padrao quando ha boundary de capability,O caso deve ser adjudicado com escopo dedicado de capability/incapacitation boundary em vez de A-axis humano padrao?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao de boundary registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0006,A4R180-EXTRACTION-0006,UPS 1354 BHM,BATCH_A,READY_FOR_AUTHOR_DECISION,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,ZONE_STABILIZED_APPROACH_GATE_1000FT,CAPTAIN_MODE_CHANGER_PLUS_FO_MONITOR,SINGLE_ESCAPE_POINT_POSSIBLE_MULTI_ACTOR,HYP_P_invalid_glidepath_not_recognized,HYP_O_continued_descent_high_rate,HYP_A_mode_change_no_brief_no_goaround,true,Mode change sem briefing cria boundary multi-actor implicito; double-count do mesmo fato em P/O/A,O ponto de fuga no gate de 1000 ft AFE com razao de descida sustentada e defensavel como zona primaria com possivel desdobramento multi-actor?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao autoral registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0007,A4R180-EXTRACTION-0007,Atlas 3591,BATCH_C,CONSOLIDATION_REQUIRED,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,DUPLICATE_GROUP_ATLAS_3591,SINGLE_ESCAPE_POINT_MULTI_ACTOR,FO_PF_PLUS_CAPTAIN_PM,SINGLE_ESCAPE_POINT_MULTI_ACTOR,HYP_P_mode_toggle_somatogravic_context,HYP_O_continued_nose_down_inputs,HYP_A_fo_nose_down_plus_late_cpt_intervention,true,Adjudicar 0007 e 0008 separadamente sobre o mesmo evento fisico (double adjudication),Consolidar 0007 + 0008 em UMA adjudicacao multi-actor (Atlas 3591) antes de qualquer decisao de eixo?,APROVO|NAO APROVO|PRECISO REVISAR,Consolidacao com 0008 registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0008,A4R180-EXTRACTION-0008,Atlas 3591,BATCH_C,CONSOLIDATION_REQUIRED,SOURCE_PARTIAL_NEEDS_CAUTION,SOURCE_PDF_NOT_READ_DIRECT,DUPLICATE_GROUP_ATLAS_3591,SINGLE_ESCAPE_POINT_MULTI_ACTOR,FO_PF_PLUS_CAPTAIN_PM,SINGLE_ESCAPE_POINT_MULTI_ACTOR,UNKNOWN,UNKNOWN,UNKNOWN,true,Duplicata do evento fisico Atlas 3591 (par de 0007); PDF nao lido diretamente,Confirmar que 0008 e consolidado em 0007 (mesma adjudicacao) e nao recebe adjudicacao independente?,APROVO|NAO APROVO|PRECISO REVISAR,Consolidacao com 0007 registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0009,A4R180-EXTRACTION-0009,US Airways 1549,BATCH_C,CONSOLIDATION_REQUIRED,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,DUPLICATE_GROUP_US_AIRWAYS_1549,NEGATIVE_CONTROL_NOMINAL_TRAJECTORY,FLIGHT_CREW_INTEGRATED_BLOCK,SINGLE_ACTOR_NEGATIVE_CONTROL,HYP_P_birdstrike_thrust_loss_awareness_nominal,HYP_O_ditching_decision_nominal,HYP_A_force_landing_execution_nominal,true,Usar outcome bem-sucedido (ditching) como prova de ausencia de falha; nao documentar eixos nominais,Confirmar consolidacao 0009 + 0019 como UMA adjudicacao negative control com eixos nominais documentados explicitamente?,APROVO|NAO APROVO|PRECISO REVISAR,Consolidacao negative control com 0019 registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0010,A4R180-EXTRACTION-0010,American 965 Cali,BATCH_B,FRAMING_DECISION_REQUIRED,NARRATIVE_SUFFICIENT,SOURCE_PDF_NOT_READ_DIRECT,,SINGLE_ESCAPE_POINT_MULTI_ACTOR,CAPTAIN_FMS_DECISION_PLUS_FO_CONTROLS_PLUS_ATC_CONTEXT,SINGLE_ESCAPE_POINT_MULTI_ACTOR,HYP_P_position_terrain_awareness_gap,HYP_O_continued_descent_during_fms_confusion,HYP_A_fms_entry_plus_speedbrake_extended,true,Manter framing de negative control (incorreto) em vez de multi-actor CFIT; negativeControlHandled=false,Confirmar reclassificacao de negative control para multi-actor CFIT (Captain + FO + ATC contextual) antes de qualquer draft?,APROVO|NAO APROVO|PRECISO REVISAR,Reclassificacao multi-actor registrada em A4R182 sem fechamento P/O/A
