case_id,case_title,case_type,source_type,sensitivity,narrative,expected_review_difficulty,primary_boundary,secondary_boundary,required_reviewer_focus,shared_case,suggested_reviewer_slot,notes
HP-001,[SERA_VNEXT_HUMAN_PILOT] Clean anchor - stabilized approach go-around,GROUP_A_SIMPLE,synthetic_internal,LOW_NON_REAL,"During a training approach the aircraft became clearly high and fast before the configured gate. The pilot flying called unstable and the crew initiated a go-around before descent below the safe stabilized window. The direct actor and escape point are explicit and no technical failure is described.",LOW,clean anchor,stable approach gate,"Confirm the escape point is the first useful go-around opportunity and not the later go-around action.",NO,REVIEWER-01,Simple anchor for onboarding calibration.
HP-002,[SERA_VNEXT_HUMAN_PILOT] Clear callout missed before checklist closure,GROUP_A_SIMPLE,synthetic_internal,LOW_NON_REAL,"During taxi the crew received a checklist reminder before entering an active taxi route. The pilot monitoring called that the checklist item was still open. The pilot flying continued the taxi turn for several seconds before stopping after a second callout.",LOW,CRM/callout,action omission,"Separate the first missed callout response from the later stop.",YES,REVIEWER-02,Shared for basic reviewer agreement.
HP-003,[SERA_VNEXT_HUMAN_PILOT] Clear taxi hold short opportunity,GROUP_A_SIMPLE,synthetic_internal,LOW_NON_REAL,"Ground control instructed the aircraft to hold short of a named taxiway. The crew read back correctly. Approaching the line the pilot flying had clear signage and adequate speed to stop but crossed the line before stopping on the other side.",LOW,wrong runway/taxiway style,direct actor clarity,"Check direct actor and first stop opportunity.",NO,REVIEWER-03,Simple surface movement case.
HP-004,[SERA_VNEXT_HUMAN_PILOT] Clear checklist interruption recovery,GROUP_A_SIMPLE,synthetic_internal,LOW_NON_REAL,"A cabin call interrupted a normal checklist. After the call ended the pilot monitoring announced that the checklist had not been resumed. The crew resumed promptly and completed the item before any degraded state occurred.",LOW,no-failure,precondition separation,"Confirm whether there is any unsafe act or whether the correct result is no failure.",NO,REVIEWER-04,Simple no-failure boundary.
HP-005,[SERA_VNEXT_HUMAN_PILOT] Clear warning acknowledged and corrected,GROUP_A_SIMPLE,synthetic_internal,LOW_NON_REAL,"During climb a configuration advisory appeared. The pilot flying saw the advisory immediately and corrected the configuration before the aircraft left the safe envelope. No adverse outcome occurred and no unresolved unsafe state remained.",LOW,no-failure,warning response,"Avoid converting a resolved advisory into a causal candidate.",NO,REVIEWER-05,Simple resolved warning case.
HP-006,[SERA_VNEXT_HUMAN_PILOT] Automation mode boundary during descent,GROUP_B_BOUNDARY,synthetic_internal,LOW_NON_REAL,"During descent the crew expected managed vertical guidance to capture a restriction. The aircraft remained in the prior mode and began to drift above the planned path. A mode annunciation was visible before the deviation became operationally relevant.",MEDIUM,automation boundary,action coherent with wrong perception,"Assess whether the action was coherent with wrong perception or a monitoring omission.",YES,REVIEWER-01,Shared automation boundary.
HP-007,[SERA_VNEXT_HUMAN_PILOT] FMC altitude entry near MDA,GROUP_B_BOUNDARY,synthetic_internal,LOW_NON_REAL,"On a non-precision approach the crew discussed the minimum descent altitude while entering a target altitude in the flight management system. The aircraft descended toward the selected altitude. The record shows the entry and later correction but not the exact awareness state at the first unsafe opportunity.",MEDIUM,procedural/FMC/MDA boundary,evidence insufficient,"Distinguish procedure setup evidence from awareness evidence.",NO,REVIEWER-02,FMC and MDA boundary.
HP-008,[SERA_VNEXT_HUMAN_PILOT] Visual approach degradation with late go-around,GROUP_B_BOUNDARY,synthetic_internal,LOW_NON_REAL,"The crew accepted a visual approach in marginal visibility. Visual cues degraded as the aircraft turned final. The approach remained controllable for a short period before alignment and descent rate became unstable. The go-around occurred only after a further sink-rate alert.",HIGH,visual approach degradation,unstable approach continuation,"Identify the first useful escape point without using later consequences as cause.",YES,REVIEWER-03,Shared difficult visual boundary.
HP-009,[SERA_VNEXT_HUMAN_PILOT] Unstable approach continuation after explicit gate,GROUP_B_BOUNDARY,synthetic_internal,LOW_NON_REAL,"At the stabilized approach gate the aircraft was not fully configured and descent rate exceeded the internal limit. The pilot monitoring announced unstable. The pilot flying continued the approach for another segment and corrected only after a second deviation.",MEDIUM,unstable approach continuation,warning ignored,"Check whether the first gate is the escape point and whether continuation is the unsafe action.",NO,REVIEWER-04,Unstable continuation case.
HP-010,[SERA_VNEXT_HUMAN_PILOT] Wrong taxiway lineup with signage available,GROUP_B_BOUNDARY,synthetic_internal,LOW_NON_REAL,"At night the aircraft lined up on a parallel taxiway instead of the assigned runway. Signage and lighting cues were available before the turn. The crew later recognized the mismatch after tower queried their position.",HIGH,wrong runway/taxiway style,perception boundary,"Test perception evidence and avoid hindsight from the tower query.",NO,REVIEWER-05,Surface alignment boundary.
HP-011,[SERA_VNEXT_HUMAN_PILOT] Technical dominant sensor failure,GROUP_C_INSUFFICIENT_TECHNICAL,synthetic_internal,LOW_NON_REAL,"A sensor failed abruptly and produced invalid data. The alert occurred at the same moment the automated protection triggered. The available narrative does not show a prior human opportunity to detect or avoid the failure before the protection activated.",MEDIUM,technical-dominant,no human escape point,"Confirm technical dominance and avoid forcing a human causal candidate.",NO,REVIEWER-01,Technical dominant case.
HP-012,[SERA_VNEXT_HUMAN_PILOT] Sparse report with insufficient evidence,GROUP_C_INSUFFICIENT_TECHNICAL,synthetic_internal,LOW_NON_REAL,"A short internal report says the aircraft deviated from the assigned altitude and later returned to clearance. It does not state who was flying what the crew saw what automation mode was active or what callouts occurred before the deviation.",HIGH,evidence insufficient,PF/PM ambiguity,"Use more-evidence decision when actor and awareness cannot be supported.",YES,REVIEWER-02,Shared insufficient evidence case.
HP-013,[SERA_VNEXT_HUMAN_PILOT] Environmental gust dominant event,GROUP_C_INSUFFICIENT_TECHNICAL,synthetic_internal,LOW_NON_REAL,"A sudden gust during flare caused a short lateral drift. The crew corrected promptly and remained within runway limits. No report evidence indicates a prior unstable approach or ignored warning.",MEDIUM,environmental-dominant,no-failure,"Separate environmental disturbance from causal human act.",NO,REVIEWER-03,Environmental dominant case.
HP-014,[SERA_VNEXT_HUMAN_PILOT] Nuisance caution with correct crew response,GROUP_C_INSUFFICIENT_TECHNICAL,synthetic_internal,LOW_NON_REAL,"A nuisance caution appeared during cruise. The crew followed the checklist and confirmed normal system indications. Maintenance later found a wiring fault unrelated to crew operation.",LOW,no-failure,technical-dominant,"Avoid converting maintenance finding into pilot causal classification.",NO,REVIEWER-04,No-failure technical case.
HP-015,[SERA_VNEXT_HUMAN_PILOT] Sudden bird strike with no prior escape,GROUP_C_INSUFFICIENT_TECHNICAL,synthetic_internal,LOW_NON_REAL,"During climb a bird strike occurred suddenly. The first cue was impact noise and vibration. The crew declared abnormal operation and returned. The record shows no prior cue or avoidable operational decision point.",MEDIUM,no human escape point,technical-dominant,"Confirm no human escape point rather than forcing P/O/A.",NO,REVIEWER-05,No prior escape case.
HP-016,[SERA_VNEXT_HUMAN_PILOT] Offshore helicopter deck weather squeeze,GROUP_D_OPERATIONAL_MIXED,synthetic_internal,LOW_NON_REAL,"An offshore helicopter approached a deck while rain showers reduced visual reference. The pilot had a brief window to discontinue before losing stable deck reference. The crew continued toward the deck and initiated a missed approach after the deck reference degraded further.",HIGH,offshore/helicopter style,progressive escape zone,"Evaluate progressive escape zone and visual reference evidence.",YES,REVIEWER-01,Shared offshore style case.
HP-017,[SERA_VNEXT_HUMAN_PILOT] PF PM ambiguity after late speed callout,GROUP_D_OPERATIONAL_MIXED,synthetic_internal,LOW_NON_REAL,"On approach the pilot monitoring called speed high. The pilot flying acknowledged but the aircraft remained fast. The record does not clearly show whether the pilot flying commanded correction or whether automation captured the selected target.",HIGH,PF/PM ambiguity,automation boundary,"Separate actor responsibility from ambiguous automation response.",NO,REVIEWER-02,PF PM ambiguity case.
HP-018,[SERA_VNEXT_HUMAN_PILOT] Strong fatigue precondition but clear action point,GROUP_D_OPERATIONAL_MIXED,synthetic_internal,LOW_NON_REAL,"After a long duty period the crew accepted a late runway change. Fatigue and workload were documented. The first useful escape point occurred when the crew identified that the brief was incomplete but chose to continue taxiing toward departure.",MEDIUM,precondition confusion,procedural boundary,"Keep fatigue as precondition and not as the escape point.",NO,REVIEWER-03,Precondition separation case.
HP-019,[SERA_VNEXT_HUMAN_PILOT] Progressive escape zone in deteriorating approach,GROUP_D_OPERATIONAL_MIXED,synthetic_internal,LOW_NON_REAL,"The aircraft gradually drifted above profile during a step-down approach. Several small deviations accumulated before a clear stabilized-criteria breach. The crew corrected intermittently but never fully restored the profile before continuing.",HIGH,progressive escape zone,unstable approach continuation,"Choose a defensible first useful escape point without overfitting late evidence.",NO,REVIEWER-04,Progressive zone case.
HP-020,[SERA_VNEXT_HUMAN_PILOT] Callout acknowledged but not acted on,GROUP_D_OPERATIONAL_MIXED,synthetic_internal,LOW_NON_REAL,"The pilot monitoring called that the aircraft was below target speed. The pilot flying acknowledged the callout and stated that thrust was coming up but the thrust levers remained unchanged until a low-speed alert occurred.",HIGH,CRM/callout,warning ignored,"Assess action omission and warning sequence without making the alert the cause.",YES,REVIEWER-05,Shared CRM warning case.
HP-021,[SERA_VNEXT_HUMAN_PILOT] Consequence as cause trap,GROUP_E_ADVERSARIAL,synthetic_internal,LOW_NON_REAL,"The aircraft touched down long and braking distance became limited. The narrative strongly emphasizes the runway excursion. Earlier in the sequence the aircraft crossed the threshold high and fast while a safe go-around opportunity remained available.",HIGH,consequence-as-cause,unstable approach continuation,"Do not classify the excursion consequence as the causal point.",NO,REVIEWER-01,Adversarial consequence trap.
HP-022,[SERA_VNEXT_HUMAN_PILOT] Post escape evidence trap,GROUP_E_ADVERSARIAL,synthetic_internal,LOW_NON_REAL,"After the aircraft passed below minimums the crew reported that runway lights looked misaligned. The earlier record shows the approach had already lost required visual reference before the light observation. The later observation may explain continuation but occurs after the useful escape point.",HIGH,post-escape evidence trap,visual approach degradation,"Exclude post-escape evidence from the initial escape point classification.",NO,REVIEWER-02,Adversarial post escape case.
HP-023,[SERA_VNEXT_HUMAN_PILOT] O-C temptation without awareness evidence,GROUP_E_ADVERSARIAL,synthetic_internal,LOW_NON_REAL,"The aircraft continued toward a restriction while above path. A later interview says the crew wanted to meet the altitude but the contemporaneous record does not show that the crew was aware the target had become unachievable at the first escape point.",HIGH,O-C temptation without awareness,evidence insufficient,"Reject objective-confidence inference without explicit awareness support.",YES,REVIEWER-03,Shared objective-axis trap.
HP-024,[SERA_VNEXT_HUMAN_PILOT] A-C temptation without feedback evidence,GROUP_E_ADVERSARIAL,synthetic_internal,LOW_NON_REAL,"The pilot selected a new vertical mode and expected descent to increase. The mode annunciation changed but the record does not show whether the pilot checked actual vertical speed feedback before the deviation. The later correction is documented.",HIGH,A-C temptation without feedback evidence,automation boundary,"Do not infer action-confidence unless feedback or verification evidence exists.",NO,REVIEWER-04,Adversarial action-axis trap.
HP-025,[SERA_VNEXT_HUMAN_PILOT] Action coherent with wrong perception,GROUP_E_ADVERSARIAL,synthetic_internal,LOW_NON_REAL,"The crew believed clearance had been received to descend based on a readback from another aircraft with a similar call sign. Acting on that incorrect perception the pilot flying initiated descent. The record supports the wrong perception before the action.",HIGH,action coherent with wrong perception,perception boundary,"Avoid treating the descent action as incoherent when the perception evidence explains it.",NO,REVIEWER-05,Adversarial perception-action coherence case.

